Analista,,,,,,,,,,
Fecha de inicio,08/08/2023 08:27 a. m.  GMT: 08/08/2023 01:27 p. m.,,,,,,,,,
Hoja de trabajo,SA001691_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4972,,mg/L,1.5,0.0163,0.0014,0.0165,0.016,0.0162
,BLANCO,-0.0109,,mg/L,38.9,-0.0004,0.0004,-0.0002,-0.0004,-0.0005
,BLANCO REACTIVO,0,,mg/L,14.7,-0.0005,0.0005,-0.0005,-0.0006,-0.0004
,SA001691-001,0.1373,,mg/L,2,0.0138,0.0017,0.0139,0.0139,0.0134
,SA001691-002,0.1134,,mg/L,2.5,0.0106,0.0015,0.0109,0.0103,0.0106
,SA001691-003,0.1723,,mg/L,1.4,0.0161,0.0014,0.0161,0.0159,0.0163
,SA001691-004,0.2092,,mg/L,0.2,0.0196,0.0015,0.0196,0.0195,0.0195
,SA001691-005,0.2628,,mg/L,0.8,0.0246,0.0017,0.0244,0.0248,0.0246
,PATRON,0.4977,,mg/L,1.1,0.0163,0.0023,0.0161,0.0162,0.0165
,SA001691-006,0.2575,,mg/L,0.6,0.0241,0.002,0.0241,0.0242,0.024
,SA001691-007,0.0959,,mg/L,2.2,0.009,0.0016,0.0092,0.0089,0.0088
,SA001691-008,0.2309,,mg/L,0.9,0.0216,0.0019,0.0216,0.0215,0.0218
,SA001691-009,0.1581,,mg/L,1,0.0148,0.0019,0.0149,0.0148,0.0146
,SA001691-010,0.6642,,mg/L,0.6,0.0618,0.0019,0.0623,0.0617,0.0615
,PATRON,0.4852,,mg/L,1.8,0.0159,0.0026,0.0159,0.0161,0.0156
,BLANCO,-0.0128,,mg/L,58.3,-0.0004,0.0017,-0.0002,-0.0003,-0.0007
,BLANCO REACTIVO,0,,mg/L,22.2,-0.0009,0.0013,-0.0007,-0.0008,-0.0011
,SA001691-011,0.1843,,mg/L,0.7,0.0172,0.0024,0.0173,0.0171,0.0172
,SA001691-012,0.3482,,mg/L,1.3,0.0325,0.0025,0.0328,0.032,0.0326
,SA001691-013,-0.0128,,mg/L,58.3,-0.0004,0.0017,-0.0002,-0.0003,-0.0007
,SA001691-014,0.4095,,mg/L,0.6,0.0382,0.0029,0.0382,0.0385,0.038
,SA001691-015,0.0401,,mg/L,6.4,0.0037,0.003,0.0038,0.0039,0.0035
,PATRON,0.493,,mg/L,0.1,0.0161,0.0029,0.0161,0.0161,0.0161
,SA001691-016,0.0633,,mg/L,1.6,0.0059,0.0024,0.0058,0.006,0.0059
,SA001691-017,0.1491,,mg/L,2,0.0139,0.0026,0.0141,0.0136,0.0141
,SA001691-018,-0.0005,,mg/L,>100,-0.0001,0.0025,-0.0001,-0.0002,0.0001
,SA001691-019,0.1653,,mg/L,1.4,0.0155,0.0027,0.0157,0.0155,0.0152
,SA001691-020,0.0993,,mg/L,1.2,0.0093,0.0029,0.0092,0.0093,0.0094
,PATRON,0.4856,,mg/L,1.8,0.0159,0.0035,0.0156,0.0159,0.0162
,BLANCO,-0.0084,,mg/L,>100,-0.0003,0.0025,-0.0004,-0.0005,0
,BLANCO REACTIVO,0,,mg/L,8.4,-0.0012,0.0014,-0.0012,-0.0011,-0.0013
,SA001691-021,0.3934,,mg/L,0.6,0.0367,0.0032,0.0367,0.0369,0.0365
,SA001691-022,0.2261,,mg/L,0.6,0.0211,0.003,0.0211,0.0213,0.0211
,SA001691-023,0.3249,,mg/L,0.3,0.0304,0.0032,0.0304,0.0304,0.0303
,SA001691-024,0.3202,,mg/L,0.7,0.0299,0.0033,0.0298,0.0301,0.0297
,SA001691-025,0.0014,,mg/L,>100,0.0001,0.0032,0,0.0004,0
,PATRON,0.4904,,mg/L,1.6,0.016,0.004,0.016,0.0163,0.0158
,SA001691-026,0.1972,,mg/L,0.2,0.0184,0.0032,0.0184,0.0184,0.0184
,SA001691-027,0.3813,,mg/L,0.4,0.0356,0.0035,0.0355,0.0356,0.0357
,SA001691-028,0.299,,mg/L,0.2,0.0279,0.0031,0.0279,0.0279,0.028
,SA001691-029,0.2396,,mg/L,0.6,0.0224,0.0033,0.0223,0.0225,0.0225
,SA001691-030,0.1825,,mg/L,1.5,0.0171,0.0033,0.0168,0.0172,0.0172
,PATRON,0.4912,,mg/L,0.6,0.0161,0.0039,0.016,0.016,0.0162
,BLANCO,0.0006,,mg/L,>100,0,0.0029,0.0001,0,0
,BLANCO REACTIVO,0,,mg/L,20.3,-0.0011,0.0015,-0.001,-0.0009,-0.0013
,SA001691-031,0.1451,,mg/L,1.1,0.0136,0.0031,0.0134,0.0137,0.0136
,SA001691-032,0.1071,,mg/L,2.2,0.01,0.0029,0.0098,0.0102,0.01
,PATRON,0.4951,,mg/L,0.2,0.0162,0.0034,0.0162,0.0162,0.0161
,BLANCO,0.0043,,mg/L,>100,0.0001,0.0023,-0.0001,0,0.0005
,BLANCO REACTIVO,0,,mg/L,2.7,-0.0011,0.0011,-0.0011,-0.0011,-0.0011
