PATRON,5.0693,,mg/L,1.1,0.0006,0.0536,0.0001,0.0536,0.053,0.0541
BLANCO,-0.0152,,mg/L,>100,0.0008,-0.0002,0.0017,-0.0009,-0.0002,0.0007
BLANCO REACTIVO,0,,mg/L,82.7,0.0007,-0.0009,0.0007,-0.0002,-0.0016,-0.0008
FASE 1,0.0369,,mg/L,57.6,0.0002,0.0004,0.0013,0.0004,0.0006,0.0001
FASE 2,0.0288,,mg/L,>100,0.0005,0.0003,0.0014,-0.0001,0.0008,0.0001
FASE 3,0.0305,,mg/L,>100,0.001,0.0003,0.0015,0.0006,-0.0008,0.0011
VSP NORTE,0.0798,,mg/L,58.4,0.0005,0.0009,0.0008,0.0014,0.0007,0.0005
CELDA 8.1,0.0118,,mg/L,>100,0.0009,0.0001,0.0016,0.001,-0.0007,0.0001
CELDA 8.2,0.0408,,mg/L,>100,0.0005,0.0004,0.0014,0,0.0003,0.001
CELDA 8.3,0,,mg/L,>100,0.0004,0,0.0017,0.0004,0,-0.0005
PATRON,4.9501,,mg/L,0.8,0.0004,0.0523,0.0016,0.0521,0.0528,0.0521
BLANCO,0.0005,,mg/L,>100,0.0003,0,0.0014,0.0004,-0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,99.5,0.0009,-0.0009,0.0003,-0.0014,-0.0015,0.0001
