PATRON,0.0507,,mg/L,1.5,0,0.0023,-0.0003,1,1,1,0.0023,0.0023,0.0023
BLANCO,-0.0008,,mg/L,44.5,0.0002,-0.0005,0.0019,1,1,1,-0.0005,-0.0008,-0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0005,-0.0002,-0.0006,1,1,1,-0.0006,0.0003,-0.0004
H KCA PO,0.0434,,mg/L,15.7,0.0003,0.0019,-0.002,1,1,1,0.0022,0.002,0.0016
H KCA PO,0.0449,,mg/L,27.1,0.0005,0.002,0.003,1,1,1,0.0021,0.0014,0.0024
H KCA PO,0.0438,,mg/L,13.6,0.0003,0.0019,-0.0018,1,1,1,0.0017,0.0022,0.0019
PATRON,0.0458,,mg/L,16,0.0003,0.002,-0.0019,1,1,1,0.0018,0.0019,0.0024
H KCA PO,0.0437,,mg/L,26.4,0.0005,0.0019,0.0032,1,1,1,0.0015,0.0018,0.0025
H KCA PO,0.045,,mg/L,6.3,0.0001,0.002,-0.0021,1,1,1,0.0019,0.0021,0.0019
PATRON,0.0484,,mg/L,14.7,0.0003,0.0022,-0.0019,1,1,1,0.0024,0.0023,0.0018
BLANCO,-0.0073,,mg/L,18.6,0.0002,-0.0009,0.0005,1,1,1,-0.0007,-0.001,-0.001
BLANCO REACTIVO,0,,mg/L,55.2,0.0001,-0.0002,-0.0005,1,1,1,-0.0003,-0.0003,-0.0001
M1 PO,0.0402,,mg/L,12.7,0.0002,0.0017,-0.0002,1,1,1,0.0019,0.0017,0.0015
M2 PO,0.0302,,mg/L,19.9,0.0002,0.0012,0.0025,1,1,1,0.0011,0.001,0.0014
M3 PO,0.0221,,mg/L,13.1,0.0001,0.0007,0.0023,1,1,1,0.0006,0.0007,0.0008
M4 PO,0.0156,,mg/L,66.8,0.0002,0.0004,0.0023,1,1,1,0.0004,0.0001,0.0006
PATRON,0.0464,,mg/L,10.9,0.0002,0.0021,-0.002,1,1,1,0.0021,0.0023,0.0018
P KCA PO,0.0085,,mg/L,>100,0.0001,0,0.0023,1,1,1,0,-0.0001,0.0001
PATRON,0.0498,,mg/L,5.7,0.0001,0.0022,-0.0022,1,1,1,0.0023,0.0023,0.0021
BLANCO,0.0033,,mg/L,3.8,0,-0.0003,-0.0008,1,1,1,-0.0003,-0.0003,-0.0003
BLANCO REACTIVO,0,,mg/L,87.5,0.0005,0.0006,-0.0017,1,1,1,0.0001,0.0011,0.0005
CELDA 8,0.0345,,mg/L,26.2,0.0004,0.0014,0.0002,1,1,1,0.0018,0.0014,0.001
PATRON,0.0525,,mg/L,7.3,0.0002,0.0024,-0.0106,1,1,1,0.0024,0.0026,0.0022
BLANCO,0.0126,,mg/L,92.7,0.0002,0.0002,-0.0089,1,1,1,0.0004,0.0002,0
BLANCO REACTIVO,0,,mg/L,88.7,0.0003,-0.0003,0.0001,1,1,1,-0.0006,0,-0.0003
H KCA PE,0.0251,,mg/L,3.9,0,0.0009,0.0029,1,1,1,0.0009,0.0009,0.0009
H KCA PE,0.0205,,mg/L,42,0.0003,0.0006,0.0031,1,1,1,0.0004,0.0006,0.0009
H KCA PE,0.0268,,mg/L,>100,0.001,0.001,0.0022,1,1,1,0.0015,0.0016,-0.0002
PATRON,0.0477,,mg/L,13.3,0.0003,0.0024,-0.002,1,1,1,0.0021,0.0026,0.0026
H KCA PE,0.0207,,mg/L,18.9,0.0001,0.0006,0.0024,1,1,1,0.0006,0.0008,0.0006
H KCA PE,0.0255,,mg/L,14.9,0.0001,0.0009,0.0031,1,1,1,0.0009,0.0008,0.0011
PATRON,0.0519,,mg/L,2.4,0.0001,0.0027,-0.0023,1,1,1,0.0027,0.0026,0.0027
BLANCO,0.0017,,mg/L,>100,0.0005,0.0001,-0.0052,1,1,1,0.0003,0.0005,-0.0005
BLANCO REACTIVO,0,,mg/L,>100,0.0004,0,-0.0001,1,1,1,0.0002,0.0003,-0.0004
M1 PE,0.0233,,mg/L,34.8,0.0004,0.0012,0.002,1,1,1,0.0011,0.0017,0.0008
M2 PE,0.019,,mg/L,20.7,0.0002,0.001,0.0023,1,1,1,0.0008,0.0009,0.0012
M3 PE,0.0187,,mg/L,38.4,0.0004,0.001,0.0024,1,1,1,0.0014,0.0006,0.0009
M4 PE,0.0138,,mg/L,24.5,0.0002,0.0007,0.0021,1,1,1,0.0008,0.0008,0.0005
PATRON,0.05,,mg/L,7,0.0002,0.0026,-0.0021,1,1,1,0.0024,0.0028,0.0025
P KCA PE,0.0061,,mg/L,41,0.0001,0.0003,0.0022,1,1,1,0.0002,0.0004,0.0004
PATRON,0.05,,mg/L,3.7,0.0001,0.0026,-0.0022,1,1,1,0.0025,0.0026,0.0026
BLANCO,0.0027,,mg/L,6.1,0,0.0002,-0.0006,1,1,1,0.0002,0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,15.6,0.0001,-0.0004,-0.0002,1,1,1,-0.0004,-0.0005,-0.0003
ELY 1,0.0221,,mg/L,8,0.0001,0.0011,0.0024,1,1,1,0.0011,0.0011,0.0012
ELY 2,0.0194,,mg/L,19.2,0.0002,0.001,0.0024,1,1,1,0.0008,0.001,0.0012
ELY 3,0.0198,,mg/L,30.2,0.0003,0.001,0.0021,1,1,1,0.0007,0.0012,0.0012
ELY 4,0.0107,,mg/L,72.8,0.0004,0.0006,0.0021,1,1,1,0.001,0.0006,0.0002
PATRON,0.0507,,mg/L,5.2,0.0001,0.0026,-0.002,1,1,1,0.0025,0.0025,0.0028
ELY P,0.0076,,mg/L,74.1,0.0003,0.0004,-0.0017,1,1,1,0.0002,0.0002,0.0008
PATRON,0.0477,,mg/L,17.4,0.0004,0.0024,0.0018,1,1,1,0.0027,0.002,0.0027
BLANCO,-0.0023,,mg/L,>100,0.0001,-0.0001,0.004,1,1,1,-0.0002,-0.0001,0
BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0001,0.0003,1,1,1,0.0003,-0.0001,-0.0005
