PATRON,1.0031,,mg/L,0.1,0.0001,0.1347,0.0012
BLANCO,-0.0025,,mg/L,89.9,0.0003,-0.0003,0.0003
BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0002,-0.0001
H KCA PO,0.0114,,mg/L,22.7,0.0003,0.0015,0.0018
H KCA PO,0.0085,,mg/L,60.1,0.0007,0.0011,0.0021
H KCA PO,0.0084,,mg/L,4.3,0,0.0011,0.0019
PATRON,0.9975,,mg/L,0.4,0.0005,0.134,0.0003
H KCA PO,0.0128,,mg/L,8.5,0.0001,0.0017,0.001
H KCA PO,0.0096,,mg/L,27.8,0.0004,0.0013,0.0015
PATRON,0.9882,,mg/L,0.2,0.0003,0.1327,-0.0003
BLANCO,-0.0016,,mg/L,>100,0.0006,-0.0002,-0.001
BLANCO REACTIVO,0,,mg/L,29.8,0.0002,-0.0008,-0.0008
M1 PO,0.0107,,mg/L,6.7,0.0001,0.0014,0.0021
M2 PO,0.0074,,mg/L,28,0.0003,0.001,0.0022
M3 PO,0.0118,,mg/L,46.8,0.0007,0.0016,0.0023
M4 PO,0.0164,,mg/L,10.8,0.0002,0.0022,0.0023
PATRON,0.9868,,mg/L,1.1,0.0015,0.1325,0.0001
P KCA PO,0.0157,,mg/L,12,0.0003,0.0021,0.0015
PATRON,1.0167,,mg/L,0.9,0.0012,0.1365,-0.0002
BLANCO,-0.0035,,mg/L,19.8,0.0001,-0.0005,-0.0004
BLANCO REACTIVO,0,,mg/L,27.6,0.0005,-0.0018,-0.0008
CELDA 8,0.0051,,mg/L,36.5,0.0003,0.0007,0.0025
CANAL,0.0232,,mg/L,4.1,0.0001,0.0031,0.0028
FASE 1,0.0028,,mg/L,34.6,0.0001,0.0004,0.0028
FASE 2,0.0008,,mg/L,>100,0.0003,0.0001,0.0028
FASE 3,-0.0005,,mg/L,>100,0.0001,-0.0001,0.0035
VSP NORTE,0.0061,,mg/L,55,0.0004,0.0008,0.0034
CELDA 8.1,0.0166,,mg/L,3.8,0.0001,0.0022,0.0024
CELDA 8.2,0.0016,,mg/L,>100,0.0005,0.0002,0.0029
CELDA 8.3,-0.0006,,mg/L,>100,0.0003,-0.0001,0.0032
S. RICA,0.014,,mg/L,8.3,0.0002,0.0019,0.0028
PATRON,1.0077,,mg/L,0.4,0.0006,0.1353,0.0012
BLANCO,0.0024,,mg/L,92.8,0.0003,0.0003,0.0002
BLANCO REACTIVO,0,,mg/L,23.3,0.0005,-0.0021,-0.001
H KCA PE,0.0098,,mg/L,9.2,0.0001,0.0013,0.0035
H KCA PE,0.0123,,mg/L,23.3,0.0004,0.0016,0.0032
H KCA PE,0.0118,,mg/L,37.4,0.0006,0.0016,0.0033
PATRON,0.9858,,mg/L,1.3,0.0017,0.1324,0.0013
H KCA PE,0.0124,,mg/L,24.5,0.0004,0.0017,0.003
H KCA PE,0.015,,mg/L,23.3,0.0005,0.002,0.0026
PATRON,1.0132,,mg/L,0.1,0.0002,0.1361,0.0013
BLANCO,0.001,,mg/L,>100,0.0002,0.0001,0.0006
BLANCO REACTIVO,0,,mg/L,30.4,0.0005,-0.0018,-0.0017
M1 PE,0.0105,,mg/L,7.2,0.0001,0.0014,0.0025
M2 PE,0.0111,,mg/L,9.1,0.0001,0.0015,0.0025
M3 PE,0.0114,,mg/L,12.4,0.0002,0.0015,0.0024
M4 PE,0.009,,mg/L,22.8,0.0003,0.0012,0.0027
PATRON,1.0012,,mg/L,0.5,0.0007,0.1345,0.0009
P KCA PE,0.0136,,mg/L,8.2,0.0002,0.0018,0.002
PATRON,1.0162,,mg/L,0.7,0.0009,0.1365,0.0008
BLANCO,-0.0003,,mg/L,>100,0.0006,0,0.0001
BLANCO REACTIVO,0,,mg/L,20.8,0.0005,-0.0024,-0.0011
ELY 1,0.0148,,mg/L,11.3,0.0002,0.002,0.0031
ELY 2,0.0145,,mg/L,25.7,0.0005,0.0019,0.003
ELY 3,0.0114,,mg/L,3.4,0.0001,0.0015,0.0033
ELY 4,0.0116,,mg/L,13.2,0.0002,0.0016,0.0033
PATRON,1.0111,,mg/L,0.1,0.0001,0.1358,0.0016
ELY P,0.0132,,mg/L,37.9,0.0007,0.0018,0.0031
PATRON,1.0192,,mg/L,0.5,0.0007,0.1369,0.0013
BLANCO,0.0016,,mg/L,>100,0.0003,0.0002,0.001
BLANCO REACTIVO,0,,mg/L,28.9,0.0006,-0.002,-0.0016
NOROESTE,-0.0015,,mg/L,>100,0.0007,-0.0002,0.0027
TRITURADORA,0,,mg/L,>100,0.0002,0,0.0025
VICTORIA,0.0459,,mg/L,3.3,0.0002,0.0061,0.0026
CELDA 1,0.0169,,mg/L,15.2,0.0003,0.0023,0.0025
CELDA 2,0.0031,,mg/L,68.7,0.0003,0.0004,0.003
CELDA 3,0.0018,,mg/L,>100,0.0003,0.0002,0.003
CELDA 4A,-0.0038,,mg/L,52.8,0.0003,-0.0005,0.0038
CELDA 4B,-0.0048,,mg/L,25.6,0.0002,-0.0006,0.0037
CELDA 5A,-0.0001,,mg/L,>100,0.0001,0,0.0025
CELDA 5B,0.0004,,mg/L,>100,0.0003,0.0001,0.0022
PATRON,0.9883,,mg/L,1.1,0.0014,0.1327,0.0005
BLANCO,-0.0023,,mg/L,91.8,0.0003,-0.0003,0.0002
BLANCO REACTIVO,0,,mg/L,4.7,0.0001,-0.0021,-0.002
