PATRON,1.015,,mg/L,0.3,0.1432,0.0012,0.1434,0.1436,0.1427
BLANCO,0.0033,,mg/L,81.7,0.0005,-0.0002,0.0001,0.0005,0.0008
BLANCO REACTIVO,0,,mg/L,29.3,-0.0002,0.0004,-0.0002,-0.0002,-0.0003
H KCA PO,0,,mg/L,>100,0,0.0023,0.0004,-0.0005,0.0001
H KCA PO,-0.0028,,mg/L,40.9,-0.0004,0.0025,-0.0004,-0.0006,-0.0003
H KCA PO,-0.0032,,mg/L,34.2,-0.0005,0.0026,-0.0004,-0.0003,-0.0006
PATRON,1.015,,mg/L,0.5,0.1432,0.0015,0.1424,0.1433,0.144
H KCA PO,-0.0012,,mg/L,>100,-0.0002,0.0024,0.0001,-0.0003,-0.0003
H KCA PO,-0.0048,,mg/L,26.7,-0.0007,0.0025,-0.0005,-0.0006,-0.0009
PATRON,1.0063,,mg/L,0,0.142,0.0017,0.142,0.142,0.1421
BLANCO,0.0007,,mg/L,>100,0.0001,0.0005,-0.0002,0.0004,0.0002
BLANCO REACTIVO,0,,mg/L,49.8,-0.0001,0.0002,-0.0002,-0.0001,-0.0001
M1 PO,-0.0002,,mg/L,>100,0,0.0018,0.0006,-0.0006,0
M2 PO,-0.0031,,mg/L,36.4,-0.0004,0.0017,-0.0004,-0.0003,-0.0006
M3 PO,-0.0044,,mg/L,34.2,-0.0006,0.0025,-0.0005,-0.0005,-0.0009
M4 PO,-0.0023,,mg/L,32,-0.0003,0.0021,-0.0003,-0.0004,-0.0002
PATRON,1.0088,,mg/L,0.8,0.1424,0.0012,0.1432,0.141,0.1429
P KCA PO,-0.0009,,mg/L,67.6,-0.0001,0.0021,-0.0002,-0.0001,-0.0001
PATRON,1.0017,,mg/L,0.8,0.1414,0.0012,0.1426,0.1405,0.1411
BLANCO,-0.0008,,mg/L,>100,-0.0001,0.0003,0,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,32.9,-0.0003,0,-0.0004,-0.0002,-0.0004
CELDA 8,0.0056,,mg/L,29.1,0.0008,0.0024,0.0008,0.0006,0.001
PATRON,1.0028,,mg/L,0.5,0.1415,0.0017,0.1407,0.1421,0.1418
BLANCO,0.0001,,mg/L,>100,0,0.0004,0.0002,0,-0.0001
BLANCO REACTIVO,0,,mg/L,27.4,-0.0007,0.0006,-0.0005,-0.0009,-0.0008
H KCA PE,-0.0015,,mg/L,74.9,-0.0002,0.0036,-0.0003,0,-0.0003
H KCA PE,0.0032,,mg/L,72.8,0.0005,0.0031,0.0002,0.0003,0.0008
H KCA PE,0.0017,,mg/L,75.8,0.0002,0.0035,0,0.0004,0.0003
PATRON,0.9963,,mg/L,0.2,0.1407,0.002,0.1409,0.1404,0.1407
H KCA PE,0.0028,,mg/L,65.8,0.0004,0.0033,0.0002,0.0007,0.0003
H KCA PE,0.0021,,mg/L,93.3,0.0003,0.0032,0.0004,0.0005,0
PATRON,0.9954,,mg/L,0.8,0.1405,0.0018,0.1395,0.1417,0.1404
BLANCO,0.0081,,mg/L,35.9,0.0012,0.0004,0.0016,0.0012,0.0007
BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0002,0.0001,-0.0002,0.0006
M1 PE,-0.0048,,mg/L,36.3,-0.0007,0.0023,-0.0004,-0.0007,-0.0009
M2 PE,-0.0052,,mg/L,29.9,-0.0008,0.0024,-0.0005,-0.0007,-0.001
M3 PE,-0.0038,,mg/L,18,-0.0006,0.0022,-0.0005,-0.0005,-0.0007
M4 PE,-0.0058,,mg/L,55.5,-0.0008,0.0024,-0.001,-0.0003,-0.0012
PATRON,1.015,,mg/L,1.5,0.1432,0.0006,0.1408,0.1441,0.1448
P KCA PE,-0.0047,,mg/L,11.6,-0.0007,0.0023,-0.0007,-0.0006,-0.0008
PATRON,1.012,,mg/L,0.5,0.1428,0.0008,0.1423,0.1425,0.1436
BLANCO,-0.0007,,mg/L,>100,-0.0001,-0.0002,0,-0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0001,0.0001,-0.0003,-0.0001
ELY 1,-0.0026,,mg/L,92.5,-0.0004,0.0026,0,-0.0007,-0.0004
ELY 2,-0.0034,,mg/L,3.2,-0.0005,0.0027,-0.0005,-0.0005,-0.0005
ELY 3,0.0003,,mg/L,>100,0,0.0024,-0.0002,0.0004,-0.0001
ELY 4,-0.0025,,mg/L,60.7,-0.0004,0.0025,-0.0001,-0.0004,-0.0005
PATRON,1.0074,,mg/L,0.3,0.1422,0.0009,0.1419,0.1426,0.142
ELY P,0.0009,,mg/L,52.4,0.0001,0.0021,0.0001,0.0002,0.0001
PATRON,1.0075,,mg/L,1,0.1422,0.0009,0.1411,0.1417,0.1438
BLANCO,0.0012,,mg/L,>100,0.0002,-0.0001,-0.0001,0.0004,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0002,0,0.0003,0.0002
