PATRON,5.0621,,mg/L,0.8,0.0537,0.0541,0.0537,0.0533
BLANCO,-0.0003,,mg/L,>100,0,0,-0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,42.8,0.0004,0.0002,0.0004,0.0006
FASE 1,0.0003,,mg/L,>100,0,-0.0001,-0.0002,0.0003
FASE 2,0.0547,,mg/L,56.3,0.0006,0.0002,0.0008,0.0008
FASE 3,0.0692,,mg/L,3,0.0007,0.0008,0.0007,0.0007
VSP NORTE,0.0621,,mg/L,10,0.0007,0.0007,0.0007,0.0006
CELDA 8.1,0.0614,,mg/L,14.1,0.0007,0.0007,0.0006,0.0007
CELDA 8.2,0.0584,,mg/L,18.5,0.0006,0.0008,0.0006,0.0005
CELDA 8.3,0.095,,mg/L,15.5,0.001,0.0011,0.0008,0.0011
PATRON,5.0131,,mg/L,0.6,0.0532,0.0528,0.0532,0.0535
BLANCO,0.0035,,mg/L,>100,0,0,-0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0003,0.0002,0,0.0007
