PATRON,0.5074,,mg/L,1.9,0.0691,-0.0026,1,1,1,0.068,0.0687,0.0706
BLANCO,0.0056,,mg/L,32,0.0009,-0.0015,1,1,1,0.001,0.0005,0.0011
BLANCO REACTIVO,0,,mg/L,78.2,0.0005,-0.0012,1,1,1,0.0003,0.0002,0.0009
H KCA PO,0.001,,mg/L,>100,0.0002,-0.0014,1,1,1,0.0006,0,-0.0001
H KCA PO,-0.0007,,mg/L,>100,-0.0001,-0.0013,1,1,1,-0.0004,-0.0003,0.0004
H KCA PO,0.0022,,mg/L,>100,0.0003,-0.0018,1,1,1,0.0009,0.0003,-0.0002
PATRON,0.5117,,mg/L,1,0.0696,-0.0015,1,1,1,0.0697,0.0689,0.0703
H KCA PO,0.0015,,mg/L,>100,0.0002,0.0008,1,1,1,0.0007,0.0002,-0.0002
H KCA PO,0.0001,,mg/L,>100,0,0.0009,1,1,1,0.0004,-0.0003,-0.0001
PATRON,0.4888,,mg/L,1.4,0.0671,-0.0015,1,1,1,0.067,0.068,0.0662
BLANCO,0.0032,,mg/L,44.4,0.0005,-0.0009,1,1,1,0.0007,0.0005,0.0002
BLANCO REACTIVO,0,,mg/L,18.6,0.0015,-0.0019,1,1,1,0.0015,0.0018,0.0012
M1 PO,0.003,,mg/L,57.8,0.0004,-0.0011,1,1,1,0.0002,0.0005,0.0006
M2 PO,-0.001,,mg/L,>100,-0.0002,-0.0006,1,1,1,0.0002,0.0001,-0.0008
M3 PO,-0.0004,,mg/L,>100,-0.0001,-0.0008,1,1,1,0.0003,-0.0001,-0.0004
M4 PO,-0.0013,,mg/L,>100,-0.0002,-0.001,1,1,1,0.0002,0,-0.0008
PATRON,0.5136,,mg/L,1.3,0.0702,-0.0039,1,1,1,0.071,0.0692,0.0702
P KCA PO,0,,mg/L,>100,0,-0.0012,1,1,1,0.0006,-0.0003,-0.0003
PATRON,0.5181,,mg/L,0.9,0.0707,-0.0037,1,1,1,0.0704,0.0703,0.0715
BLANCO,-0.0023,,mg/L,>100,-0.0003,-0.0032,1,1,1,-0.0003,-0.0008,0
BLANCO REACTIVO,0,,mg/L,25.9,0.0016,-0.0022,1,1,1,0.002,0.0012,0.0016
CELDA 8,0.0006,,mg/L,>100,0.0001,-0.0011,1,1,1,0.0003,0,-0.0001
CANAL,-0.0011,,mg/L,>100,-0.0002,-0.001,1,1,1,-0.0004,0,-0.0001
FASE 1,0.0003,,mg/L,>100,0,-0.0012,1,1,1,0.0001,-0.0005,0.0006
FASE 2,0.0008,,mg/L,>100,0.0001,-0.0011,1,1,1,0.0007,-0.0004,0
FASE 3,-0.0012,,mg/L,75.2,-0.0002,-0.0006,1,1,1,-0.0003,-0.0003,0
VSP NORTE,0.0009,,mg/L,>100,0.0001,-0.0012,1,1,1,-0.0001,0.0005,0
CELDA 8.1,-0.0002,,mg/L,>100,0,-0.0009,1,1,1,0.0002,-0.0001,-0.0001
CELDA 8.2,-0.0011,,mg/L,44.2,-0.0002,-0.0011,1,1,1,-0.0002,-0.0002,-0.0001
CELDA 8.3,-0.0017,,mg/L,>100,-0.0002,-0.0012,1,1,1,0.0001,-0.0002,-0.0007
S. RICA,0.0014,,mg/L,64.7,0.0002,-0.0012,1,1,1,0.0002,0.0004,0.0001
PATRON,0.4991,,mg/L,0.6,0.0703,-0.0014,1,1,1,0.0706,0.0698,0.0705
BLANCO,0.0065,,mg/L,39,0.001,-0.0013,1,1,1,0.0011,0.0005,0.0013
BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0007,1,1,1,0.0011,0.0002,-0.0004
H KCA PE,-0.0009,,mg/L,84.6,-0.0001,0.0002,1,1,1,-0.0002,-0.0002,0
H KCA PE,0.0023,,mg/L,>100,0.0003,-0.0002,1,1,1,-0.0003,0.0008,0.0005
H KCA PE,0.0025,,mg/L,61.8,0.0004,-0.0002,1,1,1,0.0001,0.0006,0.0004
PATRON,0.4873,,mg/L,1,0.0688,-0.0031,1,1,1,0.0696,0.0683,0.0684
H KCA PE,0.0011,,mg/L,>100,0.0002,0,1,1,1,0.0007,0.0005,-0.0006
H KCA PE,0.0014,,mg/L,85.3,0.0002,-0.0001,1,1,1,0.0004,0.0001,0.0001
PATRON,0.5078,,mg/L,0.8,0.0714,-0.0018,1,1,1,0.0715,0.0708,0.0719
BLANCO,0.0056,,mg/L,81,0.0008,-0.002,1,1,1,0.0002,0.0008,0.0015
BLANCO REACTIVO,0,,mg/L,37.7,0.0006,-0.0012,1,1,1,0.0005,0.0008,0.0004
M1 PE,0.0028,,mg/L,45.1,0.0004,0.0011,1,1,1,0.0003,0.0003,0.0006
M2 PE,-0.0018,,mg/L,79,-0.0003,0.0015,1,1,1,-0.0003,-0.0005,0
M3 PE,0.0027,,mg/L,>100,0.0004,0.0008,1,1,1,0.0009,0.0003,0.0001
PATRON,0.5022,,mg/L,0.5,0.0707,-0.0023,1,1,1,0.0709,0.0708,0.0703
P KCA PE,0.0026,,mg/L,47.1,0.0004,0.0007,1,1,1,0.0004,0.0002,0.0006
PATRON,0.4873,,mg/L,0.3,0.0688,-0.0024,1,1,1,0.0686,0.069,0.0689
BLANCO,0.0047,,mg/L,45.9,0.0007,-0.0023,1,1,1,0.001,0.0006,0.0004
BLANCO REACTIVO,0,,mg/L,19.2,0.0013,-0.0017,1,1,1,0.001,0.0014,0.0015
TRITURADORA,-0.0015,,mg/L,>100,-0.0002,0.0002,1,1,1,-0.0005,-0.0004,0.0002
