PATRON,4.9195,,mg/L,2,0.0526,1,1,1,0.0517,0.0523,0.0538
BLANCO,-0.0063,,mg/L,>100,-0.0001,1,1,1,0,-0.0001,-0.0002
BLANCO REACTIVO,0,,mg/L,5.1,0.0012,1,1,1,0.0012,0.0012,0.0013
FASE 1,0.0298,,mg/L,46.8,0.0003,1,1,1,0.0004,0.0002,0.0004
FASE 2,0.0329,,mg/L,50.5,0.0004,1,1,1,0.0004,0.0002,0.0005
FASE 3,0.0491,,mg/L,40,0.0005,1,1,1,0.0003,0.0007,0.0007
VSP NORTE,0.0265,,mg/L,27.2,0.0003,1,1,1,0.0003,0.0002,0.0004
CELDA 8.1,0.0228,,mg/L,70.2,0.0003,1,1,1,0.0002,0.0005,0.0001
CELDA 8.2,0.0181,,mg/L,6.9,0.0002,1,1,1,0.0002,0.0002,0.0002
CELDA 8.3,0.0611,,mg/L,22.8,0.0007,1,1,1,0.0005,0.0007,0.0008
PATRON,5.006,,mg/L,0.7,0.0535,1,1,1,0.0532,0.0534,0.0539
BLANCO,-0.024,,mg/L,65.3,-0.0003,1,1,1,-0.0001,-0.0004,-0.0002
BLANCO REACTIVO,0,,mg/L,16.9,0.001,1,1,1,0.0012,0.0008,0.0011
