Analista,,,,,,,,,,
Fecha de inicio,23/12/2023 11:43 a. m.  GMT: 23/12/2023 05:43 p. m.,,,,,,,,,
Hoja de trabajo,EX00001_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Método: Ag VHAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,1.0106,,mg/L,0.2,0.1279,-0.0004,0.1282,0.1278,0.1277
,BLANCO,0.0028,,mg/L,>100,0.0004,-0.0004,0.0007,0.001,-0.0005
,BLANCO REACTIVO,0,,mg/L,24.8,0.0009,-0.001,0.0011,0.0006,0.0009
,EX00001-001,1.087,,mg/L,13.2,0.006,0.0022,0.0051,0.0061,0.0067
,EX00001-002,-0.0318,,mg/L,>100,-0.0002,-0.0018,-0.0001,0,-0.0004
,EX00001-003,0.3055,,mg/L,31.5,0.0017,0.0009,0.0023,0.0016,0.0013
,EX00001-004,1.1884,,mg/L,4.6,0.0065,0.002,0.0069,0.0065,0.0063
,EX00001-005,0.3806,,mg/L,12.3,0.0021,0.0052,0.0024,0.0021,0.0019
,PATRON,1.004,,mg/L,0.2,0.1271,-0.0013,0.1273,0.1272,0.1269
,EX00001-006,0.4685,,mg/L,9.7,0.0026,0,0.0028,0.0025,0.0024
,EX00001-007,0.8405,,mg/L,16.7,0.0046,0.0024,0.005,0.0052,0.0038
,EX00001-008,0.4217,,mg/L,22.7,0.0024,0.0028,0.0019,0.0022,0.003
,EX00001-009,0.2752,,mg/L,44.8,0.0015,0.0035,0.0021,0.0008,0.0017
,EX00001-010,0.2791,,mg/L,28.1,0.0015,0.0018,0.0012,0.0014,0.002
,PATRON,1.0034,,mg/L,0.7,0.1271,-0.0016,0.1264,0.1281,0.1267
,BLANCO,-0.0009,,mg/L,>100,-0.0001,-0.0017,0.0005,0.0006,-0.0014
,BLANCO REACTIVO,0,,mg/L,54.4,0.0011,-0.0012,0.0015,0.0014,0.0004
,EX00001-011,0.33,,mg/L,94.9,0.0007,0.0021,0.0007,0,0.0015
,EX00001-012,-0.0133,,mg/L,>100,-0.0001,0.0023,0.0002,-0.0002,-0.0003
,EX00001-013,0.384,,mg/L,13.5,0.0021,0.0023,0.0021,0.0019,0.0024
,EX00001-014,0.6069,,mg/L,8.8,0.0034,0.0029,0.0037,0.0033,0.0032
,EX00001-015,0.0574,,mg/L,>100,0.0003,0.0039,0.0006,-0.0001,0.0004
,PATRON,1.0001,,mg/L,1.1,0.1267,-0.0012,0.1252,0.1278,0.127
,EX00001-016,0.066,,mg/L,6.1,0.0011,0.0033,0.0011,0.0012,0.0012
,EX00001-017,0.1863,,mg/L,73,0.001,0.0018,0.0009,0.0004,0.0019
,EX00001-018,0.1602,,mg/L,33.9,0.0009,0.0014,0.0011,0.0005,0.001
,EX00001-019,14.9479,,mg/L,0.8,0.0791,0.0002,0.0783,0.0792,0.0796
,EX00001-020,0.1559,,mg/L,75.3,0.0009,-0.0001,0.0009,0.0015,0.0002
,PATRON,0.9933,,mg/L,0.7,0.1259,-0.0017,0.1268,0.1256,0.1251
,BLANCO,-0.0021,,mg/L,57.4,-0.0003,-0.0019,-0.0001,-0.0004,-0.0003
,BLANCO REACTIVO,0,,mg/L,53.7,0.001,-0.0011,0.001,0.0016,0.0005
,EX00001-021,-0.1086,,mg/L,>100,-0.0006,0.0017,0.0002,-0.0007,-0.0013
,EX00001-022,0.1014,,mg/L,58.3,0.0006,0.0011,0.0007,0.0002,0.0008
,EX00001-023,0.1557,,mg/L,34.5,0.0009,0.001,0.0011,0.0005,0.0009
,EX00001-024,-0.1729,,mg/L,29.7,-0.0009,0.0028,-0.0013,-0.0008,-0.0008
,EX00001-025,0.657,,mg/L,8.6,0.0036,0.0006,0.0039,0.0034,0.0035
,PATRON,0.9934,,mg/L,1.7,0.1266,0.0009,0.1249,0.1258,0.129
,EX00001-026,1.538,,mg/L,7.9,0.0086,0.0045,0.0086,0.0093,0.008
,EX00001-027,0.6615,,mg/L,3.7,0.0038,0.0026,0.0039,0.0037,0.0037
,EX00001-028,0.6418,,mg/L,15.5,0.0036,0.0039,0.0031,0.0035,0.0042
,EX00001-029,0.6908,,mg/L,20.6,0.0039,0.0038,0.0048,0.0039,0.0032
,EX00001-030,0.9966,,mg/L,5.2,0.0056,0.0041,0.0059,0.0054,0.0055
,PATRON,0.9912,,mg/L,0.5,0.1263,0.0002,0.1256,0.1266,0.1267
,BLANCO,0.0037,,mg/L,>100,0.0005,-0.0004,0.0014,0,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0008,-0.0008,0.0006,0.0018,-0.0001
,EX00001-031,0.0564,,mg/L,>100,0.0003,-0.0011,0.0009,-0.0004,0.0004
,EX00001-032,0.3194,,mg/L,1.5,0.0018,0.0028,0.0018,0.0018,0.0018
,PATRON,0.9843,,mg/L,0.9,0.1255,-0.0011,0.1251,0.1268,0.1246
,BLANCO,-0.0027,,mg/L,>100,-0.0004,-0.001,0,-0.0002,-0.001
,BLANCO REACTIVO,0,,mg/L,>100,0.0005,-0.0003,0.0011,0,0.0004
