Analista,,,,,,,,,
Fecha de inicio,09/03/2023 05:30 p. m.  GMT: 09/03/2023 11:30 p. m.,,,,,,,,
Hoja de trabajo,SA000605_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.004,,mg/L,1.5,0.1219,0.1238,0.1215,0.1203
,BLANCO,0.001,,mg/L,82.4,0.0001,0.0002,0.0002,0
,BLANCO REACTIVO,0,,mg/L,82.1,-0.0001,-0.0002,-0.0001,0
,SA000605-001,7.0339,,mg/L,1.6,0.0346,0.0349,0.035,0.034
,SA000605-002,5.0048,,mg/L,1,0.0246,0.0246,0.0249,0.0244
,SA000605-003,5.1182,,mg/L,0.7,0.0256,0.0254,0.0256,0.0257
,SA000605-004,-0.0335,,mg/L,37.8,-0.0002,-0.0002,-0.0001,-0.0001
,SA000605-005,0.0723,,mg/L,66.7,0.0004,0.0001,0.0004,0.0006
,PATRON,1.0189,,mg/L,1.1,0.1236,0.1221,0.1247,0.124
,SA000605-006,3.5107,,mg/L,1.2,0.0175,0.0176,0.0176,0.0172
,SA000605-007,8.606,,mg/L,1.3,0.0441,0.0435,0.0446,0.0444
,SA000605-008,15.2836,,mg/L,0.7,0.0773,0.0779,0.077,0.0769
,PATRON,0.9932,,mg/L,1.6,0.1206,0.1222,0.1211,0.1184
,BLANCO,-0.0008,,mg/L,>100,-0.0001,0,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0004,0,-0.0001
