Analista,,,,,,,,,
Fecha de inicio,05/04/2023 06:32 a. m.  GMT: 05/04/2023 12:32 p. m.,,,,,,,,
Hoja de trabajo,SA000881-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.9995,,mg/L,0.7,0.1199,0.1207,0.1197,0.1192
,BLANCO,-0.0048,,mg/L,13.5,-0.0006,-0.0006,-0.0005,-0.0006
,BLANCO REACTIVO,0,,mg/L,8,-0.0007,-0.0006,-0.0007,-0.0007
,SA000867-017,3.7006,,mg/L,0.1,0.0182,0.0182,0.0182,0.0182
,SA000867-019,6.1193,,mg/L,0.3,0.0295,0.0294,0.0295,0.0296
,SA000867-020,233.289,,mg/L,0.6,0.1127,0.112,0.1135,0.1127
,SA000867-021,15.5807,,mg/L,0.1,0.0755,0.0754,0.0755,0.0756
,SA000870-028,4.0311,,mg/L,0.2,0.0197,0.0197,0.0196,0.0197
,PATRON,1.0053,,mg/L,0.2,0.1205,0.1204,0.1204,0.1209
,SA000870-029,8.8828,,mg/L,0.4,0.0439,0.0439,0.044,0.0437
,SA000870-030,8.539,,mg/L,0.5,0.0411,0.0411,0.0413,0.0409
,SA000870-031,8.5078,,mg/L,0.2,0.0407,0.0406,0.0407,0.0408
,SA000870-032,4.418,,mg/L,0.1,0.0211,0.0211,0.0211,0.0211
,PATRON,0.9996,,mg/L,0.5,0.1199,0.1193,0.1205,0.1198
,BLANCO,-0.0017,,mg/L,>100,-0.0002,0,-0.0004,-0.0002
,BLANCO REACTIVO,0,,mg/L,1.6,-0.0011,-0.0011,-0.0011,-0.001
