Analista,,,,,,,,,,,
Fecha de inicio,07/04/2023 08:41 a. m.  GMT: 07/04/2023 01:41 p. m.,,,,,,,,,,
Hoja de trabajo,SA000892_3,,,,,,,,,,
Comentario,,,,,,,,,,,
Métodos,Au,,,,,,,,,,
,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,
,,,,,,,,,,,
,PATRON,0.4908,,mg/L,0.6,0.0163,-0.001,0.0164,0.0162,0.0164,
,BLANCO,0.0031,,mg/L,66.1,0.0001,-0.0022,0,0.0001,0.0001,
,BLANCO REACTIVO,0,,mg/L,5.8,0.0018,-0.0005,0.0018,0.0017,0.0019,
,SA000892-001,0.2745,,mg/L,2.4,0.0264,-0.0024,0.0269,0.0266,0.0257,
,SA000892-002,0.4972,,mg/L,0.6,0.0488,-0.0021,0.049,0.0484,0.0489,
,SA000892-003,0.7429,,mg/L,0.4,0.0741,-0.0022,0.0744,0.0742,0.0738,
,SA000892-004,0.2212,,mg/L,0.6,0.0212,-0.0022,0.0212,0.0212,0.021,
,SA000892-005,0.2638,,mg/L,0.8,0.0253,-0.0022,0.0251,0.0255,0.0254,
,PATRON,0.5044,,mg/L,1.4,0.0156,-0.0009,0.0157,0.0158,0.0154,
,SA000892-006,0.4022,,mg/L,1.9,0.0371,-0.0003,0.0378,0.037,0.0364,
,SA000892-007,0.2255,,mg/L,1.9,0.0201,-0.0005,0.0204,0.0202,0.0197,
,SA000892-008,0.0121,,mg/L,12.6,0.001,-0.0005,0.001,0.0009,0.0012,
,SA000892-009,0.5061,,mg/L,0.6,0.0474,-0.0002,0.0471,0.0476,0.0474,
,SA000892-010,0.4103,,mg/L,0.1,0.0378,-0.0004,0.0378,0.0378,0.0378,
,PATRON,0.5063,,mg/L,1.6,0.0157,-0.0009,0.0159,0.0157,0.0154,
,BLANCO,-0.0084,,mg/L,27.5,-0.0003,-0.0014,-0.0002,-0.0002,-0.0003,
,BLANCO REACTIVO,0,,mg/L,25.5,0.0006,0,0.0007,0.0007,0.0004,
,SA000892-011,0.3218,,mg/L,0.3,0.0292,-0.0018,0.0292,0.0293,0.0292,
,SA000892-012,0.5162,,mg/L,0.2,0.0484,-0.0014,0.0483,0.0483,0.0485,
,SA000892-013,0.3214,,mg/L,0.9,0.0292,-0.0018,0.0289,0.0291,0.0295,
,SA000892-014,0.2342,,mg/L,1.1,0.0209,-0.0015,0.0209,0.0212,0.0207,
,SA000892-016,0.8304,,mg/L,0.2,0.0814,-0.0013,0.0816,0.0813,0.0813,
,PATRON,0.4851,,mg/L,1,0.015,-0.0016,0.0148,0.0151,0.015,
,SA000892-017,0.956,,mg/L,0.2,0.0952,-0.0011,0.0953,0.0949,0.0953,
,SA000892-018,0.5799,,mg/L,0.3,0.0549,-0.0011,0.0549,0.0547,0.055,
,SA000892-019,0.7299,,mg/L,0.2,0.0707,-0.0013,0.0707,0.0708,0.0706,
,SA000892-020,0.113,,mg/L,1.6,0.0099,-0.0014,0.01,0.01,0.0097,
,SA000892-021,0.0986,,mg/L,2.1,0.0086,-0.0014,0.0087,0.0088,0.0084,
,PATRON,0.5126,,mg/L,1.6,0.0159,-0.0017,0.0161,0.0156,0.0159,
,BLANCO,-0.0069,,mg/L,>100,-0.0002,-0.002,0.0001,-0.0004,-0.0003,
,BLANCO REACTIVO,0,,mg/L,7.9,0.0014,-0.0006,0.0015,0.0014,0.0013,
,SA000892-022,0.1072,,mg/L,2.8,0.0094,-0.0024,0.0096,0.0093,0.0091,
,SA000892-023,0.6231,,mg/L,0.1,0.0593,-0.0023,0.0594,0.0593,0.0593,
,SA000892-024,0.0756,,mg/L,3.6,0.0066,-0.0026,0.0065,0.0068,0.0064,
,SA000892-025,0.0117,,mg/L,24.5,0.001,-0.0024,0.0009,0.0013,0.0008,
,SA000892-026,0.1225,,mg/L,2,0.0107,-0.0024,0.0109,0.0108,0.0105,
,PATRON,0.5161,,mg/L,2,0.016,-0.003,0.0161,0.0162,0.0156,
,SA000892-027,0.5243,,mg/L,1.1,0.0492,-0.0022,0.0498,0.0491,0.0488,
,SA000892-029,0.1482,,mg/L,1.4,0.013,-0.0025,0.0132,0.0129,0.013,
,SA000892-030,0.2751,,mg/L,0.3,0.0248,-0.0024,0.0247,0.0249,0.0247,
,SA000892-031,0.4943,,mg/L,0.3,0.0462,-0.0024,0.0461,0.0461,0.0463,
,PATRON,0.4912,,mg/L,1.3,0.0152,-0.0028,0.0153,0.015,0.0153,
,BLANCO,0.0067,,mg/L,58.4,0.0002,-0.0021,0.0003,0.0002,0.0001,
,BLANCO REACTIVO,0,,mg/L,14.1,0.0016,-0.0007,0.0014,0.0014,0.0018,
,SA000892-032,0.4637,,mg/L,0.4,0.0431,-0.0027,0.043,0.0433,0.0431,
,PATRON,0.4822,,mg/L,0.4,0.0149,-0.003,0.0149,0.0148,0.0149,
,BLANCO,0.007,,mg/L,98.6,0.0002,-0.0024,0.0004,0.0001,0.0001,
,BLANCO REACTIVO,0,,mg/L,4,0.0017,-0.0008,0.0016,0.0017,0.0018,
