Analista,,,,,,,,,
Fecha de inicio,22/05/2023 02:18 p. m.  GMT: 22/05/2023 08:18 p. m.,,,,,,,,
Hoja de trabajo,SA001137_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,"Ag,Ag",,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0013,,mg/L,0.2,0.1121,0.1121,0.112,0.1123
,BLANCO,-0.0011,,mg/L,67.8,-0.0001,-0.0002,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,38.2,-0.0006,-0.0008,-0.0003,-0.0006
,SA001137-001,0.9855,,mg/L,1.7,0.0046,0.0046,0.0046,0.0047
,SA001137-002,15.9149,,mg/L,1.1,0.0728,0.0736,0.0728,0.072
,SA001137-003,1.0144,,mg/L,3.4,0.0048,0.0046,0.0048,0.0049
,SA001137-004,0.1927,,mg/L,18.2,0.0009,0.0007,0.0009,0.0011
,SA001137-005,1.0711,,mg/L,1.9,0.005,0.0051,0.0049,0.0051
,PATRON,1.0007,,mg/L,0.5,0.1121,0.1121,0.1115,0.1126
,SA001137-006,1.246,,mg/L,4.6,0.0058,0.0056,0.0061,0.0057
,SA001137-007,1.3416,,mg/L,2,0.0063,0.0062,0.0065,0.0063
,SA001137-008,1.7353,,mg/L,0.9,0.0081,0.0082,0.0081,0.0081
,SA001137-009,3.1124,,mg/L,1.3,0.0146,0.0147,0.0147,0.0144
,SA001137-010,2.0544,,mg/L,1.3,0.0097,0.0098,0.0095,0.0097
,PATRON,0.9866,,mg/L,0.7,0.1166,0.1172,0.1156,0.1169
,BLANCO,0.0026,,mg/L,>100,0.0003,0,0.0001,0.0009
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0004,0,-0.0002
,SA001137-011,1.8666,,mg/L,0.5,0.0094,0.0095,0.0095,0.0094
,SA001137-012,1.4642,,mg/L,1,0.0074,0.0073,0.0074,0.0075
,SA001137-013,1.154,,mg/L,9.9,0.0059,0.0053,0.0059,0.0064
,SA001137-014,0.0743,,mg/L,0.7,0.0004,0.0004,0.0004,0.0004
,SA001137-015,2.6892,,mg/L,1.8,0.0137,0.0137,0.0134,0.0139
,PATRON,0.9965,,mg/L,0.7,0.1125,0.1125,0.1133,0.1117
,SA001137-016,4.2981,,mg/L,0.7,0.0205,0.0206,0.0204,0.0205
,SA001137-017,1.655,,mg/L,2.2,0.0079,0.0077,0.0079,0.0081
,SA001137-018,1.4702,,mg/L,5.7,0.007,0.0068,0.0075,0.0068
,SA001137-019,1.5033,,mg/L,1.5,0.0072,0.0072,0.0071,0.0073
,SA001137-020,2.2676,,mg/L,2.5,0.0108,0.0107,0.0112,0.0106
,PATRON,0.9963,,mg/L,0.2,0.1125,0.1125,0.1123,0.1127
,BLANCO,0.0026,,mg/L,32.1,0.0003,0.0004,0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,37.2,0.0007,0.0004,0.001,0.0007
,SA001137-021,3.3177,,mg/L,1,0.0157,0.0159,0.0156,0.0158
,SA001137-022,4.4947,,mg/L,0.8,0.0213,0.0215,0.0213,0.0211
,SA001137-023,2.2806,,mg/L,2.1,0.0108,0.0111,0.0106,0.0109
,SA001137-024,3.3905,,mg/L,0.9,0.0161,0.0161,0.0162,0.016
,SA001137-025,3.2547,,mg/L,1.3,0.0155,0.0156,0.0156,0.0152
,PATRON,0.9835,,mg/L,0.2,0.1111,0.1111,0.111,0.1113
,SA001137-026,3.4233,,mg/L,0.3,0.0163,0.0163,0.0164,0.0163
,SA001137-027,1.9571,,mg/L,3.2,0.0094,0.0093,0.0092,0.0098
,SA001137-028,5.8618,,mg/L,0.6,0.0278,0.0279,0.0276,0.0279
,SA001137-029,4.1518,,mg/L,1.9,0.0197,0.0194,0.0195,0.0201
,SA001137-030,4.1531,,mg/L,1.1,0.0197,0.0199,0.0195,0.0197
,PATRON,0.9969,,mg/L,0.3,0.1126,0.1127,0.1128,0.1122
,BLANCO,0.0059,,mg/L,12.9,0.0007,0.0006,0.0007,0.0008
,BLANCO REACTIVO,0,,mg/L,21.7,0.0013,0.0012,0.0011,0.0017
,SA001137-031,5.0412,,mg/L,0.5,0.0238,0.024,0.0238,0.0237
,SA001137-032,1.3654,,mg/L,2.6,0.0065,0.0066,0.0063,0.0066
,PATRON,0.9883,,mg/L,0.4,0.1116,0.1117,0.1112,0.1121
,BLANCO,0.0008,,mg/L,86.7,0.0001,0.0002,0,0.0001
,BLANCO REACTIVO,0,,mg/L,27.5,0.0013,0.0011,0.0012,0.0017
