Analista,ACG,,,,,,,,,,
Fecha de inicio,01/02/2024 03:42 p. m.  GMT: 01/02/2024 09:42 p. m.,,,,,,,,,,
Hoja de trabajo,SA003177-RE_3,,,,,,,,,,
Comentario,,,,,,,,,,,
Métodos,Au,,,,,,,,,,
,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,
,,,,,,,,,,,
,PATRON,0.4918,,mg/L,1.4,0.0162,0.0008,0.016,0.0164,0.0162,
,BLANCO,0.0159,,mg/L,52.3,0.0005,-0.0008,0.0002,0.0006,0.0008,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0002,0.0001,-0.0006,0,
,SA003155-025,0.5324,,mg/L,0.8,0.0497,0.0004,0.0492,0.05,0.0498,
,SA003156-001,0.2753,,mg/L,0.5,0.0257,0.0002,0.0258,0.0257,0.0255,
,SA003156-002,0.3492,,mg/L,1,0.0329,0.0002,0.0327,0.0333,0.0327,
,SA003156-003,0.3472,,mg/L,0,0.0327,0.0001,0.0327,0.0327,0.0327,7.221724858
,SA003156-004,0.323,,mg/L,1.4,0.0295,0.0005,0.0292,0.0293,0.03,
,PATRON,0.4938,,mg/L,1.1,0.0163,0.0011,0.0165,0.0162,0.0162,
,SA003156-005,0.2179,,mg/L,1.4,0.0205,0,0.0208,0.0202,0.0206,
,SA003156-008,0.2469,,mg/L,1.3,0.0233,0.0002,0.0236,0.0231,0.023,
,SA003156-009,0.2324,,mg/L,0.6,0.0219,0.0003,0.022,0.0219,0.0218,
,SA003157-001,0.1835,,mg/L,1.2,0.0173,0.0003,0.0175,0.017,0.0173,
,SA003157-003,2.0038,,mg/L,0.7,0.1869,0.0007,0.1881,0.1855,0.1869,
,PATRON,0.4931,,mg/L,2.2,0.0162,0.001,0.0161,0.016,0.0167,
,BLANCO,-0.0071,,mg/L,>100,-0.0002,0.0001,-0.0005,0.0001,-0.0003,
,BLANCO REACTIVO,0,,mg/L,24.2,-0.0006,0,-0.0005,-0.0008,-0.0006,
,SA003157-004,2.0187,,mg/L,0.2,0.1882,0.0011,0.1886,0.1883,0.1877,
,SA003157-005,2.0735,,mg/L,0.3,0.1932,0.0007,0.1926,0.1934,0.1935,
,SA003157-006,0.3176,,mg/L,0.9,0.0299,0.001,0.0302,0.0297,0.0298,
,SA003157-007,0.192,,mg/L,1.6,0.0181,0.0011,0.0178,0.0184,0.018,
,SA003157-008,0.4672,,mg/L,1,0.044,0.0013,0.0436,0.044,0.0444,
,PATRON,0.5124,,mg/L,1.1,0.0169,0.0016,0.0169,0.0167,0.0171,
,SA003157-011,0.1737,,mg/L,0.7,0.0164,0.0006,0.0162,0.0164,0.0164,
,PATRON,0.499,,mg/L,1.4,0.0164,0.0018,0.0162,0.0164,0.0167,
,BLANCO,0.0086,,mg/L,32.7,0.0003,0.0004,0.0003,0.0002,0.0004,
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0002,0,-0.0005,0,
