Analista,M A,,,,,,,,,
Fecha de inicio,15/05/2024 08:13 a. m.  GMT: 15/05/2024 02:13 p. m.,,,,,,,,,
Hoja de trabajo,SA003947_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5099,,mg/L,1.7,0.0166,0.0007,0.0169,0.0166,0.0164
,BLANCO,-0.0011,,mg/L,>100,0,-0.0005,0,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,58.7,0.0005,-0.0008,0.0007,0.0006,0.0002
,SA003947-001,0.0359,,mg/L,12,0.0033,-0.0012,0.003,0.0038,0.0032
,SA003947-002,0.0564,,mg/L,5.9,0.0052,-0.0016,0.0049,0.0053,0.0055
,SA003947-003,0.0152,,mg/L,12.6,0.0014,-0.0012,0.0016,0.0013,0.0013
,SA003947-004,0.0265,,mg/L,15.6,0.0025,-0.0013,0.0025,0.0028,0.002
,SA003947-005,0.092,,mg/L,2.9,0.0086,-0.0011,0.0086,0.0088,0.0083
,PATRON,0.5125,,mg/L,1.6,0.0167,-0.0008,0.0169,0.0168,0.0164
,SA003947-006,0.0872,,mg/L,3.2,0.0081,-0.0014,0.008,0.0079,0.0084
,SA003947-007,0.0866,,mg/L,0.2,0.008,-0.0015,0.008,0.008,0.008
,SA003947-008,0.0018,,mg/L,>100,0.0002,-0.0015,0.0005,0,0
,SA003947-009,0.0335,,mg/L,14.6,0.0031,-0.0013,0.0035,0.0032,0.0026
,SA003947-010,0.0415,,mg/L,4.5,0.0039,-0.0011,0.0037,0.004,0.0039
,PATRON,0.5048,,mg/L,2,0.0165,-0.0008,0.0168,0.0165,0.0161
,BLANCO REACTIVO,0,,mg/L,23.6,0.0008,-0.0009,0.0007,0.0008,0.0011
,SA003947-011,0.04,,mg/L,12.1,0.0037,-0.0015,0.0033,0.0036,0.0042
,SA003947-012,0.0566,,mg/L,3.3,0.0053,-0.0016,0.0054,0.0053,0.0051
,SA003947-013,0.0591,,mg/L,1.2,0.0055,-0.0015,0.0055,0.0055,0.0054
,SA003947-014,0.0018,,mg/L,42.9,0.0002,-0.0017,0.0002,0.0001,0.0002
,SA003947-015,0.0196,,mg/L,25.8,0.0018,-0.0018,0.0015,0.0016,0.0024
,PATRON,0.4997,,mg/L,2.2,0.0163,-0.0009,0.0167,0.0161,0.0161
,SA003947-016,0.0112,,mg/L,40.7,0.001,-0.0016,0.0005,0.0012,0.0013
,SA003947-017,0.1847,,mg/L,1.3,0.0173,-0.0015,0.017,0.0174,0.0174
,SA003947-018,0.0695,,mg/L,4.1,0.0065,-0.0016,0.0066,0.0061,0.0066
,SA003947-019,0.1513,,mg/L,2.1,0.0141,-0.0013,0.014,0.0139,0.0144
,SA003947-020,0.0722,,mg/L,5.8,0.0067,-0.0013,0.0065,0.0064,0.0072
,PATRON,0.5004,,mg/L,2.4,0.0163,-0.0009,0.0159,0.0165,0.0166
,BLANCO,0.0004,,mg/L,>100,0,-0.0016,0,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,60.7,0.0011,-0.0009,0.0013,0.0004,0.0017
,SA003947-021,0.207,,mg/L,1.3,0.0194,-0.0013,0.0192,0.0196,0.0192
,SA003947-022,0.0576,,mg/L,3.4,0.0053,-0.0017,0.0051,0.0054,0.0055
,SA003947-023,0.0498,,mg/L,10.8,0.0046,-0.0012,0.0043,0.0044,0.0052
,SA003947-024,3.335,,mg/L,0.6,0.3175,-0.0007,0.3195,0.3173,0.3156
,SA003947-025,0.0833,,mg/L,4.4,0.0077,-0.0012,0.0074,0.0081,0.0077
,PATRON,0.5111,,mg/L,3.6,0.0167,-0.0007,0.0161,0.0168,0.0172
,SA003947-026,0.103,,mg/L,0.9,0.0096,-0.0011,0.0095,0.0096,0.0097
,SA003947-027,0.2716,,mg/L,1.7,0.0255,-0.0012,0.025,0.0259,0.0256
,SA003947-028,0.1203,,mg/L,1.1,0.0112,-0.0013,0.0113,0.0111,0.0112
,SA003947-029,0.0431,,mg/L,7.8,0.004,-0.0013,0.0038,0.0043,0.0038
,SA003947-030,0.6465,,mg/L,1.4,0.0622,-0.0012,0.063,0.0623,0.0612
,PATRON,0.493,,mg/L,0.9,0.0161,-0.0013,0.0159,0.0161,0.0162
,BLANCO,-0.0137,,mg/L,42.2,-0.0004,-0.0017,-0.0003,-0.0003,-0.0007
,BLANCO REACTIVO,0,,mg/L,43.2,0.0007,-0.0007,0.0004,0.0008,0.001
