Analista,Martin A,,,,,,,,,
Fecha de inicio,21/06/2024 12:10 a. m.  GMT: 21/06/2024 06:10 a. m.,,,,,,,,,
Hoja de trabajo,SAA004470-RCK_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Método: Ag VHAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,1.0058,,mg/L,3.7,0.0999,0.0008,0.0959,0.1032,0.1005
,BLANCO,-0.0036,,mg/L,>100,-0.0004,0.0004,0.0004,-0.001,-0.0006
,BLANCO REACTIVO,0,,mg/L,60.5,0.002,-0.0004,0.0034,0.0011,0.0015
,SA004470-001,8.7365,,mg/L,9.2,0.0321,0.0011,0.0292,0.032,0.0351
,SA004470-002,9.1253,,mg/L,2.6,0.0378,0.0013,0.0386,0.0367,0.0381
,SA004470-003,10.0628,,mg/L,2.1,0.0416,0.002,0.0406,0.0419,0.0423
,SA004470-004,-0.0406,,mg/L,>100,-0.0002,-0.0018,-0.0003,-0.0003,0.0001
,SA004470-005,7.717,,mg/L,2.6,0.0323,0.0006,0.0332,0.0321,0.0315
,PATRON,0.9881,,mg/L,2.5,0.0983,-0.0022,0.1006,0.0956,0.0986
,SA004470-006,17.4878,,mg/L,0.9,0.071,0.0005,0.0716,0.071,0.0703
,SA004470-007,17.2629,,mg/L,1.7,0.0704,0.001,0.069,0.0711,0.0711
,SA004470-008,25.7941,,mg/L,2.2,0.0683,0.0018,0.068,0.0669,0.0699
,SA004470-009,6.0192,,mg/L,1.1,0.0252,-0.0002,0.0254,0.0249,0.0253
,PATRON,1.0077,,mg/L,3.6,0.1001,-0.0015,0.0959,0.1028,0.1015
,BLANCO,0.009,,mg/L,61.1,0.001,-0.0028,0.0016,0.0004,0.0009
,BLANCO REACTIVO,0,,mg/L,21.2,0.0022,-0.0004,0.0025,0.0017,0.0024
,BLANCO REACTIVO,0,,mg/L,38.3,0.0024,-0.0007,0.0015,0.0024,0.0033
