Analista,RR,,,,,,,,,
Fecha de inicio,04/07/2024 12:25 p. m.  GMT: 04/07/2024 06:25 p. m.,,,,,,,,,
Hoja de trabajo,SA004623-,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.9957,,mg/L,0.7,0.0992,0.0003,0.0992,0.0985,0.0999
,BLANCO,0.0027,,mg/L,39,0.0003,-0.0003,0.0004,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,86.7,0.0002,-0.0003,0,0.0003,0.0002
,SA004623-001,9.7134,,mg/L,2,0.0402,0.0042,0.0394,0.0402,0.041
,SA004623-002,9.6116,,mg/L,0.9,0.0398,0.0041,0.0396,0.0396,0.0402
,SA004623-003,0.0632,,mg/L,70.2,0.0003,-0.0007,0.0002,0.0005,0.0001
,SA004623-004,13.0168,,mg/L,1.3,0.0534,0.0042,0.0531,0.053,0.0542
,SA004623-005,3.4663,,mg/L,3.7,0.0149,0.0073,0.0146,0.0146,0.0155
,PATRON,1.0023,,mg/L,1.7,0.0998,0.0004,0.0998,0.0981,0.1016
,BLANCO,0.0003,,mg/L,>100,0,-0.0004,0.0003,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,20.1,0.0004,-0.0002,0.0005,0.0005,0.0003
