Analista,RR,,,,,,,,,
Fecha de inicio,01/08/2024 03:25 p. m.  GMT: 01/08/2024 09:25 p. m.,,,,,,,,,
Hoja de trabajo,SA004927_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.9821,,mg/L,0.6,0.1247,0.0004,0.1239,0.1254,0.1247
,BLANCO,-0.0026,,mg/L,>100,-0.0003,0.0002,0.0004,-0.0005,-0.0009
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0005,0.0005,0.0003,-0.0002
,SA004927-001,5.3212,,mg/L,2.4,0.0279,0.0053,0.028,0.0271,0.0284
,SA004927-002,3.9882,,mg/L,1.5,0.021,0.0052,0.0206,0.021,0.0212
,SA004927-003,6.9712,,mg/L,0.6,0.0365,0.0054,0.0366,0.0362,0.0365
,SA004927-004,2.1943,,mg/L,8.9,0.0116,0.0044,0.0104,0.0124,0.0119
,SA004927-005,3.438,,mg/L,2.7,0.018,0.0061,0.0176,0.018,0.0185
,PATRON,0.9831,,mg/L,1,0.1248,0.0009,0.1259,0.1251,0.1234
,SA004927-006,1.4629,,mg/L,8,0.0077,0.0071,0.0083,0.0077,0.0071
,SA004927-007,5.8555,,mg/L,5,0.0307,0.0056,0.0294,0.0324,0.0303
,SA004927-008,7.3645,,mg/L,1.3,0.0385,0.0069,0.0386,0.0389,0.0379
,SA004927-009,6.7198,,mg/L,1.3,0.0351,0.0063,0.0348,0.035,0.0357
,SA004927-010,4.8382,,mg/L,4.2,0.0254,0.007,0.0242,0.0263,0.0256
,PATRON,0.982,,mg/L,0.7,0.1246,0.0001,0.1255,0.1237,0.1247
,BLANCO,0.0021,,mg/L,88.4,0.0003,-0.0008,0.0001,0.0001,0.0005
,BLANCO REACTIVO,0,,mg/L,>100,-0.0004,0.0005,-0.0016,0.0003,0
,SA004927-011,3.5789,,mg/L,3.6,0.0188,0.0062,0.0195,0.0183,0.0185
,SA004927-012,-0.0318,,mg/L,>100,-0.0002,0.001,0,0.0005,-0.001
,SA004927-013,36.3763,,mg/L,0.5,0.1812,0.0117,0.1802,0.1821,0.1813
,SA004927-014,3.3757,,mg/L,3.7,0.0177,0.0091,0.0178,0.0171,0.0184
,SA004927-015,0.0456,,mg/L,>100,0.0002,0.0052,0.0012,-0.0004,-0.0001
,PATRON,0.9941,,mg/L,0.2,0.1261,0.0015,0.1258,0.1263,0.1264
,SA004927-016,5.0184,,mg/L,4.3,0.0263,0.0096,0.0268,0.0271,0.025
,SA004927-017,3.6123,,mg/L,6.7,0.019,0.0076,0.0192,0.0201,0.0176
,SA004927-018,4.49,,mg/L,3.8,0.0235,0.0074,0.0243,0.0238,0.0225
,SA004927-019,3.0532,,mg/L,3.8,0.016,0.008,0.0166,0.0154,0.0159
,SA004927-020,2.9617,,mg/L,4.6,0.0156,0.008,0.0148,0.0162,0.0157
,PATRON,1.0144,,mg/L,0.5,0.1286,0.0014,0.1293,0.1279,0.1285
,BLANCO,-0.0026,,mg/L,>100,-0.0003,0.0013,-0.0023,0.0017,-0.0005
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0001,-0.0004,-0.0007,0.0009
,SA004927-021,8.2865,,mg/L,1.8,0.0432,0.0075,0.0441,0.0426,0.043
,SA004927-022,4.0528,,mg/L,1.5,0.0213,0.0069,0.0216,0.021,0.0212
,SA004927-023,3.6029,,mg/L,5.5,0.0189,0.0062,0.0199,0.019,0.0178
,SA004927-024,3.5231,,mg/L,3.4,0.0184,0.006,0.019,0.0177,0.0186
,SA004927-025,9.2992,,mg/L,0.3,0.0486,0.0058,0.0487,0.0485,0.0484
,PATRON,1.0024,,mg/L,1,0.1271,0.001,0.1264,0.1286,0.1263
,SA004927-026,0.1595,,mg/L,>100,0.0008,0.0005,-0.0004,0.002,0.0009
,SA004927-027,8.0863,,mg/L,2.5,0.0423,0.0068,0.0435,0.0418,0.0416
,SA004927-028,6.0907,,mg/L,2.9,0.0319,0.0067,0.0319,0.0328,0.031
,SA004927-029,5.7539,,mg/L,1.1,0.0302,0.0082,0.03,0.03,0.0305
,SA004927-030,3.0856,,mg/L,2.2,0.0162,0.0089,0.0162,0.0166,0.0159
,PATRON,0.9956,,mg/L,0.3,0.1263,0.0015,0.1259,0.1263,0.1267
,BLANCO,-0.005,,mg/L,85.3,-0.0007,0.0007,-0.0002,-0.0005,-0.0013
,BLANCO REACTIVO,0,,mg/L,>100,0,0,-0.0014,0.0016,-0.0003
,SA004927-031,4.5513,,mg/L,1.4,0.0239,0.0087,0.0237,0.0243,0.0237
,SA004927-032,4.89,,mg/L,4.5,0.0257,0.0072,0.0263,0.0243,0.0264
,PATRON,1.0109,,mg/L,0.3,0.1282,0.0015,0.1286,0.1278,0.1281
,BLANCO,0.0024,,mg/L,>100,0.0003,-0.0005,-0.0001,0.0012,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,0.0013,-0.001,-0.0007
