Analista,,,,,,,,,,
Fecha de inicio,02/08/2024 05:35 a. m.  GMT: 02/08/2024 11:35 a. m.,,,,,,,,,
Hoja de trabajo,SA004952-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5138,,mg/L,4,0.0171,0.0018,0.0172,0.0176,0.0163
,BLANCO,-0.0091,,mg/L,>100,-0.0003,0.0003,0.0001,-0.0001,-0.0008
,BLANCO REACTIVO,0,,mg/L,36.2,0.0009,-0.0008,0.0007,0.0008,0.0013
,SA004923-014,0.4959,,mg/L,0.8,0.0474,-0.0015,0.0475,0.047,0.0478
,SA004923-015,0.9518,,mg/L,1,0.0915,0.0011,0.0914,0.0925,0.0906
,SA004923-016,0.2475,,mg/L,0.6,0.0235,0.0006,0.0237,0.0234,0.0234
,SA004923-017,0.2114,,mg/L,2,0.0201,-0.0011,0.02,0.0197,0.0205
,SA004923-018,0.4426,,mg/L,0.8,0.0423,0.0003,0.0425,0.0419,0.0423
,PATRON,0.498,,mg/L,3.3,0.0165,-0.0003,0.0161,0.0163,0.0171
,SA004923-019,0.4439,,mg/L,0.8,0.0424,-0.001,0.0421,0.0427,0.0423
,SA004923-020,1.0576,,mg/L,0.6,0.1018,-0.0007,0.1012,0.1024,0.1017
,PATRON,0.5131,,mg/L,0.9,0.017,-0.0003,0.0172,0.0169,0.017
,BLANCO,0.0141,,mg/L,>100,0.0005,-0.0018,0.001,0.0003,0.0001
,BLANCO REACTIVO,0,,mg/L,22.9,0.0009,-0.0007,0.0011,0.0011,0.0007
