Analista,RR,,,,,,,,,
Fecha de inicio,03/08/2024 10:47 a. m.  GMT: 03/08/2024 04:47 p. m.,,,,,,,,,
Hoja de trabajo,SA004967_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,
,,,,,,,,,,
,PATRON,0.9981,,mg/L,0.9,0.1166,0.0003,0.1173,0.1171,0.1154
,BLANCO,0.0035,,mg/L,31.5,0.0004,-0.0004,0.0003,0.0006,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0005,-0.0003,-0.0006,0.0016,0.0004
,SA004967-001,2.6158,,mg/L,7.3,0.0127,0.0041,0.0138,0.012,0.0124
,SA004967-002,2.9357,,mg/L,3,0.0141,0.0033,0.0138,0.0146,0.0139
,SA004967-003,2.1141,,mg/L,6.5,0.0103,0.0024,0.0096,0.0107,0.0107
,SA004967-004,3.1357,,mg/L,8.3,0.0151,0.002,0.0157,0.0136,0.0159
,SA004967-005,5.2598,,mg/L,1.3,0.0252,0.0027,0.025,0.0252,0.0256
,PATRON,1.0008,,mg/L,0.5,0.1169,-0.0002,0.1171,0.1163,0.1174
,SA004967-006,4.7506,,mg/L,3.9,0.0228,0.0032,0.0238,0.0222,0.0223
,SA004967-007,2.7245,,mg/L,8,0.0132,0.0031,0.0121,0.0143,0.0132
,SA004967-008,3.3076,,mg/L,3.4,0.016,0.0027,0.0156,0.0158,0.0166
,SA004967-009,4.5267,,mg/L,3.1,0.0217,0.003,0.0209,0.022,0.0221
,SA004967-010,4.6282,,mg/L,3.6,0.0222,0.0029,0.0224,0.0213,0.0229
,PATRON,1.0006,,mg/L,1.3,0.1169,-0.0004,0.1182,0.1153,0.1172
,BLANCO,0.0018,,mg/L,>100,0.0002,-0.0006,0.0014,0.0002,-0.001
,BLANCO REACTIVO,0,,mg/L,62.6,-0.0009,0.001,-0.0013,-0.0011,-0.0003
,SA004967-011,4.9618,,mg/L,3.4,0.024,0.0043,0.0231,0.0243,0.0247
,SA004967-012,2.5767,,mg/L,5.8,0.0125,0.0034,0.0132,0.0126,0.0118
,SA004967-013,3.7987,,mg/L,5.8,0.0184,0.0044,0.018,0.0175,0.0196
,SA004967-014,6.7294,,mg/L,1.5,0.0323,0.004,0.0318,0.0328,0.0322
,SA004967-015,7.8882,,mg/L,1,0.0376,0.0042,0.0373,0.0375,0.038
,PATRON,1.0157,,mg/L,0.6,0.1186,0.0012,0.1186,0.1193,0.1179
,SA004967-016,3.8209,,mg/L,3.7,0.0184,0.0058,0.0177,0.0185,0.019
,SA004967-017,8.9779,,mg/L,3.2,0.0427,0.0027,0.0426,0.0414,0.0442
,SA004967-018,12.4182,,mg/L,0.7,0.0597,0.0046,0.0597,0.0592,0.0601
,SA004967-019,28.8196,,mg/L,1.9,0.1354,0.0067,0.1325,0.1367,0.137
,SA004967-020,22.9091,,mg/L,1,0.1082,0.004,0.1087,0.107,0.109
,PATRON,1.0166,,mg/L,0.6,0.1187,0.0012,0.1185,0.1182,0.1195
,BLANCO,-0.0068,,mg/L,>100,-0.0008,-0.0017,-0.0008,0.0003,-0.002
,BLANCO REACTIVO,0,,mg/L,66.3,0.0016,-0.0008,0.0023,0.0019,0.0004
,SA004967-021,-0.1983,,mg/L,36.4,-0.001,-0.0023,-0.0008,-0.0014,-0.0007
,SA004967-022,15.0995,,mg/L,0.5,0.0712,0.0029,0.0716,0.0709,0.0713
,SA004967-023,14.0942,,mg/L,1.4,0.0669,0.0032,0.0679,0.0661,0.0666
,SA004967-024,35.9766,,mg/L,1,0.1674,0.0043,0.1688,0.1655,0.168
,SA004967-025,5.6035,,mg/L,1.1,0.0271,0.002,0.027,0.0275,0.027
,PATRON,0.9922,,mg/L,0.4,0.1159,-0.0013,0.1157,0.1165,0.1156
,SA004967-026,15.8738,,mg/L,1.8,0.0752,0.0009,0.0743,0.0767,0.0746
,SA004967-027,11.5941,,mg/L,1.1,0.0553,0.0029,0.056,0.0548,0.0551
,SA004967-028,6.0966,,mg/L,3,0.0294,0.0007,0.0295,0.0285,0.0303
,SA004967-029,9.1581,,mg/L,2.1,0.0436,0.0017,0.0436,0.0446,0.0427
,SA004967-030,-0.123,,mg/L,>100,-0.0006,-0.0018,-0.0013,0.0002,-0.0007
,PATRON,0.9843,,mg/L,1.1,0.115,-0.0017,0.114,0.1165,0.1145
,BLANCO,-0.0062,,mg/L,44,-0.0008,0.0004,-0.0011,-0.0007,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0002,-0.0002,0.0009,0.0002
,SA004967-031,12.9336,,mg/L,1.7,0.0618,0.003,0.0613,0.0611,0.0631
,SA004967-032,25.2779,,mg/L,1.5,0.1185,0.0038,0.1165,0.1199,0.1191
,PATRON,1.0152,,mg/L,0.4,0.1185,0.0005,0.1184,0.1191,0.1181
,BLANCO,0.0027,,mg/L,>100,0.0003,0,0.0009,-0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0,0.0004,-0.0005,0.0005
