Analista,M VG,,,,,,,,,,,,
Fecha de inicio,05/08/2024 01:09 a. m.  GMT: 05/08/2024 07:09 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA004988_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9973,,mg/L,0.9,0.1321,0.0004,1,1,1,0.1314,0.1335,0.1315
,BLANCO,-0.0039,,mg/L,57.9,-0.0006,0.0005,1,1,1,-0.0003,-0.0009,-0.0005
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0,1,1,1,-0.0002,0.0008,-0.0002
,SA004988-001,5.6567,,mg/L,3.1,0.024,0.0033,2.012,50,1,0.0233,0.0238,0.0247
,SA004988-002,2.6092,,mg/L,10,0.011,0.0028,1.989,50,1,0.0119,0.0098,0.0114
,SA004988-003,2.2544,,mg/L,3.5,0.0095,0.0026,1.983,50,1,0.0095,0.0092,0.0099
,SA004988-004,1.9888,,mg/L,4,0.0084,0.0049,1.986,50,1,0.0087,0.008,0.0085
,SA004988-005,1.9488,,mg/L,4.9,0.0112,0.004,2.016,50,1,0.0108,0.0109,0.0118
,PATRON,0.9868,,mg/L,1.1,0.1308,0.0007,1,1,1,0.1318,0.1316,0.1291
,SA004988-006,1.5114,,mg/L,6.1,0.0086,0.0057,2.003,50,1,0.0087,0.0091,0.0081
,SA004988-007,1.4894,,mg/L,5.3,0.0084,0.0055,1.981,50,1,0.008,0.0084,0.0089
,SA004988-008,2.1098,,mg/L,10.8,0.012,0.005,2.001,50,1,0.0105,0.0126,0.0129
,SA004988-009,2.383,,mg/L,5.5,0.0135,0.0048,1.997,50,1,0.0127,0.0142,0.0137
,SA004988-010,1.5273,,mg/L,4.6,0.0088,0.0054,2.028,50,1,0.0092,0.0084,0.0089
,PATRON,0.9902,,mg/L,0.6,0.1312,0.0015,1,1,1,0.1313,0.1304,0.1319
,BLANCO,-0.0068,,mg/L,82.1,-0.001,0.0009,1,1,1,-0.0006,-0.0019,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0004,1,1,1,-0.001,0.0006,-0.0002
,SA004988-011,2.2302,,mg/L,5.2,0.0127,0.0065,2.004,50,1,0.0128,0.012,0.0133
,SA004988-012,1.9329,,mg/L,9.7,0.0108,0.0049,1.954,50,1,0.0119,0.0106,0.0098
,SA004988-013,-0.1338,,mg/L,32,-0.0008,0.0008,2.017,50,1,-0.0011,-0.0006,-0.0007
,SA004988-014,2.0786,,mg/L,4.7,0.012,0.0053,2.034,50,1,0.0117,0.0127,0.0117
,SA004988-015,2.0895,,mg/L,4.6,0.012,0.0052,2.01,50,1,0.0125,0.0119,0.0114
,PATRON,1.0047,,mg/L,0.4,0.133,0.0003,1,1,1,0.1325,0.1336,0.133
,SA004988-016,1.9013,,mg/L,2.7,0.0108,0.0042,2,50,1,0.0108,0.0105,0.0111
,SA004988-017,1.4025,,mg/L,71.7,0.0081,0.0044,2.019,50,1,0.0014,0.0114,0.0114
,SA004988-018,1.544,,mg/L,4.8,0.0089,0.0065,2.014,50,1,0.0087,0.0094,0.0086
,SA004988-019,2.5562,,mg/L,4.5,0.0148,0.0054,2.042,50,1,0.0144,0.0145,0.0156
,SA004988-020,2.1828,,mg/L,3.9,0.0126,0.0072,2.034,50,1,0.0129,0.0121,0.013
,PATRON,0.9862,,mg/L,0.4,0.1307,0.0015,1,1,1,0.1313,0.1303,0.1306
,BLANCO,-0.0044,,mg/L,73,-0.0006,0.0006,1,1,1,-0.0001,-0.001,-0.0007
,BLANCO REACTIVO,0,,mg/L,80.3,-0.0006,0.0004,1,1,1,-0.0007,-0.0001,-0.001
,SA004988-021,1.2759,,mg/L,5.7,0.0073,0.0051,1.993,50,1,0.0069,0.0072,0.0077
,SA004988-022,1.1201,,mg/L,7.2,0.0064,0.0071,2.011,50,1,0.006,0.0069,0.0064
,SA004988-023,1.3701,,mg/L,12.2,0.0078,0.0057,1.986,50,1,0.0075,0.007,0.0088
,SA004988-024,1.2021,,mg/L,5.9,0.0068,0.0061,1.994,50,1,0.0065,0.0073,0.0068
,SA004988-025,0.8749,,mg/L,14.8,0.005,0.0076,2.005,50,1,0.0042,0.0053,0.0056
,PATRON,0.9814,,mg/L,0.3,0.1301,0.0027,1,1,1,0.1297,0.1305,0.1301
,SA004988-026,-0.2532,,mg/L,77.4,-0.0015,0.0029,2,50,1,-0.0003,-0.0016,-0.0025
,SA004988-027,1.9986,,mg/L,0.4,0.0114,0.0078,2.011,50,1,0.0115,0.0115,0.0114
,SA004988-028,0.7967,,mg/L,9.5,0.0046,0.0084,2.013,50,1,0.0047,0.0041,0.005
,SA004988-029,1.8435,,mg/L,5.3,0.0105,0.0074,2,50,1,0.0111,0.0103,0.0101
,SA004988-030,1.5949,,mg/L,8.6,0.0092,0.0077,2.014,50,1,0.0083,0.0097,0.0095
,PATRON,1.0114,,mg/L,0.7,0.1277,0.0016,1,1,1,0.128,0.1267,0.1284
,BLANCO,-0.0102,,mg/L,53.7,-0.0014,0.0014,1,1,1,-0.0009,-0.0023,-0.001
,BLANCO REACTIVO,0,,mg/L,24.2,-0.0028,0.0029,1,1,1,-0.002,-0.003,-0.0033
,SA004988-031,2.2633,,mg/L,3.8,0.0123,0.0084,2.016,50,1,0.0126,0.0126,0.0118
,SA004988-032,14.8911,,mg/L,1.1,0.077,0.0111,1.995,50,1,0.0763,0.0769,0.0779
,PATRON,1.0169,,mg/L,0.6,0.1284,0.0071,1,1,1,0.1275,0.1287,0.1289
,BLANCO,0.0014,,mg/L,>100,0.0002,0.0053,1,1,1,0.0001,-0.0006,0.001
,BLANCO REACTIVO,0,,mg/L,0.6,-0.0023,0.0024,1,1,1,-0.0023,-0.0023,-0.0023
