Analista,M V G,,,,,,,,,,,,
Fecha de inicio,05/08/2024 01:10 a. m.  GMT: 05/08/2024 07:10 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA004989_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9948,,mg/L,0.5,0.1283,0.0004,,,,0.1281,0.1289,0.1278
,BLANCO,0.0009,,mg/L,>100,0.0001,0,,,,0.0008,-0.0012,0.0008
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0002,,,,0.0008,-0.0002,0
,SA004989-001,1.4201,,mg/L,13.5,0.0078,0.006,2,5,,0.0077,0.0089,0.0068
,SA004989-002,1.2499,,mg/L,5.7,0.0068,0.0037,1.99,5,,0.0072,0.0064,0.0069
,SA004989-003,1.2795,,mg/L,6.5,0.007,0.0034,2,5,,0.0068,0.0067,0.0075
,SA004989-004,0.0013,,mg/L,>100,0,0.0018,1.99,5,,0.0011,-0.0004,-0.0007
,SA004989-005,1.9808,,mg/L,4.4,0.0108,0.0042,1.99,5,,0.0106,0.0105,0.0113
,PATRON,1.0011,,mg/L,1.4,0.129,0.0007,,,,0.1311,0.128,0.1281
,SA004989-006,2.0511,,mg/L,1.1,0.0112,0.0038,2,5,,0.0113,0.0111,0.0112
,SA004989-007,2.0642,,mg/L,10.8,0.0111,0.0044,1.97,5,,0.0123,0.011,0.0099
,SA004989-008,2.401,,mg/L,4.5,0.0131,0.0045,1.99,5,,0.0136,0.0132,0.0124
,SA004989-009,1.949,,mg/L,5.1,0.0106,0.003,1.98,5,,0.0102,0.0103,0.0112
,SA004989-010,1.4714,,mg/L,13.6,0.0081,0.0043,2.01,5,,0.0094,0.0072,0.0077
,PATRON,0.9919,,mg/L,0.4,0.1279,0.0002,,,,0.1279,0.1284,0.1274
,BLANCO,-0.0042,,mg/L,49.7,-0.0006,0.0002,,,,-0.0005,-0.0009,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0002,,,,-0.0009,0.001,-0.0005
,SA004989-011,14.2206,,mg/L,0.7,0.0751,0.0044,2,5,,0.0753,0.0756,0.0746
,SA004989-012,1.4805,,mg/L,14.1,0.0081,0.0043,2.01,5,,0.0074,0.0095,0.0076
,SA004989-013,1.7546,,mg/L,3.8,0.0096,0.0038,2,5,,0.01,0.0093,0.0095
,SA004989-014,2.0931,,mg/L,4.5,0.0113,0.0059,1.97,5,,0.0117,0.0114,0.0107
,SA004989-015,2.2764,,mg/L,6.9,0.0125,0.0051,2.01,5,,0.0115,0.0132,0.0127
,PATRON,0.9979,,mg/L,0.2,0.1286,0.0012,,,,0.1289,0.1284,0.1286
,SA004989-016,0.0497,,mg/L,>100,0.0003,0.0044,1.99,5,,-0.0004,-0.0001,0.0013
,SA004989-017,2.9575,,mg/L,5.9,0.016,0.0048,1.98,5,,0.015,0.0169,0.0161
,SA004989-018,2.3958,,mg/L,3.7,0.013,0.0055,1.99,5,,0.0124,0.0133,0.0133
,SA004989-019,2.3313,,mg/L,3.9,0.0129,0.0056,2.02,5,,0.0134,0.0125,0.0126
,SA004989-020,2.3535,,mg/L,2.9,0.0127,0.0058,1.97,5,,0.0128,0.0123,0.0129
,PATRON,0.9842,,mg/L,0.6,0.127,0.001,,,,0.1262,0.1277,0.1269
,BLANCO,0.0008,,mg/L,>100,0.0001,0.0003,,,,0.0008,0.0001,-0.0006
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0001,,,,0.0003,-0.0002,0.001
,SA004989-021,2.2878,,mg/L,4.7,0.0126,0.0051,2.02,5,,0.0133,0.0122,0.0123
,SA004989-022,2.5248,,mg/L,4.4,0.0139,0.0043,2.01,5,,0.0132,0.0143,0.0142
,SA004989-023,1.9243,,mg/L,13,0.0106,0.0064,2.01,5,,0.0094,0.0121,0.0103
,SA004989-024,1.7763,,mg/L,6,0.0096,0.0051,1.98,5,,0.0096,0.0091,0.0102
,SA004989-025,1.8807,,mg/L,4.9,0.0102,0.0054,1.99,5,,0.0099,0.0108,0.01
,PATRON,1.0051,,mg/L,0.2,0.1265,0.0004,,,,0.1263,0.1264,0.1267
,SA004989-026,1.8812,,mg/L,6.5,0.0099,0.0043,1.97,5,,0.0093,0.0105,0.0099
,SA004989-027,1.9982,,mg/L,8.7,0.0109,0.0039,2.04,5,,0.0099,0.0108,0.0118
,SA004989-028,2.1388,,mg/L,7.8,0.0114,0.0046,2,5,,0.0106,0.0112,0.0124
,SA004989-029,2.1607,,mg/L,4.9,0.0115,0.0037,1.99,5,,0.0111,0.0121,0.0112
,SA004989-030,0.0846,,mg/L,>100,0.0005,-0.0004,,5,,0.0007,0.001,-0.0003
,PATRON,1.0062,,mg/L,0.3,0.1266,-0.0002,,,,0.127,0.1265,0.1263
,BLANCO,0.0034,,mg/L,34.6,0.0005,-0.0003,,,,0.0004,0.0004,0.0006
,BLANCO REACTIVO,0,,mg/L,17.9,-0.0006,0.0005,,,,-0.0007,-0.0006,-0.0005
