Analista,,,,,,,,,,,,,
Fecha de inicio,13/08/2024 01:24 a. m.  GMT: 13/08/2024 07:24 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005053_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4833,,mg/L,1.6,0.0154,0.0002,,,,0.0151,0.0155,0.0155
,BLANCO,-0.0043,,mg/L,>100,-0.0001,-0.0012,,,,-0.0003,0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,50.3,0.0006,-0.0001,,,,0.0005,0.0009,0.0003
,SA005053-001,0.6834,,mg/L,1,0.0616,-0.0006,20.06,,,0.0609,0.062,0.0619
,SA005053-002,0.0492,,mg/L,7.6,0.0045,-0.001,20,,,0.0041,0.0046,0.0048
,SA005053-003,0.0491,,mg/L,12.7,0.0045,-0.0007,20.07,,,0.0046,0.0049,0.0038
,SA005053-004,0.1373,,mg/L,4.8,0.0125,-0.0008,20.02,,,0.0125,0.0119,0.0131
,SA005053-005,0.1061,,mg/L,3.4,0.0097,-0.0006,20.08,,,0.0095,0.0095,0.0101
,PATRON,0.4847,,mg/L,2.1,0.0154,0.0005,,,,0.0153,0.0158,0.0151
,SA005053-006,0.1191,,mg/L,1,0.0108,-0.0003,20.03,,,0.0109,0.0108,0.0107
,SA005053-007,0.1241,,mg/L,1.7,0.0113,-0.0001,20.07,,,0.0115,0.0111,0.0114
,SA005053-008,0.2873,,mg/L,0.9,0.0261,0.0001,20.04,,,0.0263,0.0258,0.0261
,SA005053-009,0.3187,,mg/L,0.4,0.0289,-0.0002,20.04,,,0.029,0.029,0.0288
,SA005053-010,0.1703,,mg/L,0.7,0.0155,0.0001,20.03,,,0.0156,0.0154,0.0154
,PATRON,0.4814,,mg/L,0.9,0.0153,0.0006,,,,0.0155,0.0152,0.0152
,BLANCO,0.0052,,mg/L,54.6,0.0002,-0.0007,,,,0.0003,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0003,,,,-0.0002,0.0002,0
,SA005053-011,0.1439,,mg/L,1.6,0.0131,0.0005,20.04,,,0.0131,0.0133,0.0129
,SA005053-012,0.2261,,mg/L,1.9,0.0206,0.0006,20.07,,,0.0204,0.021,0.0203
,SA005053-013,0.0791,,mg/L,3.4,0.0072,0.0005,20.02,,,0.0073,0.0069,0.0074
,SA005053-014,0.2525,,mg/L,3.2,0.0229,0.0006,20.04,,,0.0221,0.0234,0.0233
,SA005053-015,0.1627,,mg/L,1.3,0.0148,0.0004,20.04,,,0.0148,0.015,0.0146
,PATRON,0.4971,,mg/L,4.1,0.0158,0.0014,,,,0.015,0.0162,0.0161
,SA005053-016,0.2427,,mg/L,2.2,0.0221,0.0006,20.05,,,0.0216,0.0225,0.0221
,SA005053-017,0.3486,,mg/L,0.6,0.0316,0.0008,20.07,,,0.0314,0.0317,0.0318
,SA005053-018,0.1879,,mg/L,2.2,0.0171,0.0006,20.04,,,0.0175,0.0167,0.017
,SA005053-019,0.2626,,mg/L,0.8,0.0239,0.0011,20.07,,,0.024,0.0239,0.0237
,SA005053-020,0.3375,,mg/L,1.5,0.0306,0.0008,20.05,,,0.0301,0.0309,0.0309
,PATRON,0.505,,mg/L,4.4,0.016,0.0012,,,,0.0168,0.0155,0.0157
,BLANCO,0.0017,,mg/L,>100,0.0001,0.0005,,,,0.0002,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,,,,0,-0.0004,0.0007
,SA005053-021,0.338,,mg/L,1.1,0.0306,0.0007,20.02,,,0.0304,0.0305,0.031
,SA005053-022,0.3982,,mg/L,1,0.0361,0.0008,20.06,,,0.0357,0.0364,0.0362
,SA005053-023,0.3516,,mg/L,0.3,0.0319,0.0005,20.07,,,0.032,0.0318,0.0319
,SA005053-024,0.4989,,mg/L,0.5,0.0451,0.0005,20.06,,,0.045,0.0454,0.045
,SA005053-025,0.0012,,mg/L,>100,0.0001,0.0006,2,,,0.0003,0.0002,-0.0002
,PATRON,0.4888,,mg/L,2.6,0.0155,0.0011,,,,0.0153,0.0153,0.016
,SA005053-026,0.2502,,mg/L,1.9,0.0227,0.0009,20.07,,,0.0223,0.0228,0.0232
