Analista,GGP,,,,,,,,,,,,
Fecha de inicio,13/08/2024 04:19 a. m.  GMT: 13/08/2024 10:19 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005058_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5079,,mg/L,0.4,0.0162,0.0015,,,,0.0161,0.0163,0.0162
,BLANCO,-0.0044,,mg/L,>100,-0.0001,0.0004,,,,0.0001,-0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,61.3,0.0004,-0.0002,,,,0.0007,0.0004,0.0002
,SA005058-001,0.7255,,mg/L,0.6,0.0668,-0.0006,20.06,,,0.0664,0.0673,0.0668
,SA005058-002,0.401,,mg/L,0.3,0.0367,-0.0003,20.02,,,0.0367,0.0366,0.0368
,SA005058-003,0.1905,,mg/L,1.6,0.0174,-0.0005,20.04,,,0.0177,0.0172,0.0173
,SA005058-004,0.4102,,mg/L,1.2,0.0376,-0.0004,20.03,,,0.0371,0.038,0.0376
,SA005058-005,0.2873,,mg/L,0.4,0.0263,-0.0003,20.05,,,0.0263,0.0264,0.0262
,PATRON,0.5116,,mg/L,0.9,0.0163,0.0003,,,,0.0163,0.0162,0.0165
,SA005058-006,0.0072,,mg/L,41.5,0.0007,-0.0005,20.04,,,0.0009,0.0004,0.0006
,SA005058-007,0.4277,,mg/L,1.5,0.0392,-0.0006,20.03,,,0.0385,0.0394,0.0397
,SA005058-008,0.4263,,mg/L,0.6,0.0391,-0.0003,20.06,,,0.0392,0.0389,0.0393
,SA005058-009,0.3026,,mg/L,1,0.0277,-0.0003,20.04,,,0.0275,0.028,0.0276
,SA005058-010,0.4064,,mg/L,0.3,0.0373,-0.0003,20.08,,,0.0374,0.0373,0.0372
,PATRON,0.5008,,mg/L,2.6,0.016,0.0007,,,,0.0164,0.0156,0.016
,BLANCO,0.0065,,mg/L,>100,0.0002,-0.0006,,,,0,0.0006,0.0001
,BLANCO REACTIVO,0,,mg/L,43.4,0.0005,-0.0003,,,,0.0006,0.0007,0.0003
,SA005058-011,0.5575,,mg/L,0.7,0.0513,-0.0008,20.09,,,0.051,0.0513,0.0517
,SA005058-012,0.003,,mg/L,98.6,0.0003,-0.0005,2,,,0.0003,0.0005,0
,SA005058-013,0.3617,,mg/L,0.5,0.0332,-0.0005,20.08,,,0.033,0.0333,0.0333
,SA005058-014,0.2711,,mg/L,0.7,0.0248,-0.0006,20.04,,,0.0247,0.025,0.0246
,SA005058-015,0.3854,,mg/L,0.8,0.0353,-0.0005,20.03,,,0.0351,0.0352,0.0356
,PATRON,0.484,,mg/L,2.8,0.0154,-0.0003,,,,0.0149,0.0156,0.0157
,SA005058-016,0.4433,,mg/L,1.3,0.0407,-0.0009,20.05,,,0.0403,0.0413,0.0405
,SA005058-017,0.2653,,mg/L,0.9,0.0243,-0.0006,20.08,,,0.0244,0.0241,0.0245
,SA005058-018,0.262,,mg/L,0.9,0.024,-0.0007,20.06,,,0.0237,0.024,0.0241
,SA005058-019,0.3,,mg/L,1.4,0.0274,-0.0005,20.03,,,0.0272,0.0279,0.0272
,PATRON,0.5003,,mg/L,2.9,0.0159,0.0004,,,,0.0164,0.0158,0.0156
,BLANCO,0.0067,,mg/L,>100,0.0002,-0.001,,,,0.0005,0.0007,-0.0005
,BLANCO REACTIVO,0,,mg/L,34.3,0.001,-0.0005,,,,0.0008,0.0013,0.0007
