Analista,GGP,,,,,,,,,,,,
Fecha de inicio,17/08/2024 01:33 a. m.  GMT: 17/08/2024 07:33 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005109-RCK_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0037,,mg/L,1.5,0.1297,0.0009,,,,0.1305,0.1276,0.1311
,BLANCO,-0.0049,,mg/L,>100,-0.0007,0.0008,,,,-0.0007,0.0001,-0.0014
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0005,,,,0,0.0008,0.0004
,SA005109-001,24.9598,,mg/L,0.9,0.1297,0.0066,2.01,5,,0.1289,0.1293,0.1311
,SA005109-002,26.1617,,mg/L,1.3,0.1351,0.0065,2,5,,0.1337,0.1371,0.1346
,SA005109-003,11.2386,,mg/L,3.1,0.0594,0.0062,2,5,,0.0575,0.0596,0.0612
,SA005109-004,11.3573,,mg/L,1.3,0.06,0.006,2,5,,0.0594,0.0609,0.0599
,SA005109-005,-0.0574,,mg/L,>100,-0.0003,-0.0006,,5,,0.0009,-0.0005,-0.0014
,PATRON,1.011,,mg/L,0.3,0.1306,-0.0002,,,,0.1304,0.1305,0.1311
,SA005109-006,8.9822,,mg/L,0.5,0.048,0.0059,2.01,5,,0.0477,0.0481,0.0481
,SA005109-007,15.1134,,mg/L,0.8,0.0798,0.0035,2.01,5,,0.0791,0.0803,0.0801
,PATRON,1.0178,,mg/L,0.9,0.1315,-0.0009,,,,0.1315,0.1327,0.1302
,BLANCO,0.0034,,mg/L,60.8,0.0005,-0.0013,,,,0.0008,0.0003,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0004,0.0002,,,,-0.0012,0.0005,-0.0005
