Analista,GGP,,,,,,,,,
Fecha de inicio,24/08/2024 08:48 a. m.  GMT: 24/08/2024 02:48 p. m.,,,,,,,,,
Hoja de trabajo,SA005220_6,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Ag,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.9886,,mg/L,1,0.132,0.0002,0.1331,0.1305,0.1323
,BLANCO,0.0029,,mg/L,91.7,0.0004,-0.0005,0.0006,0,0.0007
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0003,-0.0001,0.0003,0.0004
,SA005220-001,5.9339,,mg/L,0.1,0.0342,0.0039,0.0341,0.0342,0.0342
,SA005220-002,2.1087,,mg/L,3.8,0.0121,0.0049,0.012,0.0116,0.0125
,SA005220-003,-0.0432,,mg/L,>100,-0.0002,0.0001,-0.0007,-0.0001,0
,SA005220-004,4.1804,,mg/L,0.8,0.0238,0.0071,0.0237,0.024,0.0237
,SA005220-005,3.2039,,mg/L,2.8,0.0183,0.0056,0.0179,0.0182,0.0188
,PATRON,1.0106,,mg/L,0.5,0.1299,0.0005,0.1305,0.1292,0.1299
,SA005220-006,6.0736,,mg/L,1.1,0.0332,0.0055,0.0329,0.0336,0.0332
,SA005220-007,3.2976,,mg/L,1.8,0.0182,0.0052,0.018,0.0179,0.0185
,SA005220-008,11.2395,,mg/L,1.3,0.0613,0.0058,0.0614,0.062,0.0604
,SA005220-009,8.4174,,mg/L,1,0.0454,0.0053,0.0454,0.0449,0.0459
,SA005220-010,6.4314,,mg/L,0.3,0.035,0.0038,0.0349,0.0351,0.0351
,PATRON,1.0068,,mg/L,0.6,0.1294,0.0006,0.1293,0.1302,0.1287
,BLANCO,-0.0009,,mg/L,97.9,-0.0001,0.0004,0,-0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0003,-0.0002,-0.0004,0
,SA005220-011,4.6694,,mg/L,2,0.0258,0.0061,0.0252,0.026,0.0262
,SA005220-012,16.0388,,mg/L,1.1,0.0848,0.0061,0.0845,0.0859,0.0841
,SA005220-013,15.8787,,mg/L,0.4,0.0849,0.0058,0.0851,0.0845,0.0852
,SA005220-014,3.5626,,mg/L,1.4,0.0196,0.0049,0.0194,0.0199,0.0195
,SA005220-015,25.5158,,mg/L,0.4,0.1322,0.0066,0.132,0.1328,0.1318
,PATRON,1.0087,,mg/L,1.2,0.1297,0.0012,0.1286,0.1314,0.129
,SA005220-016,9.0975,,mg/L,0.8,0.0496,0.0042,0.0492,0.05,0.0496
,SA005220-017,16.8202,,mg/L,1,0.0907,0.006,0.0898,0.0916,0.0907
,SA005220-018,7.7961,,mg/L,1.8,0.0426,0.005,0.0418,0.0433,0.0427
,SA005220-019,0.166,,mg/L,33.8,0.0009,0.0008,0.0013,0.0006,0.0009
,SA005220-020,13.9463,,mg/L,0.9,0.0749,0.0043,0.0741,0.0752,0.0754
,PATRON,1.0101,,mg/L,0.2,0.1298,0.0011,0.1296,0.1301,0.1298
,BLANCO,-0.0028,,mg/L,70.8,-0.0004,0.0007,-0.0005,-0.0006,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0004,0.0003,-0.0006,0.0002,-0.0008
,SA005220-021,15.5701,,mg/L,0.6,0.0834,0.0057,0.083,0.084,0.0832
,SA005220-022,8.2877,,mg/L,0.9,0.0451,0.0051,0.0446,0.0453,0.0453
,SA005220-023,14.354,,mg/L,0.6,0.0768,0.0064,0.0764,0.0767,0.0773
,SA005220-024,19.1291,,mg/L,0.8,0.1029,0.0062,0.1024,0.1038,0.1024
,SA005220-025,13.5845,,mg/L,0.9,0.0732,0.0056,0.0733,0.0738,0.0726
,PATRON,1.0047,,mg/L,0.9,0.1292,0.0014,0.1302,0.1279,0.1294
,SA005220-026,9.22,,mg/L,1.8,0.0507,0.0052,0.0504,0.0499,0.0517
,SA005220-027,6.7103,,mg/L,0.5,0.0365,0.0059,0.0367,0.0364,0.0365
,SA005220-028,7.6295,,mg/L,1.2,0.0418,0.0053,0.0416,0.0414,0.0424
,SA005220-029,6.9064,,mg/L,0.3,0.0378,0.0077,0.0377,0.038,0.0378
,SA005220-030,3.0963,,mg/L,0.8,0.0173,0.0053,0.0175,0.0173,0.0172
,PATRON,0.9981,,mg/L,0.2,0.1284,0.0016,0.1281,0.1286,0.1285
,BLANCO,0.0035,,mg/L,62.5,0.0005,0.0007,0.0008,0.0005,0.0002
,BLANCO REACTIVO,0,,mg/L,98.6,-0.0003,0.0005,-0.0005,0,-0.0005
,SA005220-031,4.6413,,mg/L,0.8,0.0256,0.0078,0.0254,0.0257,0.0258
,SA005220-032,4.4099,,mg/L,0.8,0.024,0.0079,0.0239,0.024,0.0243
,PATRON,1.0026,,mg/L,1.4,0.1289,0.0015,0.1276,0.1281,0.1311
,BLANCO,0.0012,,mg/L,>100,0.0002,0.0008,0.0003,-0.0001,0.0002
,BLANCO REACTIVO,0,,mg/L,36.1,-0.0005,0.0007,-0.0007,-0.0004,-0.0004
