Analista,RR,,,,,,,,,,,,
Fecha de inicio,01/09/2024 04:17 p. m.  GMT: 01/09/2024 10:17 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005343-RCK_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9872,,mg/L,1,0.1018,0.0005,,,,0.1029,0.1016,0.101
,BLANCO,0.0017,,mg/L,>100,0.0002,-0.0003,,,,-0.0004,0.0003,0.0007
,BLANCO REACTIVO,0,,mg/L,51.3,-0.0004,-0.0003,,,,-0.0006,-0.0002,-0.0005
,SA005343-001,10.9414,,mg/L,1,0.0471,0.0037,2,5,,0.0471,0.0476,0.0467
,SA005343-002,21.6964,,mg/L,1.2,0.0903,0.0046,2,5,,0.0904,0.0913,0.0892
,SA005343-003,22.3537,,mg/L,3.1,0.093,0.0058,2,5,,0.0904,0.0924,0.0961
,SA005343-004,0.1761,,mg/L,>100,0.0008,-0.0002,,5,,0.0017,0.001,-0.0004
,SA005343-005,15.0715,,mg/L,1.3,0.0638,0.0037,2,5,,0.0642,0.0644,0.0629
,PATRON,0.9864,,mg/L,1.4,0.1018,0.0006,,,,0.1029,0.1002,0.1022
,BLANCO,0.0029,,mg/L,>100,0.0003,-0.0001,,,,0.0008,0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,,,,0.0006,-0.0011,0.0003
