Analista,GGP,,,,,,,,,,,,
Fecha de inicio,04/09/2024 08:19 p. m.  GMT: 05/09/2024 02:19 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005368_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5018,,mg/L,2.6,0.0162,-0.0001,1,1,1,0.0165,0.0165,0.0157
,BLANCO,-0.0024,,mg/L,>100,-0.0001,0,1,1,1,-0.0001,0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,27.5,0.0008,0.0005,1,1,1,0.0008,0.001,0.0006
,SA005368-001,0.2706,,mg/L,0.5,0.025,-0.0009,20.019,7,1,0.0248,0.025,0.0251
,SA005368-002,0.1199,,mg/L,75.7,0.0111,0.001,20.037,7,1,0.0173,0.0145,0.0015
,SA005368-003,0.3482,,mg/L,1.2,0.0321,-0.0007,20.018,7,1,0.0322,0.0317,0.0324
,SA005368-004,0.642,,mg/L,0.1,0.0591,-0.0008,20.065,7,1,0.0591,0.0591,0.0591
,SA005368-005,0.5861,,mg/L,0.5,0.0538,-0.0007,20.006,7,1,0.0541,0.0539,0.0535
,PATRON,0.5005,,mg/L,1.4,0.0162,-0.0004,1,1,1,0.0161,0.016,0.0164
,SA005368-006,-0.0012,,mg/L,>100,-0.0001,-0.0007,20,7,1,0.0001,-0.0001,-0.0004
,SA005368-007,0.8821,,mg/L,0.8,0.0809,-0.0005,20.056,7,1,0.0812,0.0802,0.0813
,SA005368-008,1.2802,,mg/L,0.4,0.1165,-0.0005,20.014,7,1,0.1169,0.1159,0.1167
,SA005368-009,0.0071,,mg/L,19,0.0007,-0.0011,19.994,7,1,0.0006,0.0006,0.0008
,SA005368-010,0.4465,,mg/L,0.3,0.0412,-0.001,20.053,7,1,0.0411,0.0412,0.0413
,PATRON,0.4967,,mg/L,1.9,0.016,-0.0003,1,1,1,0.016,0.0157,0.0164
,BLANCO,0.0075,,mg/L,63.8,0.0002,-0.0008,1,1,1,0.0001,0.0004,0.0002
,BLANCO REACTIVO,0,,mg/L,30,0.0007,0.0001,1,1,1,0.0006,0.0007,0.001
,SA005368-011,0.4617,,mg/L,0.9,0.0424,-0.0007,19.983,7,1,0.0422,0.0422,0.0429
,SA005368-012,0.5311,,mg/L,0.5,0.0487,-0.0009,19.963,7,1,0.0488,0.0489,0.0485
,SA005368-013,0.2672,,mg/L,1.5,0.0247,-0.0011,20.091,7,1,0.0246,0.0252,0.0245
,SA005368-014,0.1257,,mg/L,6.3,0.0107,0.0004,20.08,7,1,0.0109,0.01,0.0113
,PATRON,0.498,,mg/L,1.7,0.0161,-0.0004,1,1,1,0.0162,0.0163,0.0158
,BLANCO,-0.0004,,mg/L,>100,0,-0.0006,1,1,1,0.0001,-0.0008,0.0006
,BLANCO REACTIVO,0,,mg/L,7.8,0.0008,0.0002,1,1,1,0.0008,0.0008,0.0007
