Analista,ACG,,,,,,,,,,,,
Fecha de inicio,04/09/2024 06:06 p. m.  GMT: 05/09/2024 12:06 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005370_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.508,,mg/L,2.8,0.0168,0.0007,1,1,1,0.0162,0.0171,0.017
,BLANCO,-0.0028,,mg/L,>100,-0.0001,0.0007,1,1,1,-0.0004,0.0002,0
,BLANCO REACTIVO,0,,mg/L,52,-0.0009,0.0001,1,1,1,-0.0011,-0.0004,-0.0012
,SA005370-001,0.2712,,mg/L,2.4,0.0257,0.0006,20.041,7,1,0.0264,0.0252,0.0256
,SA005370-002,0.6909,,mg/L,1.2,0.0664,0.0011,19.98,7,1,0.0673,0.0659,0.0659
,SA005370-003,0.6954,,mg/L,1.9,0.0672,0.0005,20.087,7,1,0.068,0.0678,0.0657
,SA005370-004,0.6722,,mg/L,2.8,0.0648,0.0006,20.057,7,1,0.0667,0.0645,0.0631
,SA005370-005,0.5885,,mg/L,3,0.0566,0.0008,20.076,7,1,0.0582,0.0568,0.0548
,PATRON,0.4925,,mg/L,3.8,0.0163,0.0017,1,1,1,0.0169,0.0161,0.0157
,SA005370-006,2.7716,,mg/L,1.5,0.2712,0.0012,20.087,7,1,0.2743,0.2726,0.2667
,SA005370-007,1.6336,,mg/L,2.9,0.1602,0.001,20.025,7,1,0.1635,0.1621,0.1548
,SA005370-008,0.9161,,mg/L,1.8,0.089,0.0007,20.076,7,1,0.0899,0.0898,0.0871
,SA005370-009,0.9686,,mg/L,0.8,0.094,0.0008,20.038,7,1,0.0938,0.0949,0.0933
,SA005370-010,0.0057,,mg/L,22,0.0005,-0.0001,19.971,7,1,0.0007,0.0005,0.0005
,PATRON,0.4897,,mg/L,6.3,0.0162,0.0024,1,1,1,0.015,0.0166,0.0169
,BLANCO,-0.001,,mg/L,>100,0,-0.0003,1,1,1,0,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,42.2,-0.0007,-0.0009,1,1,1,-0.0009,-0.0004,-0.0007
,SA005370-011,0.6662,,mg/L,0.8,0.064,0.0036,19.999,7,1,0.0634,0.0643,0.0643
,SA005370-012,0.665,,mg/L,0.9,0.0639,0.003,20.015,7,1,0.0637,0.0646,0.0635
,SA005370-013,0.4581,,mg/L,0.8,0.0437,0.004,20.013,7,1,0.0434,0.0441,0.0437
,SA005370-014,0.2722,,mg/L,1.5,0.0258,0.0033,19.991,7,1,0.0255,0.0262,0.0256
,SA005370-015,0.0024,,mg/L,>100,0.0002,0.0002,20.07,7,1,-0.0001,0.0004,0.0003
,PATRON,0.4975,,mg/L,4,0.0164,0.0036,1,1,1,0.0164,0.0158,0.0171
,SA005370-016,0.4802,,mg/L,2.2,0.0459,0.003,20.038,7,1,0.0449,0.0468,0.0461
,SA005370-017,0.539,,mg/L,0.9,0.0517,0.0031,20.038,7,1,0.0511,0.0518,0.0521
,SA005370-018,0.4488,,mg/L,0.8,0.043,0.0024,20.097,7,1,0.0427,0.0429,0.0434
,SA005370-019,0.468,,mg/L,0.3,0.0447,0.0028,20.024,7,1,0.0446,0.0447,0.0449
,SA005370-020,0.309,,mg/L,1.4,0.0293,0.0028,20.003,7,1,0.0297,0.0288,0.0295
,PATRON,0.4891,,mg/L,14.8,0.0162,0.0025,1,1,1,0.0134,0.0176,0.0175
,BLANCO,-0.0069,,mg/L,12.8,-0.0002,0.0008,1,1,1,-0.0002,-0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,79.5,0.0007,0.0018,1,1,1,0.0013,0.0004,0.0003
,SA005370-021,0.3079,,mg/L,1.6,0.0292,0.0024,19.996,7,1,0.0291,0.0297,0.0288
,SA005370-022,0.3891,,mg/L,0.8,0.0372,0.0019,20.076,7,1,0.0371,0.0369,0.0375
,SA005370-023,0.3728,,mg/L,0.6,0.0354,0.0018,19.995,7,1,0.0357,0.0354,0.0353
,SA005370-024,1.1022,,mg/L,0.8,0.1073,0.0015,20.033,7,1,0.1079,0.1076,0.1063
,SA005370-025,0.6947,,mg/L,1.1,0.0668,0.0017,19.988,7,1,0.0671,0.0673,0.0659
