Analista,RR,,,,,,,,,,,,
Fecha de inicio,04/09/2024 04:46 p. m.  GMT: 04/09/2024 10:46 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005371_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.513,,mg/L,1.5,0.0149,0.0002,1,1,1,0.0151,0.0148,0.0147
,BLANCO,0.0049,,mg/L,>100,0.0001,-0.0008,1,1,1,0,-0.0002,0.0006
,BLANCO REACTIVO,0,,mg/L,24,0.0008,-0.0013,1,1,1,0.0007,0.0007,0.001
,SA005371-001,0.595,,mg/L,0.6,0.054,0.0003,20.061,7,1,0.0537,0.0541,0.0543
,SA005371-002,0.4643,,mg/L,0.8,0.0418,0.0004,19.955,7,1,0.0417,0.0415,0.0422
,SA005371-003,0.0009,,mg/L,>100,0.0001,0.0011,20,7,1,0.0001,-0.0003,0.0004
,SA005371-004,0.6888,,mg/L,0.7,0.0628,0.001,20.071,7,1,0.0625,0.0632,0.0626
,SA005371-005,2.9794,,mg/L,0.5,0.2685,0.0012,20.023,7,1,0.2673,0.2682,0.2701
,PATRON,0.5114,,mg/L,1.3,0.016,0.0017,1,1,1,0.0158,0.016,0.0162
,SA005371-006,1.6064,,mg/L,1.1,0.1482,0.0007,20.075,7,1,0.1476,0.1501,0.1469
,SA005371-007,1.7358,,mg/L,0.2,0.1599,0.0001,20.05,7,1,0.1603,0.1596,0.1599
,SA005371-008,0.5275,,mg/L,1.6,0.044,0.0007,20.021,7,1,0.0438,0.0435,0.0448
,SA005371-009,0.8804,,mg/L,0.7,0.0806,0.0014,20.087,7,1,0.0809,0.0809,0.08
,SA005371-010,0.6259,,mg/L,0.4,0.0566,0.0013,19.962,7,1,0.0567,0.0568,0.0564
,PATRON,0.5078,,mg/L,0.6,0.014,-0.0004,1,1,1,0.0141,0.014,0.014
,BLANCO,0.0006,,mg/L,>100,0,-0.0006,1,1,1,0,0,0.0001
,BLANCO REACTIVO,0,,mg/L,12,0.0006,0.0021,1,1,1,0.0007,0.0005,0.0006
,SA005371-011,0.6122,,mg/L,1.4,0.049,0.0012,20.024,7,1,0.0482,0.0495,0.0493
,SA005371-012,0.4076,,mg/L,0.2,0.0325,0.0011,20.082,7,1,0.0325,0.0325,0.0326
,SA005371-013,0.9145,,mg/L,0.4,0.0737,0.0005,20.016,7,1,0.0734,0.0737,0.074
,SA005371-014,0.5208,,mg/L,1.7,0.0415,-0.0001,20.005,7,1,0.0408,0.0422,0.0417
,SA005371-015,0.6646,,mg/L,0.9,0.0533,0.0003,20.02,7,1,0.0532,0.0528,0.0537
,PATRON,0.4862,,mg/L,1.8,0.0134,0.0013,1,1,1,0.0137,0.0133,0.0133
,SA005371-016,0.5821,,mg/L,0.8,0.0467,0.0007,20.091,7,1,0.0466,0.0464,0.0471
,SA005371-017,0.4571,,mg/L,0.5,0.0364,-0.0007,19.985,7,1,0.0364,0.0362,0.0365
,SA005371-018,0.7629,,mg/L,0.5,0.0614,-0.0007,20.058,7,1,0.0611,0.0615,0.0616
,SA005371-019,1.4354,,mg/L,0.5,0.1167,0.0003,20.043,7,1,0.1169,0.1171,0.116
,SA005371-020,0.9349,,mg/L,1.6,0.0755,0.0003,20.045,7,1,0.0741,0.0762,0.0761
,PATRON,0.5062,,mg/L,2.9,0.014,0.0001,1,1,1,0.0144,0.0136,0.0139
,BLANCO,0.0025,,mg/L,>100,0.0001,0.0006,1,1,1,0.0003,0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,58.3,0.0007,0.0018,1,1,1,0.0006,0.0004,0.0012
,SA005371-021,0.5281,,mg/L,1,0.0422,0.0004,20.047,7,1,0.0425,0.0424,0.0418
,SA005371-022,1.304,,mg/L,0.5,0.1057,0,20.008,7,1,0.1053,0.1055,0.1062
,SA005371-023,0.6849,,mg/L,1.1,0.0547,0.001,19.941,7,1,0.0553,0.0541,0.0547
,SA005371-024,0.618,,mg/L,0.7,0.0496,0.0014,20.08,7,1,0.0495,0.0493,0.05
,SA005371-025,32.851,,mg/L,0.8,0.2588,0.0003,20.031,7,10,0.2585,0.2611,0.2568
