Analista,GGP,,,,,,,,,,,,
Fecha de inicio,07/09/2024 01:00 a. m.  GMT: 07/09/2024 07:00 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005408_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9916,,mg/L,0.4,0.1335,0.0004,1,1,1,0.1341,0.1335,0.133
,BLANCO,-0.0015,,mg/L,>100,-0.0002,0.0002,1,1,1,-0.0007,0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,87.2,-0.0004,0.0005,1,1,1,-0.0008,-0.0002,-0.0001
,SA005408-001,27.3007,,mg/L,1,0.1487,0.0073,2.036,50,1,0.148,0.1503,0.1478
,SA005408-002,14.8715,,mg/L,0.4,0.0819,0.0081,2.002,50,1,0.0817,0.0817,0.0822
,SA005408-003,2.9758,,mg/L,2.3,0.0169,0.0068,2.026,50,1,0.0167,0.0174,0.0167
,SA005408-004,3.6306,,mg/L,1.1,0.0206,0.0063,2.02,50,1,0.0206,0.0203,0.0208
,SA005408-005,3.3683,,mg/L,1.1,0.019,0.0051,2.007,50,1,0.0192,0.0188,0.019
,PATRON,1.0121,,mg/L,0.6,0.1361,0.0016,1,1,1,0.1359,0.137,0.1355
,SA005408-006,0.1287,,mg/L,28.7,0.0007,0.0056,2.018,50,1,0.0009,0.0008,0.0005
,SA005408-007,3.95,,mg/L,2.4,0.0226,0.006,2.041,50,1,0.022,0.0228,0.023
,SA005408-008,2.2578,,mg/L,3.5,0.0128,0.0056,2.024,50,1,0.013,0.0132,0.0124
,SA005408-009,19.6408,,mg/L,0.1,0.1096,0.0076,2.051,50,1,0.1094,0.1096,0.1097
,SA005408-010,30.9279,,mg/L,0.3,0.1671,0.0083,2.037,50,1,0.1665,0.1671,0.1677
,PATRON,1.0139,,mg/L,0.8,0.1364,0.0018,1,1,1,0.136,0.1375,0.1355
,BLANCO,-0.002,,mg/L,>100,-0.0003,0.0011,1,1,1,-0.0007,-0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,80.7,-0.0003,0.0004,1,1,1,-0.0005,-0.0002,-0.0001
,SA005408-011,32.3655,,mg/L,0.5,0.175,0.0094,2.047,50,1,0.1748,0.176,0.1743
,SA005408-012,43.8239,,mg/L,0.6,0.2294,0.009,2.039,50,1,0.2307,0.228,0.2294
,SA005408-013,20.4978,,mg/L,0.3,0.113,0.008,2.029,50,1,0.1132,0.1126,0.1131
,SA005408-014,15.1288,,mg/L,1.1,0.0838,0.0084,2.016,50,1,0.0828,0.0846,0.0841
,SA005408-015,17.4979,,mg/L,0.5,0.0961,0.0084,2.009,50,1,0.0961,0.0966,0.0957
,PATRON,1.0131,,mg/L,0.1,0.1363,0.0016,1,1,1,0.1364,0.1364,0.136
,SA005408-016,-0.0488,,mg/L,>100,-0.0003,0.001,2,50,1,-0.0001,-0.001,0.0002
,SA005408-017,3.3185,,mg/L,0.9,0.0189,0.0054,2.026,50,1,0.0191,0.0188,0.0187
,SA005408-018,1.7894,,mg/L,1.7,0.0103,0.0053,2.037,50,1,0.0105,0.0101,0.0102
,SA005408-019,4.3081,,mg/L,1.3,0.0246,0.0064,2.04,50,1,0.0249,0.0243,0.0247
,SA005408-020,2.0354,,mg/L,2.4,0.0115,0.0048,2.008,50,1,0.0118,0.0112,0.0115
,PATRON,1.0031,,mg/L,0.3,0.135,0.0014,1,1,1,0.1354,0.1346,0.135
,BLANCO,-0.0041,,mg/L,69.3,-0.0006,0.001,1,1,1,-0.0005,-0.001,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,-0.0004,0.0005,1,1,1,0.0004,-0.0005,-0.0011
,SA005408-021,2.0494,,mg/L,5.6,0.0118,0.0053,2.045,50,1,0.0121,0.011,0.0122
,SA005408-022,8.8379,,mg/L,0.8,0.0494,0.0079,2.011,50,1,0.049,0.0499,0.0494
,SA005408-023,0.0029,,mg/L,>100,0,0.0022,2.027,50,1,-0.0003,-0.0002,0.0006
,SA005408-024,6.1626,,mg/L,0.4,0.0347,0.006,2.017,50,1,0.0345,0.0348,0.0348
,SA005408-025,3.7438,,mg/L,1.4,0.0212,0.0064,2.016,50,1,0.0215,0.0209,0.0211
,PATRON,1.0072,,mg/L,0.5,0.1355,0.002,1,1,1,0.1362,0.1354,0.1349
,SA005408-026,3.7376,,mg/L,3.1,0.021,0.0066,2.006,50,1,0.0206,0.0207,0.0218
,SA005408-027,4.5352,,mg/L,3.3,0.0259,0.0081,2.04,50,1,0.0252,0.0257,0.0269
,SA005408-028,6.5738,,mg/L,2,0.037,0.0083,2.015,50,1,0.0363,0.0369,0.0378
,SA005408-029,3.2138,,mg/L,1.8,0.0184,0.0059,2.035,50,1,0.0184,0.018,0.0187
,SA005408-030,3.1936,,mg/L,4.6,0.018,0.006,2.01,50,1,0.0175,0.0175,0.019
,PATRON,1.0192,,mg/L,0.6,0.137,0.0017,1,1,1,0.1361,0.1372,0.1378
,BLANCO,-0.0013,,mg/L,>100,-0.0002,0.0011,1,1,1,-0.0001,0.0002,-0.0006
,BLANCO REACTIVO,0,,mg/L,43.6,-0.0006,0.0008,1,1,1,-0.0006,-0.0003,-0.0009
,SA005408-031,2.0563,,mg/L,0.6,0.0117,0.0062,2.016,50,1,0.0117,0.0117,0.0116
,SA005408-032,2.2737,,mg/L,3,0.0128,0.0059,2.006,50,1,0.0127,0.0132,0.0125
,PATRON,1.0119,,mg/L,0.9,0.1361,0.0021,1,1,1,0.1353,0.1354,0.1376
,BLANCO,0.0036,,mg/L,8.4,0.0005,0.0009,1,1,1,0.0005,0.0005,0.0005
,BLANCO REACTIVO,0,,mg/L,5.3,-0.0012,0.001,1,1,1,-0.0012,-0.0011,-0.0011
