Analista,MA,,,,,,,,,,,,
Fecha de inicio,08/09/2024 03:48 a. m.  GMT: 08/09/2024 09:48 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005422_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9904,,mg/L,0.5,0.127,0.0002,,,,0.1277,0.127,0.1264
,BLANCO,0.0059,,mg/L,33.4,0.0008,-0.0008,,,,0.0005,0.0011,0.0009
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0002,,,,-0.0009,0.0003,0.0003
,SA005422-001,3.498,,mg/L,4.5,0.0195,0.0041,2.03,5,,0.0201,0.0185,0.0199
,SA005422-002,5.7395,,mg/L,1.6,0.0315,0.0043,2.02,5,,0.0321,0.0313,0.0312
,SA005422-003,3.6016,,mg/L,0.7,0.0198,0.0038,2.01,5,,0.0197,0.0198,0.0199
,SA005422-004,3.1986,,mg/L,1.7,0.0175,0.0037,2,5,,0.0172,0.0176,0.0178
,SA005422-005,1.8749,,mg/L,4.8,0.0104,0.0063,2.02,5,,0.0101,0.0102,0.011
,PATRON,0.9954,,mg/L,0.8,0.1276,0.0008,,,,0.127,0.1288,0.1271
,SA005422-006,0.0746,,mg/L,>100,0.0004,0.0044,2.01,5,,0.0009,0.0004,-0.0001
,SA005422-007,2.496,,mg/L,1.2,0.0137,0.006,1.99,5,,0.0138,0.0135,0.0137
,SA005422-008,2.5957,,mg/L,0.8,0.0145,0.006,2.03,5,,0.0145,0.0146,0.0144
,SA005422-009,2.6588,,mg/L,4.4,0.0147,0.0071,2,5,,0.0153,0.014,0.0146
,SA005422-010,3.378,,mg/L,2.3,0.0186,0.0055,2.01,5,,0.0182,0.019,0.0186
,PATRON,1.0112,,mg/L,0.1,0.1295,0.0009,,,,0.1296,0.1297,0.1294
,BLANCO,0.0006,,mg/L,>100,0.0001,0.0003,,,,-0.0001,0.0007,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0007,-0.0004,,,,0,0.0006,0.0015
,SA005422-011,2.0688,,mg/L,5.3,0.0114,0.0052,2,5,,0.011,0.0111,0.0121
,SA005422-012,2.2843,,mg/L,6.2,0.0125,0.0048,,5,,0.0119,0.0124,0.0134
,SA005422-013,8.0983,,mg/L,0.3,0.0437,0.0046,2,5,,0.0436,0.0438,0.0437
,SA005422-014,0.0561,,mg/L,>100,0.0003,0.0005,2.02,5,,0.0011,-0.0002,0
,SA005422-015,2.7973,,mg/L,2,0.0155,0.003,2.02,5,,0.0152,0.0159,0.0154
,PATRON,0.9882,,mg/L,0,0.1268,0.0001,,,,0.1268,0.1268,0.1267
,SA005422-016,5.4248,,mg/L,1.2,0.03,0.0043,2.03,5,,0.0296,0.0302,0.0302
,SA005422-017,3.439,,mg/L,3,0.0191,0.003,2.03,5,,0.0185,0.0196,0.0193
,SA005422-018,4.3987,,mg/L,1.6,0.0246,0.004,2.05,5,,0.0241,0.0247,0.0249
,SA005422-019,5.3139,,mg/L,2.1,0.0289,0.004,2,5,,0.0284,0.0287,0.0296
,SA005422-020,2.6855,,mg/L,2.3,0.0151,0.0045,2.05,5,,0.0155,0.0148,0.0151
,PATRON,0.9896,,mg/L,0.4,0.1269,0,,,,0.1275,0.1267,0.1266
,BLANCO,-0.0049,,mg/L,>100,-0.0007,-0.0005,,,,0.0001,-0.0009,-0.0012
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0002,,,,-0.0002,0.0004,-0.0005
,SA005422-021,3.2036,,mg/L,1.1,0.0175,0.0055,,5,,0.0174,0.0175,0.0178
,SA005422-022,-0.0318,,mg/L,>100,-0.0002,0.0004,,5,,-0.0005,0,-0.0001
,SA005422-023,2.6574,,mg/L,3.6,0.0149,0.0062,2.04,5,,0.0152,0.0152,0.0143
,SA005422-024,2.628,,mg/L,2.4,0.0148,0.0061,2.04,5,,0.0149,0.0144,0.015
,SA005422-025,2.0368,,mg/L,2.7,0.0113,0.0059,2.01,5,,0.0111,0.0111,0.0116
,PATRON,1.0032,,mg/L,1.3,0.1286,0.0008,,,,0.1298,0.1292,0.1267
,SA005422-026,4.3186,,mg/L,3,0.0235,0.0038,1.99,5,,0.0231,0.0231,0.0244
,SA005422-027,1.5758,,mg/L,2.6,0.0088,0.0054,2.02,5,,0.0087,0.0086,0.0091
,SA005422-028,6.3735,,mg/L,1.4,0.0352,0.0061,2,5,,0.0351,0.0348,0.0357
,SA005422-029,2.0075,,mg/L,9.9,0.0111,0.0037,2.01,5,,0.0099,0.0117,0.0118
,SA005422-030,2.827,,mg/L,1,0.0159,0.0043,2.05,5,,0.016,0.0157,0.0159
,PATRON,0.9979,,mg/L,0.2,0.1279,0.0007,,,,0.1282,0.1277,0.128
,BLANCO,-0.0028,,mg/L,97.6,-0.0004,0.0007,,,,-0.0002,-0.0008,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,-0.0003,0.0004,,,,0.0004,-0.0003,-0.001
,SA005422-031,4.4828,,mg/L,1.1,0.025,0.0045,2.04,5,,0.0253,0.0248,0.0248
,SA005422-032,15.0431,,mg/L,0.5,0.0803,0.0063,2.02,5,,0.0798,0.0805,0.0806
,PATRON,0.9941,,mg/L,0.6,0.1275,0.0006,,,,0.1267,0.1276,0.1282
,BLANCO,0.0058,,mg/L,42.8,0.0008,-0.0001,,,,0.0007,0.0012,0.0005
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,0,,,,-0.0007,0.0001,0.0011
