Analista,,,,,,,,,,,,,
Fecha de inicio,11/09/2024 01:44 a. m.  GMT: 11/09/2024 07:44 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005464_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9992,,mg/L,0.1,0.1313,0.0009,1,1,1,0.1315,0.1313,0.1313
,BLANCO,0.0008,,mg/L,>100,0.0001,0.0001,1,1,1,0.0003,0,0
,BLANCO REACTIVO,0,,mg/L,93.1,0.0002,-0.0001,1,1,1,0.0002,0.0004,0
,SA005464-001,5.0421,,mg/L,0.6,0.0284,0.0069,2.048,50,1,0.0284,0.0285,0.0282
,SA005464-002,6.6759,,mg/L,1.6,0.0369,0.0081,2.018,50,1,0.0372,0.0362,0.0372
,SA005464-003,5.1197,,mg/L,1.3,0.0285,0.0081,2.023,50,1,0.0288,0.0281,0.0285
,SA005464-004,5.2177,,mg/L,1.5,0.0287,0.0062,2.004,50,1,0.0284,0.0286,0.0292
,SA005464-005,7.9858,,mg/L,0.2,0.0442,0.0068,2.028,50,1,0.0442,0.0441,0.0443
,PATRON,0.9994,,mg/L,0.4,0.1314,0.0005,1,1,1,0.131,0.1311,0.132
,SA005464-006,5.5297,,mg/L,0.2,0.0306,0.0068,2.016,50,1,0.0307,0.0305,0.0306
,SA005464-007,7.9524,,mg/L,0.8,0.0438,0.0081,2.016,50,1,0.0442,0.0436,0.0435
,SA005464-008,2.1595,,mg/L,1.9,0.0121,0.0042,2.021,50,1,0.0122,0.0122,0.0118
,SA005464-009,0.0177,,mg/L,>100,0.0001,-0.0001,2,50,1,-0.0001,0.0005,-0.0001
,SA005464-010,0.0532,,mg/L,90.9,0.0003,0.0006,2.02,50,1,0.0005,0.0004,0
,PATRON,0.9834,,mg/L,0.7,0.1294,0.0007,1,1,1,0.1291,0.1287,0.1304
,BLANCO,-0.002,,mg/L,>100,-0.0003,0,1,1,1,-0.0006,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0001,1,1,1,0.0005,-0.0001,0
,SA005464-011,27.431,,mg/L,0.7,0.1459,0.0075,2.037,50,1,0.1449,0.146,0.1469
,SA005464-012,8.7661,,mg/L,0.7,0.0483,0.0069,2.021,50,1,0.0479,0.0485,0.0485
,SA005464-013,7.1679,,mg/L,0.6,0.0401,0.0085,2.045,50,1,0.04,0.0399,0.0404
,SA005464-014,6.3662,,mg/L,0.2,0.0353,0.0089,2.025,50,1,0.0353,0.0353,0.0354
,SA005464-015,3.5091,,mg/L,1,0.0195,0.0071,2.012,50,1,0.0197,0.0194,0.0194
,PATRON,0.9843,,mg/L,0.3,0.1411,-0.0001,1,1,1,0.1415,0.1408,0.1409
,SA005464-016,-0.0054,,mg/L,>100,0,0.0052,2.036,50,1,0.0001,0,-0.0002
,SA005464-017,4.6683,,mg/L,0.5,0.0278,0.0103,2.005,50,1,0.0279,0.0279,0.0277
,SA005464-018,3.9399,,mg/L,0.3,0.0235,0.0099,2.001,50,1,0.0234,0.0235,0.0235
,SA005464-019,8.9076,,mg/L,0.2,0.0533,0.011,2.023,50,1,0.0533,0.0532,0.0534
,SA005464-020,9.281,,mg/L,0.6,0.0553,0.0126,2.016,50,1,0.055,0.0556,0.0552
,PATRON,0.989,,mg/L,0.1,0.1383,0.0003,1,1,1,0.1382,0.1385,0.1384
,BLANCO,-0.0013,,mg/L,>100,-0.0002,0.0001,1,1,1,-0.0004,0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,67.7,-0.0004,-0.0004,1,1,1,-0.0002,-0.0006,-0.0002
,SA005464-021,4.0262,,mg/L,0.2,0.0238,0.0103,2.037,50,1,0.0237,0.0238,0.0238
,SA005464-022,2.666,,mg/L,0.3,0.0157,0.0091,2.025,50,1,0.0157,0.0156,0.0157
,SA005464-023,2.5649,,mg/L,2.2,0.0152,0.008,2.039,50,1,0.0155,0.0153,0.0148
,SA005464-024,2.8166,,mg/L,1.3,0.0166,0.0091,2.024,50,1,0.0164,0.0164,0.0168
,SA005464-025,2.8549,,mg/L,1.4,0.0169,0.009,2.032,50,1,0.0168,0.0171,0.0167
,PATRON,0.9906,,mg/L,0.7,0.1385,0.0004,1,1,1,0.1384,0.1377,0.1395
,PATRON,0.9938,,mg/L,0.3,0.139,0.0002,1,1,1,0.1387,0.1394,0.1388
,BLANCO,0.0032,,mg/L,82.4,0.0005,-0.0006,1,1,1,0.0001,0.0009,0.0004
,BLANCO REACTIVO,0,,mg/L,48.9,0.0002,-0.0011,1,1,1,0.0003,0.0003,0.0001
