Analista,MA,,,,,,,,,,,,
Fecha de inicio,11/09/2024 06:07 a. m.  GMT: 11/09/2024 12:07 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005470_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0101,,mg/L,0.4,0.1321,0.0004,,,,0.1319,0.1316,0.1327
,BLANCO,0.0027,,mg/L,45.7,0.0004,-0.0002,,,,0.0006,0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0004,,,,0,-0.0005,0.0003
,SA005470-001,3.3882,,mg/L,0.9,0.0191,0.0101,2.03,5,,0.0189,0.0192,0.0192
,SA005470-002,11.6864,,mg/L,1.7,0.0639,0.0111,2.01,5,,0.0641,0.0627,0.0648
,SA005470-003,0.003,,mg/L,>100,0,0.0007,,5,,0.0004,0.0007,-0.001
,SA005470-004,6.1298,,mg/L,1.1,0.0341,0.0102,2.02,5,,0.0342,0.0337,0.0345
,SA005470-005,5.7614,,mg/L,0.8,0.0321,0.0102,2.02,5,,0.0322,0.0323,0.0319
,PATRON,1.0052,,mg/L,0.8,0.1315,0.0012,,,,0.1311,0.1327,0.1307
,SA005470-006,39.0992,,mg/L,0.9,0.1994,0.009,2,5,,0.1975,0.1996,0.2012
,SA005470-007,25.8799,,mg/L,0.4,0.1362,0.0084,2.01,5,,0.1361,0.1367,0.1358
,SA005470-008,25.871,,mg/L,0.6,0.1358,0.008,2.01,5,,0.1355,0.1352,0.1368
,SA005470-009,7.7278,,mg/L,0.7,0.0429,0.0069,2.02,5,,0.0432,0.0426,0.043
,SA005470-010,8.1051,,mg/L,0.2,0.0454,0.0076,2,5,,0.0453,0.0455,0.0454
,PATRON,1.02,,mg/L,0.2,0.1333,0.0012,,,,0.1337,0.1332,0.133
,BLANCO,0.0011,,mg/L,>100,0.0001,0.0005,,,,-0.0001,-0.0001,0.0006
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0003,,,,0.0002,0.0006,0
,SA005470-011,12.0747,,mg/L,0.1,0.066,0.0064,2.02,5,,0.0659,0.0661,0.0661
,SA005470-012,0.0527,,mg/L,>100,0.0003,0.0007,2.02,5,,-0.0001,0.0007,0.0002
,SA005470-013,4.5626,,mg/L,0.6,0.0255,0.0071,2.02,5,,0.0256,0.0257,0.0254
,SA005470-014,15.0439,,mg/L,0.6,0.081,0.0088,2,5,,0.0805,0.0814,0.081
,SA005470-015,11.305,,mg/L,0.6,0.0627,0.0078,2.04,5,,0.0627,0.0631,0.0623
,PATRON,1.0081,,mg/L,0.5,0.1318,0.0008,,,,0.1319,0.1324,0.1312
,SA005470-016,3.6812,,mg/L,1.8,0.0207,0.0077,2.02,5,,0.0207,0.021,0.0203
,PATRON,0.9995,,mg/L,0.3,0.1308,0.0008,,,,0.1307,0.1311,0.1305
,BLANCO,-0.0019,,mg/L,>100,-0.0003,0.0001,,,,0.0001,-0.0003,-0.0005
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0004,,,,-0.0004,-0.0001,0.0002
