Analista,JS,,,,,,,,,,,,
Fecha de inicio,15/09/2024 04:29 a. m.  GMT: 15/09/2024 10:29 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005520_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.519,,mg/L,2.3,0.0158,0.0009,,,,0.0161,0.0159,0.0154
,BLANCO,-0.0203,,mg/L,24.4,-0.0006,0.0006,,,,-0.0005,-0.0005,-0.0008
,BLANCO REACTIVO,0,,mg/L,39.7,-0.001,-0.0004,,,,-0.0014,-0.0006,-0.001
,SA005520-001,2.7837,,mg/L,1.1,0.2455,0.0016,20,,,0.2431,0.2452,0.2483
,SA005520-005,2.2629,,mg/L,2.3,0.2035,0.0014,20,,,0.1983,0.2048,0.2072
,PATRON,0.517,,mg/L,3.2,0.0157,0.0017,,,,0.0159,0.0152,0.0161
,SA005520-006,0.0021,,mg/L,>100,0.0002,0.0008,2,,,0.0005,0,0
,SA005520-007,0.8785,,mg/L,0.6,0.0785,0.0014,19.98,,,0.079,0.0781,0.0784
,SA005520-008,0.2626,,mg/L,0.1,0.023,0.0005,20,,,0.023,0.023,0.023
,SA005520-009,0.2335,,mg/L,1.5,0.0204,0.0007,20.05,,,0.0202,0.0203,0.0208
,SA005520-010,0.2918,,mg/L,2.7,0.0255,0.001,20,,,0.0258,0.0259,0.0247
,PATRON,0.5005,,mg/L,0.3,0.0152,0.0022,,,,0.0152,0.0152,0.0153
,BLANCO,-0.0143,,mg/L,>100,-0.0004,0.0011,,,,0,-0.0011,-0.0003
,BLANCO REACTIVO,0,,mg/L,8.8,-0.0011,-0.0004,,,,-0.001,-0.0012,-0.0012
,SA005520-011,1.1644,,mg/L,1.6,0.1053,0.0011,20.09,,,0.1058,0.1035,0.1067
,SA005520-012,0.4935,,mg/L,1.5,0.0435,0.0013,19.9,,,0.0428,0.044,0.0437
,SA005520-013,0.5162,,mg/L,3.5,0.0455,0.0006,19.94,,,0.0471,0.0453,0.044
,SA005520-014,0.553,,mg/L,1.8,0.0491,0.0013,20.06,,,0.0488,0.0484,0.0501
,SA005520-015,0.4262,,mg/L,0.2,0.0375,0.0008,19.98,,,0.0375,0.0375,0.0374
,PATRON,0.5027,,mg/L,4.1,0.0153,0.001,,,,0.0147,0.0152,0.0159
,SA005520-016,0.2281,,mg/L,2.4,0.0199,0.0002,19.99,,,0.0193,0.02,0.0202
,SA005520-017,0.2603,,mg/L,3.6,0.0228,0.0005,20.04,,,0.0236,0.0228,0.0219
,SA005520-018,0.4518,,mg/L,3,0.0399,-0.0004,20.04,,,0.0409,0.0401,0.0386
,SA005520-019,0.4608,,mg/L,3.4,0.0406,0.0004,20.02,,,0.0391,0.0411,0.0418
,SA005520-020,0.4466,,mg/L,1.6,0.0393,0.0012,20,,,0.04,0.0388,0.0391
,PATRON,0.5052,,mg/L,6.5,0.0154,0.0011,,,,0.0164,0.0154,0.0144
,BLANCO,-0.0148,,mg/L,60,-0.0004,0.0007,,,,-0.0002,-0.0007,-0.0005
,BLANCO REACTIVO,0,,mg/L,29.7,-0.0018,-0.0011,,,,-0.0012,-0.0019,-0.0022
,SA005520-021,0.0939,,mg/L,11.6,0.0081,0.0013,20.03,,,0.0075,0.0077,0.0092
,SA005520-022,0.1846,,mg/L,5.1,0.016,0.0016,19.99,,,0.0161,0.0168,0.0152
,SA005520-023,0.4332,,mg/L,3.3,0.0381,0.0014,19.99,,,0.0372,0.0376,0.0395
,SA005520-024,0.1688,,mg/L,2.8,0.0147,0.0015,20.02,,,0.0151,0.0146,0.0143
,SA005520-025,0.1023,,mg/L,9,0.0089,0.0004,20.07,,,0.0094,0.008,0.0092
,PATRON,0.5025,,mg/L,3,0.0153,0.0007,,,,0.0157,0.0148,0.0152
,SA005520-026,0.1265,,mg/L,3.1,0.011,0.0007,20,,,0.0111,0.0106,0.0112
,SA005520-027,0.1552,,mg/L,3.5,0.0135,-0.0003,20.03,,,0.013,0.0139,0.0135
,SA005520-028,0.1719,,mg/L,0.8,0.0149,0.0001,20,,,0.0149,0.0151,0.0148
,SA005520-029,0.0046,,mg/L,87.5,0.0004,0.0011,20.08,,,0.0001,0.0003,0.0008
,SA005520-030,0.3567,,mg/L,2.7,0.0313,0.0002,20.01,,,0.0304,0.0316,0.032
,PATRON,0.5142,,mg/L,0.7,0.0156,0.0009,,,,0.0155,0.0157,0.0156
,BLANCO,0.0176,,mg/L,27.7,0.0005,0.0006,,,,0.0004,0.0006,0.0006
,BLANCO REACTIVO,0,,mg/L,26.8,-0.0014,-0.0012,,,,-0.001,-0.0017,-0.0016
,SA005520-031,0.3493,,mg/L,2,0.0307,0.0004,20.07,,,0.03,0.0308,0.0313
,SA005520-032,0.119,,mg/L,9.1,0.0103,0.0001,20.08,,,0.0108,0.011,0.0093
,PATRON,0.5162,,mg/L,1,0.0157,0.0007,,,,0.0155,0.0158,0.0158
,BLANCO,-0.0047,,mg/L,>100,-0.0001,0.0002,,,,0,-0.0008,0.0003
,BLANCO REACTIVO,0,,mg/L,32.3,-0.0014,-0.0015,,,,-0.0009,-0.0019,-0.0015
