Analista,JS,,,,,,,,,,,,
Fecha de inicio,15/09/2024 04:49 a. m.  GMT: 15/09/2024 10:49 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005530-RCK_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4896,,mg/L,1,0.0147,-0.0005,,,,0.0149,0.0146,0.0148
,BLANCO,-0.0098,,mg/L,>100,-0.0003,0.0001,,,,0.0001,-0.0007,-0.0003
,BLANCO REACTIVO,0,,mg/L,96,0.0004,0.0002,,,,0.0009,0.0002,0.0002
,SA005530-001,0.327,,mg/L,1.2,0.0283,-0.0003,20.02,,,0.0286,0.0279,0.0284
,SA005530-002,0.4124,,mg/L,1.3,0.0359,0.0001,20,,,0.0364,0.0359,0.0354
,SA005530-003,0.0054,,mg/L,67.7,0.0005,-0.0008,2,,,0.0008,0.0004,0.0002
,SA005530-004,0.1215,,mg/L,3.4,0.0104,-0.0002,19.99,,,0.0103,0.0101,0.0108
,SA005530-005,0.4566,,mg/L,1.4,0.0397,-0.0002,2,,,0.0391,0.0402,0.0397
,PATRON,0.5001,,mg/L,2.6,0.0151,-0.0005,,,,0.0147,0.0151,0.0154
,SA005530-006,0.7688,,mg/L,2.8,0.0407,-0.0004,2,,,0.0415,0.0413,0.0394
,SA005530-007,0.6487,,mg/L,2.7,0.0566,-0.0003,19.99,,,0.0581,0.0568,0.055
,SA005530-008,0.6436,,mg/L,3.9,0.0563,-0.0008,20,,,0.0575,0.0538,0.0577
,SA005530-009,0.6269,,mg/L,1.9,0.0547,-0.0004,19.98,,,0.054,0.0559,0.0541
,SA005530-010,0.3578,,mg/L,1.3,0.0311,-0.0012,20.08,,,0.0308,0.031,0.0316
,PATRON,0.5123,,mg/L,1.7,0.0154,-0.0008,,,,0.0151,0.0156,0.0156
,BLANCO,0.0026,,mg/L,>100,0.0001,-0.0016,,,,0.0002,0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0004,,,,0.0001,-0.0004,0.0003
,SA005530-011,0.1649,,mg/L,3.8,0.0142,-0.0007,20.02,,,0.0144,0.0146,0.0136
,SA005530-012,3.4673,,mg/L,2,0.2939,-0.0001,19.99,,,0.2916,0.2896,0.3004
,SA005530-013,8.6512,,mg/L,0.6,0.076,-0.0002,20,,10,0.0764,0.0762,0.0755
,SA005530-014,0.866,,mg/L,1.1,0.0761,0,20.04,,,0.077,0.0762,0.0753
,SA005530-015,0.7416,,mg/L,1.2,0.0651,-0.0002,20.06,,,0.0648,0.066,0.0645
,PATRON,0.5121,,mg/L,8.5,0.0154,0.0005,,,,0.0162,0.0161,0.0139
,PATRON,0.5166,,mg/L,1.5,0.0156,0.0004,,,,0.0158,0.0156,0.0153
,BLANCO,0.0238,,mg/L,>100,0.0007,0,,,,0.0003,0.0002,0.0016
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,,,,-0.0001,0.0004,-0.0002
