Analista,RR,,,,,,,,,,,,
Fecha de inicio,19/09/2024 08:22 a. m.  GMT: 19/09/2024 02:22 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005570_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0162,,mg/L,0.6,0.11,-0.0006,,,,0.1099,0.1094,0.1108
,BLANCO,0.0058,,mg/L,47.3,0.0007,-0.0012,,,,0.0011,0.0006,0.0004
,BLANCO REACTIVO,0,,mg/L,33.3,-0.0004,-0.0002,,,,-0.0002,-0.0005,-0.0004
,SA005570-001,8.4412,,mg/L,1.7,0.0391,0.0045,2.01,5,,0.0385,0.0388,0.0398
,SA005570-002,5.9298,,mg/L,3.4,0.0275,0.0043,2,5,,0.0265,0.0282,0.0279
,SA005570-003,4.2247,,mg/L,2.6,0.0198,0.0034,2,5,,0.0199,0.0192,0.0202
,SA005570-004,6.7606,,mg/L,3,0.0315,0.0039,2.01,5,,0.031,0.0326,0.0309
,SA005570-005,3.167,,mg/L,2,0.0152,0.0033,2.04,5,,0.0155,0.0152,0.0149
,PATRON,1.0182,,mg/L,1.1,0.1102,0,,,,0.1098,0.1116,0.1093
,SA005570-006,4.0147,,mg/L,1.2,0.0191,0.0037,2.03,5,,0.0191,0.0189,0.0193
,SA005570-007,3.1331,,mg/L,5.4,0.0148,0.0031,2,5,,0.0157,0.0143,0.0143
,SA005570-008,1.8056,,mg/L,0.5,0.0086,0.0032,2,5,,0.0086,0.0086,0.0085
,SA005570-009,2.9316,,mg/L,0.4,0.0138,0.0043,2,5,,0.0138,0.0139,0.0138
,SA005570-010,3.3262,,mg/L,1.9,0.0157,0.0042,2.01,5,,0.0155,0.0161,0.0157
,PATRON,0.9999,,mg/L,0.4,0.1084,0.0003,,,,0.108,0.1088,0.1083
,BLANCO,0.0044,,mg/L,65.5,0.0005,-0.0003,,,,0.0009,0.0005,0.0002
,BLANCO REACTIVO,0,,mg/L,61,0.0002,-0.0007,,,,0.0003,0.0002,0.0001
,SA005570-011,3.5513,,mg/L,0.8,0.0168,0.0019,2.01,5,,0.0168,0.0166,0.0169
,SA005570-012,3.5487,,mg/L,1.3,0.0167,0.0047,2,5,,0.0167,0.0165,0.017
,SA005570-013,2.9374,,mg/L,2.1,0.0139,0.0041,2.01,5,,0.0136,0.0141,0.0141
,SA005570-014,3.0159,,mg/L,2.9,0.0142,0.0035,2,5,,0.0138,0.0145,0.0144
,SA005570-015,2.1043,,mg/L,3.5,0.01,0.0032,2.01,5,,0.0099,0.0097,0.0104
,PATRON,1.0075,,mg/L,0.5,0.1092,-0.0002,,,,0.1085,0.1095,0.1094
,SA005570-016,3.0158,,mg/L,1.5,0.0142,0.0033,,5,,0.0143,0.0139,0.0143
,SA005570-017,2.8289,,mg/L,2.2,0.0133,0.0037,2,5,,0.013,0.0135,0.0136
,SA005570-018,3.1422,,mg/L,4.8,0.0148,0.0034,,5,,0.014,0.0155,0.0148
,SA005570-019,3.4694,,mg/L,6.1,0.0163,0.0051,2,5,,0.0164,0.0172,0.0152
,SA005570-020,2.3832,,mg/L,1.6,0.0114,0.0031,2,5,,0.0116,0.0112,0.0113
,PATRON,1.0008,,mg/L,0.3,0.1085,-0.0004,,,,0.1087,0.1086,0.1081
,BLANCO,0.006,,mg/L,64.8,0.0007,-0.0013,,,,0.0011,0.0009,0.0002
,BLANCO REACTIVO,0,,mg/L,19.9,0.0009,-0.0011,,,,0.0008,0.0011,0.0007
,SA005570-021,2.5336,,mg/L,0.5,0.012,0.0015,2.01,5,,0.012,0.0121,0.0121
,SA005570-022,2.6664,,mg/L,2.9,0.0126,0.0015,2,5,,0.0122,0.0126,0.013
,SA005570-023,0.01,,mg/L,>100,0,-0.0018,,5,,0.0003,-0.0001,-0.0001
,SA005570-024,0.1234,,mg/L,52,0.0006,-0.0016,1.99,5,,0.0009,0.0003,0.0006
,SA005570-025,2.0082,,mg/L,3.1,0.0095,0.0013,2,5,,0.0094,0.0093,0.0099
,PATRON,0.9918,,mg/L,1.6,0.1076,-0.0008,,,,0.1095,0.1063,0.1069
,SA005570-026,3.3878,,mg/L,2.6,0.016,0.0024,2.01,5,,0.0159,0.0165,0.0157
,SA005570-027,9.9138,,mg/L,1.9,0.0462,0.0041,2.04,5,,0.046,0.0471,0.0454
,SA005570-028,6.4086,,mg/L,2.7,0.0297,0.0024,2,5,,0.0305,0.0296,0.0289
,SA005570-029,4.7098,,mg/L,2,0.0222,0.0023,2.02,5,,0.0218,0.0222,0.0227
,SA005570-030,4.9045,,mg/L,3.2,0.023,0.0023,2.01,5,,0.0235,0.0233,0.0222
,PATRON,1.0074,,mg/L,0.8,0.1091,-0.0016,,,,0.1085,0.1101,0.1088
,BLANCO,0.003,,mg/L,26.7,0.0004,-0.0022,,,,0.0004,0.0004,0.0002
,BLANCO REACTIVO,0,,mg/L,35.2,0.0006,-0.0006,,,,0.0004,0.0006,0.0008
,SA005570-031,2.6181,,mg/L,3.2,0.0124,0.0028,2,5,,0.012,0.0123,0.0128
,SA005570-032,2.2492,,mg/L,4.8,0.0107,0.0032,2.01,5,,0.0102,0.0112,0.0107
,PATRON,1.0125,,mg/L,2.1,0.1097,-0.0011,,,,0.1111,0.1109,0.107
,BLANCO,0.0053,,mg/L,65.3,0.0006,-0.0014,,,,0.0002,0.0008,0.001
,BLANCO REACTIVO,0,,mg/L,50.3,0.001,-0.001,,,,0.0006,0.0008,0.0016
