Analista,RR,,,,,,,,,,,,
Fecha de inicio,19/09/2024 12:14 p. m.  GMT: 19/09/2024 06:14 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA0055778_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.992,,mg/L,1.1,0.0973,0.0003,,,,0.0962,0.0973,0.0985
,BLANCO,0.0022,,mg/L,>100,0.0002,-0.0002,,,,-0.0001,-0.0001,0.0008
,BLANCO REACTIVO,0,,mg/L,69.9,0.0008,-0.001,,,,0.0015,0.0008,0.0003
,SA005578-001,4.6564,,mg/L,1.4,0.0193,0.0027,2,5,,0.0196,0.0191,0.0191
,SA005578-002,-0.0758,,mg/L,17.5,-0.0003,-0.0015,,5,,-0.0003,-0.0004,-0.0003
,SA005578-003,0.0491,,mg/L,>100,0.0002,-0.0014,2.03,5,,0,0.0004,0.0002
,SA005578-004,4.0418,,mg/L,4,0.0172,0.0028,2.05,5,,0.0179,0.0165,0.0172
,SA005578-005,3.8828,,mg/L,1.5,0.0161,0.0031,2,5,,0.0164,0.0161,0.0159
,PATRON,0.9841,,mg/L,0.9,0.0966,-0.0014,,,,0.0956,0.0972,0.097
,SA005578-006,2.4955,,mg/L,2.6,0.0105,0.0029,2.02,5,,0.0103,0.0108,0.0103
,SA005578-007,2.4731,,mg/L,4.8,0.0103,0.0022,2,5,,0.0098,0.0103,0.0108
,SA005578-008,5.7359,,mg/L,1.8,0.0242,0.0011,2,5,,0.0238,0.0241,0.0247
,PATRON,1.0106,,mg/L,1.1,0.0945,0.0012,,,,0.0933,0.0949,0.0953
,BLANCO,0.0041,,mg/L,>100,0.0004,-0.0022,,,,0.0003,0.001,0
,BLANCO REACTIVO,0,,mg/L,13.8,0.0012,-0.0013,,,,0.0011,0.0014,0.0012
