Analista,ACG,,,,,,,,,,,,
Fecha de inicio,20/09/2024 12:54 a. m.  GMT: 20/09/2024 06:54 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA0055793_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9857,,mg/L,0.3,0.1221,0.0005,,,,0.1222,0.1218,0.1225
,BLANCO,0.0009,,mg/L,>100,0.0001,0.0001,,,,0.0004,-0.0004,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0003,,,,0.0001,0.0003,-0.0001
,SA005593-001,13.447,,mg/L,0.7,0.0699,0.0075,2.02,5,,0.0694,0.0699,0.0704
,SA005593-002,0.1165,,mg/L,41.5,0.0006,-0.0003,,5,,0.0009,0.0006,0.0004
,SA005593-003,8.533,,mg/L,1.9,0.0451,0.0073,2.01,5,,0.0452,0.0459,0.0442
,SA005593-004,1.448,,mg/L,3.4,0.0078,0.006,2,5,,0.0075,0.0079,0.0081
,SA005593-005,5.2515,,mg/L,0.5,0.0279,0.0042,2,5,,0.0279,0.0281,0.0278
,PATRON,0.987,,mg/L,1.2,0.1223,0.0006,,,,0.1211,0.1218,0.124
,SA005593-006,9.2111,,mg/L,0.8,0.0485,0.008,2.01,5,,0.0482,0.049,0.0484
,SA005593-007,4.6885,,mg/L,1.9,0.0252,0.0079,2.02,5,,0.0252,0.0257,0.0247
,SA005593-008,5.0229,,mg/L,2.3,0.0267,0.0082,2,5,,0.0261,0.0274,0.0267
,SA005593-009,3.1441,,mg/L,3.3,0.0169,0.0051,2,5,,0.0169,0.0175,0.0163
,SA005593-010,2.5925,,mg/L,2.2,0.0141,0.0043,2.02,5,,0.0144,0.0141,0.0138
,PATRON,0.9849,,mg/L,1.1,0.1221,0.0008,,,,0.1219,0.1207,0.1235
,BLANCO,0.0025,,mg/L,>100,0.0003,-0.0001,,,,-0.0002,0.0007,0.0005
,BLANCO REACTIVO,0,,mg/L,35.3,0.0007,-0.0002,,,,0.0004,0.0007,0.0009
,SA005593-011,3.135,,mg/L,0.8,0.0169,0.0044,2,5,,0.017,0.0167,0.0169
,SA005593-012,3.403,,mg/L,2.8,0.0183,0.0055,2.01,5,,0.0189,0.0179,0.0181
,SA005593-013,3.9975,,mg/L,1.9,0.0214,0.0055,2.01,5,,0.0216,0.021,0.0217
,SA005593-014,-0.1056,,mg/L,55.2,-0.0006,0.0049,2,5,,-0.0002,-0.0006,-0.0008
,SA005593-015,-0.1321,,mg/L,47.9,-0.0007,0.0051,2.02,5,,-0.0006,-0.0011,-0.0005
,PATRON,0.9891,,mg/L,1.7,0.1225,0.0006,,,,0.1247,0.1222,0.1206
,SA005593-016,3.6902,,mg/L,2.6,0.0197,0.0068,2,5,,0.0192,0.0197,0.0202
,SA005593-017,2.4051,,mg/L,3.6,0.013,0.0059,2.01,5,,0.0133,0.0133,0.0125
,SA005593-018,2.3143,,mg/L,0.6,0.0124,0.0053,2,5,,0.0124,0.0124,0.0125
,SA005593-019,2.1058,,mg/L,1.8,0.0114,0.0044,2,5,,0.0114,0.0115,0.0111
,SA005593-020,3.2998,,mg/L,1.5,0.0179,0.0075,2.03,5,,0.0177,0.018,0.0182
,PATRON,0.9928,,mg/L,1,0.123,-0.0002,,,,0.1236,0.1238,0.1215
,BLANCO,-0.0011,,mg/L,>100,-0.0001,-0.0004,,,,-0.0002,0.0005,-0.0007
,BLANCO REACTIVO,0,,mg/L,83.7,0.0004,0.0004,,,,0,0.0006,0.0004
,SA005593-021,7.1312,,mg/L,0.2,0.0377,0.0067,2,5,,0.0377,0.0377,0.0376
,SA005593-022,6.3182,,mg/L,1.8,0.0335,0.0045,2,5,,0.0329,0.0335,0.0341
,SA005593-023,2.5242,,mg/L,5.2,0.0136,0.0048,2,5,,0.0142,0.0138,0.0128
,SA005593-024,-0.0227,,mg/L,>100,-0.0001,0.0019,2,5,,0.0001,-0.0002,-0.0003
,SA005593-025,3.2682,,mg/L,2.9,0.0176,0.0053,2,5,,0.0173,0.0181,0.0173
,PATRON,0.9891,,mg/L,0.9,0.1225,0.0004,,,,0.1234,0.1213,0.1229
,SA005593-026,3.867,,mg/L,1.7,0.0206,0.005,,5,,0.021,0.0203,0.0206
,SA005593-027,9.1408,,mg/L,0.9,0.0482,0.0053,2.01,5,,0.0487,0.0478,0.0481
,SA005593-028,2.898,,mg/L,3.5,0.0158,0.0045,2.03,5,,0.0155,0.0154,0.0164
,SA005593-029,15.9214,,mg/L,1.4,0.0817,0.0116,2.01,5,,0.0804,0.0822,0.0825
,SA005593-030,4.8804,,mg/L,1.3,0.026,0.0075,2,5,,0.0258,0.0264,0.0258
,PATRON,0.9895,,mg/L,0.2,0.1226,0.0005,,,,0.1226,0.1228,0.1224
,BLANCO,-0.0027,,mg/L,21.2,-0.0004,0.0001,,,,-0.0003,-0.0004,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0006,,,,0.0001,-0.0001,-0.0005
,SA005593-031,6.2241,,mg/L,0.9,0.0329,0.0073,2,5,,0.0328,0.0327,0.0333
,SA005593-032,1.5991,,mg/L,3.4,0.0086,0.0041,,5,,0.0084,0.0086,0.0089
,PATRON,0.9907,,mg/L,0.6,0.1227,0.0011,,,,0.1223,0.1235,0.1223
,BLANCO,0.0025,,mg/L,>100,0.0003,0.0004,,,,0.0001,0,0.0009
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0003,,,,-0.0001,0.0002,0.0002
