Analista,MVG,,,,,,,,,,,,
Fecha de inicio,21/09/2024 03:32 a. m.  GMT: 21/09/2024 09:32 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005608_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0078,,mg/L,0.2,0.1125,0.0001,,,,0.1123,0.1125,0.1127
,BLANCO,0.0055,,mg/L,>100,0.0006,-0.0004,,,,0.0005,0,0.0014
,BLANCO REACTIVO,0,,mg/L,42.1,0.0008,-0.0007,,,,0.0011,0.0008,0.0004
,SA005608-001,6.0488,,mg/L,3.8,0.0281,0.0051,,5,,0.0271,0.0278,0.0292
,SA005608-002,2.7479,,mg/L,1.7,0.0128,0.0047,,5,,0.0126,0.013,0.0129
,SA005608-003,7.5997,,mg/L,2,0.0338,0.0058,1.92,5,,0.0331,0.0338,0.0345
,SA005608-004,7.6912,,mg/L,1.8,0.0342,0.0056,1.91,5,,0.0336,0.0348,0.0342
,SA005608-005,2.4399,,mg/L,1.6,0.0118,0.0048,2.06,5,,0.0118,0.012,0.0116
,PATRON,0.9928,,mg/L,0.2,0.1109,-0.0011,,,,0.1111,0.1107,0.1109
,SA005608-006,2.1204,,mg/L,5.4,0.0101,0.0044,2.04,5,,0.0097,0.0107,0.01
,SA005608-007,1.4393,,mg/L,12,0.0067,0.0061,1.97,5,,0.0076,0.0063,0.0061
,SA005608-008,3.9181,,mg/L,2.2,0.0183,0.0042,2,5,,0.0178,0.0185,0.0186
,SA005608-009,0.1727,,mg/L,53.6,0.0008,-0.0013,1.9,5,,0.0003,0.0011,0.001
,SA005608-010,5.3548,,mg/L,3.1,0.025,0.0041,2.01,5,,0.0242,0.0253,0.0257
,PATRON,0.9933,,mg/L,0.3,0.111,-0.0014,,,,0.1113,0.1109,0.1106
,BLANCO,0.0056,,mg/L,>100,0.0007,-0.0017,,,,0.0016,0.0012,-0.0008
,BLANCO REACTIVO,0,,mg/L,86.6,0.0006,-0.0003,,,,0.0009,0,0.0009
,SA005608-011,5.5058,,mg/L,2.4,0.0254,0.0038,1.98,5,,0.0248,0.026,0.0253
,SA005608-012,4.4329,,mg/L,1,0.0202,0.0044,1.95,5,,0.0204,0.0201,0.0201
,SA005608-013,2.8048,,mg/L,5.3,0.0132,0.0044,2.01,5,,0.0124,0.0136,0.0136
,SA005608-014,0.167,,mg/L,30.2,0.0008,-0.0016,,5,,0.001,0.0006,0.0007
,SA005608-015,2.9034,,mg/L,1.4,0.0141,0.0051,2.07,5,,0.0143,0.0141,0.0139
,PATRON,0.9808,,mg/L,1.4,0.1096,-0.0007,,,,0.1079,0.1105,0.1105
,SA005608-016,6.1487,,mg/L,1.9,0.0284,0.0031,1.99,5,,0.0284,0.029,0.028
,PATRON,0.9837,,mg/L,1.7,0.1099,-0.0004,,,,0.1097,0.1082,0.1119
,BLANCO,0.0054,,mg/L,56.2,0.0006,-0.0015,,,,0.0003,0.0005,0.001
,BLANCO REACTIVO,0,,mg/L,61.6,0.001,-0.0007,,,,0.0016,0.0008,0.0005
