Analista,MVG,,,,,,,,,,,,
Fecha de inicio,22/09/2024 01:48 a. m.  GMT: 22/09/2024 07:48 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005615-RCK_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4952,,mg/L,1.2,0.0146,0.0009,1,1,1,0.0148,0.0147,0.0144
,BLANCO,-0.0076,,mg/L,73.2,-0.0002,0.0003,1,1,1,-0.0004,-0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,1,1,1,-0.0002,0.0002,-0.0003
,SA005615-001,4.9501,,mg/L,0.8,0.0428,-0.0015,20.011,7,10,0.0424,0.043,0.043
,SA005615-002,2.9309,,mg/L,0.6,0.2641,0.0005,20.007,7,1,0.2627,0.264,0.2657
,SA005615-003,0.8881,,mg/L,0.6,0.0785,-0.0002,20.006,7,1,0.079,0.0781,0.0786
,SA005615-004,0.4126,,mg/L,1.6,0.0354,-0.0003,20.002,7,1,0.035,0.0352,0.0361
,SA005615-005,0.4448,,mg/L,0.5,0.0583,-0.0004,30.005,7,1,0.0586,0.0582,0.058
,PATRON,0.5068,,mg/L,1.9,0.015,0.0001,1,1,1,0.0152,0.015,0.0147
,SA005615-006,0.0038,,mg/L,60.7,0.0003,-0.0005,20,7,1,0.0004,0.0004,0.0001
,SA005615-007,0.5177,,mg/L,0.3,0.0448,-0.0003,20.001,7,1,0.0446,0.0449,0.0448
,SA005615-008,1.1489,,mg/L,0.6,0.1028,-0.0001,20.009,7,1,0.1021,0.1034,0.103
,SA005615-009,1.3614,,mg/L,7,0.1228,0,20.005,7,1,0.1313,0.1229,0.1141
,SA005615-010,0.462,,mg/L,0.6,0.0398,-0.0003,20.001,7,1,0.0396,0.04,0.0399
,PATRON,0.5114,,mg/L,1.1,0.0151,-0.0001,1,1,1,0.0152,0.0152,0.0149
,BLANCO,0.0067,,mg/L,>100,0.0002,-0.0004,1,1,1,0,0.0001,0.0004
,BLANCO REACTIVO,0,,mg/L,40.6,-0.0002,-0.0004,1,1,1,-0.0002,-0.0003,-0.0001
,SA005615-011,0.567,,mg/L,1.8,0.0492,-0.0006,20.007,7,1,0.0483,0.05,0.0493
,SA005615-012,0.6582,,mg/L,0.5,0.0574,-0.0004,20.003,7,1,0.0572,0.0575,0.0577
,SA005615-013,0.7252,,mg/L,0.6,0.0636,-0.0003,20.01,7,1,0.0635,0.064,0.0633
,SA005615-014,0.7902,,mg/L,0.8,0.0695,-0.0003,20.009,7,1,0.069,0.0695,0.0701
,SA005615-015,0.2115,,mg/L,0.2,0.0172,0.0002,20.009,7,1,0.0172,0.0172,0.0172
,PATRON,0.5062,,mg/L,0.2,0.015,0.0002,1,1,1,0.015,0.0149,0.015
,BLANCO,0.0099,,mg/L,28.7,0.0003,-0.0006,1,1,1,0.0002,0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0006,1,1,1,0,-0.0001,-0.0003
