Analista,MVG,,,,,,,,,,,,
Fecha de inicio,23/09/2024 06:25 p. m.  GMT: 24/09/2024 12:25 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005617-RCK_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4907,,mg/L,1.6,0.0164,0.0008,,,,0.0167,0.0162,0.0163
,BLANCO,-0.0007,,mg/L,>100,0,-0.0001,,,,-0.0003,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,38.3,0.0003,-0.0003,,,,0.0004,0.0005,0.0002
,SA005617-001,1.3747,,mg/L,1.5,0.1368,0.0002,20.03,,,0.1348,0.1388,0.1369
,SA005617-002,1.2787,,mg/L,1.3,0.127,0.0001,20,,,0.126,0.1261,0.1289
,SA005617-003,0.0077,,mg/L,33.4,0.0007,-0.001,2,,,0.001,0.0006,0.0006
,SA005617-004,1.528,,mg/L,1,0.1522,-0.0006,20.01,,,0.1505,0.1535,0.1525
,SA005617-005,0.1195,,mg/L,2.9,0.0113,-0.0024,20.01,,,0.011,0.0115,0.0116
,PATRON,0.5032,,mg/L,1,0.0169,-0.0003,,,,0.0168,0.0171,0.017
,PATRON,0.484,,mg/L,4.2,0.0163,0,,,,0.0165,0.0168,0.0155
,BLANCO,-0.0075,,mg/L,99.5,-0.0003,-0.0008,,,,0,-0.0002,-0.0005
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0013,,,,0,-0.0002,0.0003
