Analista,MVG,,,,,,,,,,,,
Fecha de inicio,23/09/2024 06:28 p. m.  GMT: 24/09/2024 12:28 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005617-RCK_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0201,,mg/L,1.5,0.1242,0.0024,,,,0.1228,0.1263,0.1235
,BLANCO,0.0019,,mg/L,85.9,0.0002,0,,,,0,0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,54.5,0.0025,-0.0014,,,,0.001,0.0029,0.0036
,SA005617-001,3.9648,,mg/L,4.2,0.02,0.0082,2,5,,0.0201,0.0191,0.0208
,SA005617-002,3.996,,mg/L,7.4,0.0202,0.0089,,5,,0.0196,0.019,0.0218
,SA005617-003,-0.0861,,mg/L,>100,-0.0004,0.0011,,5,,-0.0017,0.0002,0.0002
,SA005617-004,4.8845,,mg/L,5.9,0.0247,0.0097,2,5,,0.0263,0.0241,0.0236
,SA005617-005,14.184,,mg/L,4.5,0.0707,0.0102,2.01,5,,0.0743,0.068,0.0699
,PATRON,0.989,,mg/L,6,0.1206,-0.0016,,,,0.1123,0.1257,0.1237
,PATRON,0.979,,mg/L,5.7,0.1194,-0.002,,,,0.1116,0.1247,0.1219
,BLANCO,0.0007,,mg/L,>100,0.0001,-0.0033,,,,0.0005,-0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0011,,,,0.0029,-0.0017,-0.0018
