Analista,CCPR,,,,,,,,,,,,
Fecha de inicio,26/09/2024 10:10 a. m.  GMT: 26/09/2024 04:10 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005622_,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5172,,mg/L,2,0.0146,0.0009,,,,0.0145,0.0143,0.0149
,BLANCO,0.0108,,mg/L,>100,0.0003,-0.0004,,,,0.0007,-0.0002,0.0004
,BLANCO REACTIVO,0,,mg/L,78,0.0003,0.0001,,,,0.0002,0.0001,0.0005
,SA005622-001,0.1485,,mg/L,4.2,0.012,-0.0005,20.03,,,0.0125,0.0119,0.0115
,SA005622-002,0.1815,,mg/L,0.3,0.0147,-0.0007,20,,,0.0147,0.0147,0.0146
,SA005622-003,0.1382,,mg/L,5.4,0.0111,-0.0023,20.01,,,0.0117,0.0105,0.0112
,SA005622-004,0.1327,,mg/L,5.7,0.0107,0.0001,20.04,,,0.0106,0.0113,0.0101
,SA005622-005,0.2311,,mg/L,0.5,0.0187,-0.0006,20.03,,,0.0187,0.0186,0.0188
,PATRON,0.4997,,mg/L,3.2,0.0141,-0.0012,,,,0.014,0.0146,0.0137
,SA005622-006,0.2196,,mg/L,0.9,0.0177,-0.0013,20.03,,,0.0176,0.0178,0.0179
,SA005622-007,0.0074,,mg/L,34.6,0.0006,-0.0007,2,,,0.0007,0.0004,0.0007
,SA005622-008,0.0181,,mg/L,23.7,0.0014,-0.0009,20.02,,,0.0017,0.0011,0.0016
,SA005622-009,0.0021,,mg/L,79.4,0.0002,-0.0009,20.02,,,0.0001,0.0001,0.0003
,SA005622-010,0.6459,,mg/L,1.1,0.0531,-0.0009,20.06,,,0.0534,0.0525,0.0535
,PATRON,0.5309,,mg/L,2,0.015,-0.0013,,,,0.0152,0.0146,0.0151
,BLANCO,0.0067,,mg/L,>100,0.0002,-0.001,,,,-0.0004,0.0003,0.0006
,BLANCO REACTIVO,0,,mg/L,92.4,0.0006,-0.0007,,,,0.0012,0.0002,0.0004
