Analista,,,,,,,,,,,,,
Fecha de inicio,26/09/2024 10:42 a. m.  GMT: 26/09/2024 04:42 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005624_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5203,,mg/L,0.6,0.0144,0.0012,,,,0.0144,0.0145,0.0144
,BLANCO,-0.0058,,mg/L,>100,-0.0002,0.0002,,,,-0.0001,-0.0005,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0003,,,,-0.0001,-0.0002,0.0004
,SA005624-001,0.1147,,mg/L,7.9,0.0091,-0.0027,20,,,0.0086,0.0087,0.0099
,SA005624-002,0.1291,,mg/L,2.1,0.0102,-0.0032,20.06,,,0.0102,0.01,0.0105
,SA005624-003,0.1264,,mg/L,6.2,0.01,-0.0023,20.02,,,0.0107,0.0096,0.0097
,SA005624-004,0.0006,,mg/L,>100,0,-0.0008,2,,,0,0.0004,-0.0002
,SA005624-005,-0.0074,,mg/L,63,-0.0006,-0.0024,20.07,,,-0.0002,-0.0009,-0.0006
,PATRON,0.5068,,mg/L,4.3,0.0141,-0.0012,,,,0.0137,0.0147,0.0137
,SA005624-006,0.0583,,mg/L,6.1,0.0046,-0.0008,20.05,,,0.0043,0.0047,0.0048
,SA005624-007,0.1107,,mg/L,3.9,0.0088,-0.0004,20.09,,,0.0086,0.0092,0.0086
,SA005624-008,0.1065,,mg/L,3.2,0.0084,-0.0012,20.02,,,0.0087,0.0081,0.0084
,SA005624-009,0.5253,,mg/L,0.8,0.0425,-0.0015,20.01,,,0.0422,0.0428,0.0423
,SA005624-010,0.9583,,mg/L,0.8,0.0791,-0.001,20.07,,,0.0795,0.0795,0.0784
,PATRON,0.5011,,mg/L,0.6,0.0139,-0.001,,,,0.0138,0.014,0.0139
,BLANCO,0.011,,mg/L,56.4,0.0003,-0.0018,,,,0.0005,0.0003,0.0002
,BLANCO REACTIVO,0,,mg/L,48.4,0.0005,-0.0019,,,,0.0006,0.0008,0.0003
