Analista,CCPR,,,,,,,,,,,,
Fecha de inicio,26/09/2024 10:59 a. m.  GMT: 26/09/2024 04:59 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005625_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5137,,mg/L,2.1,0.0146,0,,,,0.0146,0.0143,0.0149
,BLANCO,0.0031,,mg/L,>100,0.0001,-0.0004,,,,-0.0002,0.0002,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0001,,,,0.0003,-0.0001,-0.0007
,SA005625-001,0.1425,,mg/L,4.3,0.0116,-0.0002,20.04,,,0.011,0.0118,0.012
,SA005625-002,0.0976,,mg/L,2.8,0.0079,0,20.01,,,0.0079,0.0081,0.0077
,SA005625-003,0.1252,,mg/L,1.4,0.0102,-0.0002,20,,,0.0102,0.01,0.0103
,SA005625-004,0.196,,mg/L,1.7,0.016,-0.0001,20.07,,,0.0159,0.0157,0.0163
,SA005625-005,0.1261,,mg/L,1.5,0.0103,-0.0005,20.09,,,0.0104,0.0104,0.0101
,PATRON,0.5082,,mg/L,0.7,0.0144,0.0013,,,,0.0144,0.0146,0.0144
,SA005625-006,0.1232,,mg/L,3.6,0.01,-0.0003,20.08,,,0.0097,0.0104,0.0099
,SA005625-007,0.5145,,mg/L,2.1,0.0421,-0.0006,19.99,,,0.0411,0.0428,0.0423
,SA005625-008,0.5179,,mg/L,0.9,0.0424,0,20,,,0.0424,0.042,0.0427
,SA005625-009,0.0142,,mg/L,40.7,0.0011,-0.0004,2,,,0.0007,0.0017,0.001
,SA005625-010,0.016,,mg/L,41.5,0.0013,-0.0005,20.02,,,0.0011,0.0009,0.0019
,PATRON,0.5173,,mg/L,1.8,0.0147,0.0007,,,,0.0149,0.0148,0.0144
,BLANCO,0.0005,,mg/L,>100,0,-0.0002,,,,-0.0002,0.0002,0
,BLANCO REACTIVO,0,,mg/L,45.1,-0.0003,-0.0003,,,,-0.0004,-0.0004,-0.0002
,SA005625-011,0.9745,,mg/L,0.7,0.0802,-0.0005,20.01,,,0.0796,0.0808,0.0802
