Analista,GGP,,,,,,,,,,,,
Fecha de inicio,04/10/2024 12:01 p. m.  GMT: 04/10/2024 06:01 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005634_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5032,,mg/L,2.8,0.0166,0.0006,,,,0.0172,0.0163,0.0164
,BLANCO,0.0089,,mg/L,82,0.0003,-0.0005,,,,0.0002,0.0001,0.0006
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0002,,,,-0.0002,0.0002,-0.0001
,SA005634-001,0.1533,,mg/L,1.8,0.0145,-0.0001,20.03,,,0.0143,0.0144,0.0148
,SA005634-002,0.0826,,mg/L,1.2,0.0078,-0.0001,20.03,,,0.0078,0.0079,0.0077
,SA005634-003,0.261,,mg/L,1.6,0.0247,0.0002,20.06,,,0.0247,0.0244,0.0252
,SA005634-004,0.2706,,mg/L,1.8,0.0256,0.0003,20,,,0.0255,0.0262,0.0253
,SA005634-005,0.1839,,mg/L,1.8,0.0174,0.0001,20.06,,,0.0172,0.0173,0.0178
,PATRON,0.4895,,mg/L,0.8,0.0162,0.0008,,,,0.0163,0.0162,0.0161
,SA005634-006,-0.0007,,mg/L,72.9,-0.0001,0.0003,2,,,0,-0.0001,-0.0001
,SA005634-007,0.1495,,mg/L,1.3,0.0142,-0.0001,20.05,,,0.014,0.0144,0.0141
,SA005634-008,0.1098,,mg/L,2.7,0.0104,0,20.04,,,0.0104,0.0101,0.0107
,SA005634-009,0.0915,,mg/L,2.6,0.0087,0.0004,20.06,,,0.0089,0.0085,0.0086
,SA005634-010,0.1853,,mg/L,0.9,0.0176,0.0005,20.06,,,0.0177,0.0174,0.0176
,PATRON,0.4888,,mg/L,1.4,0.0162,0.0006,,,,0.0164,0.0162,0.0159
,BLANCO,-0.002,,mg/L,>100,-0.0001,0.0001,,,,0.0001,-0.0004,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,,,,0.0001,-0.0004,-0.0001
,SA005634-011,0.141,,mg/L,0.9,0.0134,0.0004,20.05,,,0.0133,0.0135,0.0133
,SA005634-012,0.1222,,mg/L,1.6,0.0116,0,20.07,,,0.0118,0.0116,0.0114
,SA005634-013,0.0026,,mg/L,>100,0.0002,0.0005,20.05,,,0.0003,0,0.0005
,SA005634-014,0.1164,,mg/L,1,0.011,0.0003,20.05,,,0.0111,0.011,0.0109
,SA005634-015,0.1334,,mg/L,2,0.0126,0.0003,20.03,,,0.0125,0.0129,0.0125
,PATRON,0.4968,,mg/L,0.3,0.0164,0.0005,,,,0.0164,0.0165,0.0164
,SA005634-016,0.128,,mg/L,1.6,0.0121,0.0005,20.06,,,0.012,0.012,0.0124
,SA005634-017,0.1846,,mg/L,0.7,0.0175,0.0007,20.04,,,0.0174,0.0176,0.0174
,SA005634-018,0.1049,,mg/L,1.6,0.0099,0.0002,20.06,,,0.01,0.01,0.0098
,SA005634-019,0.1055,,mg/L,3.4,0.01,0.0001,20.05,,,0.0096,0.0103,0.0101
,SA005634-020,0.0775,,mg/L,2.7,0.0073,0.0002,20.06,,,0.0073,0.0072,0.0076
,PATRON,0.4948,,mg/L,1.3,0.0164,0.0007,,,,0.0161,0.0165,0.0165
,BLANCO,0.0062,,mg/L,95.9,0.0002,0,,,,0.0004,0,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0001,,,,0.0002,0,-0.0001
,SA005634-021,0.0727,,mg/L,3.3,0.0069,0.0003,20.02,,,0.0067,0.0067,0.0071
,SA005634-022,0.0897,,mg/L,2.6,0.0085,0.0003,20.03,,,0.0083,0.0087,0.0084
,PATRON,0.4865,,mg/L,1.8,0.0161,0.0006,,,,0.0162,0.0163,0.0158
,BLANCO,-0.0046,,mg/L,>100,-0.0002,-0.0001,,,,-0.0002,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0003,-0.0001,,,,-0.0006,-0.0004,0.0002
