Analista,GGP,,,,,,,,,,,,
Fecha de inicio,06/10/2024 11:41 a. m.  GMT: 06/10/2024 05:41 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005639_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0074,,mg/L,1.7,0.1065,0.0045,,,,0.1058,0.1052,0.1086
,BLANCO,0.0019,,mg/L,>100,0.0002,0.0047,,,,-0.0011,0.0005,0.0012
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,0.0016,,,,0.0031,-0.0016,-0.0003
,SA005639-001,3.3935,,mg/L,6.5,0.0154,0.0108,2.02,5,,0.0149,0.0149,0.0166
,SA005639-002,1.4905,,mg/L,11.7,0.0068,0.0102,2.01,5,,0.0064,0.0077,0.0062
,SA005639-003,1.5358,,mg/L,11.8,0.007,0.0096,2.01,5,,0.0077,0.0072,0.0061
,SA005639-004,1.5814,,mg/L,4.8,0.0072,0.0104,2,5,,0.0075,0.0072,0.0068
,SA005639-005,0.1008,,mg/L,>100,0.0005,0.0062,,5,,0.0013,-0.0013,0.0013
,PATRON,0.9978,,mg/L,1.3,0.1036,0.0023,,,,0.1031,0.1051,0.1026
,SA005639-006,0.3195,,mg/L,54.7,0.0015,0.0072,2.03,5,,0.0018,0.0006,0.0021
,SA005639-007,3.5338,,mg/L,10.3,0.0149,0.006,2.01,5,,0.0148,0.0164,0.0134
,PATRON,0.9954,,mg/L,1.1,0.1053,0.0056,,,,0.1044,0.1049,0.1067
,BLANCO,-0.0064,,mg/L,>100,-0.0007,0.0056,,,,0.0001,-0.0014,-0.0009
,BLANCO REACTIVO,0,,mg/L,54.5,-0.0024,0.0023,,,,-0.0031,-0.0032,-0.0009
