Analista,,,,,,,,,,,,,
Fecha de inicio,09/10/2024 03:57 p. m.  GMT: 09/10/2024 09:57 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005644_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9908,,mg/L,0.4,0.1301,0.0004,1,1,1,0.1304,0.1304,0.1295
,BLANCO,0.0002,,mg/L,>100,0,0.0002,1,1,1,0.0001,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,10.6,-0.0018,0.001,1,1,1,-0.002,-0.0019,-0.0016
,SA005644-001,3.8101,,mg/L,3.7,0.0203,0.0066,2.012,50,1,0.0196,0.0203,0.0211
,SA005644-002,3.2436,,mg/L,2.7,0.0174,0.0064,2.033,50,1,0.0169,0.0178,0.0175
,SA005644-003,4.3931,,mg/L,4.4,0.0235,0.0064,2.013,50,1,0.0224,0.0237,0.0244
,SA005644-004,-0.0438,,mg/L,56.5,-0.0002,0.0027,2,50,1,-0.0004,-0.0002,-0.0001
,SA005644-005,0.112,,mg/L,>100,0.0006,0.0025,2.023,50,1,0.0013,0.0003,0.0002
,PATRON,1.0137,,mg/L,0.4,0.1326,0.0014,1,1,1,0.132,0.133,0.1329
,SA005644-006,3.0421,,mg/L,1.3,0.0163,0.0071,2.028,50,1,0.0165,0.0162,0.0161
,SA005644-007,2.9771,,mg/L,3.7,0.0155,0.0072,2.04,50,1,0.0153,0.015,0.0161
,SA005644-008,3.67,,mg/L,3.4,0.0197,0.006,2.025,50,1,0.0191,0.0195,0.0204
,SA005644-009,2.8799,,mg/L,1.5,0.0156,0.0069,2.052,50,1,0.0158,0.0154,0.0155
,SA005644-010,2.5887,,mg/L,3.7,0.0139,0.0085,2.036,50,1,0.0133,0.0142,0.0142
,PATRON,0.9967,,mg/L,0.9,0.1307,0.0026,1,1,1,0.1294,0.131,0.1318
,BLANCO,0.001,,mg/L,>100,0.0001,0.0028,1,1,1,0.0007,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,4.8,-0.0022,0.001,1,1,1,-0.002,-0.0022,-0.0022
,SA005644-011,2.0631,,mg/L,4.5,0.0109,0.0089,2.009,50,1,0.0103,0.0109,0.0113
,SA005644-012,2.0779,,mg/L,2.4,0.0136,0.0087,2.002,50,1,0.0132,0.0136,0.0139
,SA005644-013,29.6342,,mg/L,0.4,0.131,0.0186,2.027,50,1,0.1316,0.1306,0.1306
,SA005644-014,2.2663,,mg/L,0.9,0.012,0.0093,2.015,50,1,0.0119,0.0121,0.012
,SA005644-015,5.9263,,mg/L,2.6,0.0322,0.0084,2.026,50,1,0.0326,0.0313,0.0328
,PATRON,0.9883,,mg/L,0.4,0.1298,0.0033,1,1,1,0.1303,0.1293,0.1298
,PATRON,0.983,,mg/L,0.9,0.1292,0.0035,1,1,1,0.1299,0.1279,0.1299
,BLANCO,-0.0047,,mg/L,57.7,-0.0006,0.0036,1,1,1,-0.0003,-0.001,-0.0006
,BLANCO REACTIVO,0,,mg/L,11.7,-0.0028,0.001,1,1,1,-0.0027,-0.0032,-0.0026
