Analista,LRF,,,,,,,,,,,,
Fecha de inicio,07/10/2024 05:21 p. m.  GMT: 07/10/2024 11:21 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005646_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5011,,mg/L,1.3,0.0163,0.0011,1,1,1,0.0165,0.0163,0.0161
,BLANCO,-0.0069,,mg/L,>100,-0.0002,0.0004,1,1,1,0.0004,-0.0005,-0.0006
,BLANCO REACTIVO,0,,mg/L,6.6,-0.0006,0.001,1,1,1,-0.0006,-0.0006,-0.0006
,SA005646-001,0.9783,,mg/L,1,0.1355,0.0027,20,7,1,0.134,0.1356,0.1368
,SA005646-002,0.9423,,mg/L,0.7,0.0918,0.0025,20,7,1,0.0923,0.092,0.091
,SA005646-003,0.6975,,mg/L,0.5,0.0977,0.0028,20,7,1,0.0982,0.0973,0.0977
,SA005646-004,0.6804,,mg/L,0.2,0.0653,0.0017,20,7,1,0.0653,0.0651,0.0654
,SA005646-005,-0.0011,,mg/L,>100,-0.0001,-0.002,20,7,1,-0.0005,0.0001,0.0001
,PATRON,0.4993,,mg/L,0.6,0.0174,-0.0017,1,1,1,0.0172,0.0174,0.0175
,SA005646-006,-0.0014,,mg/L,>100,-0.0001,-0.0018,20,7,1,0.0001,-0.0002,-0.0003
,SA005646-007,0.2033,,mg/L,1.4,0.0202,0.0015,20,7,1,0.0199,0.0204,0.0203
,PATRON,0.4962,,mg/L,1.3,0.0173,-0.0014,1,1,1,0.0175,0.017,0.0173
,BLANCO,-0.0121,,mg/L,58.8,-0.0004,-0.002,1,1,1,-0.0002,-0.0007,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.001,1,1,1,-0.0001,0,0.0008
