Analista,LRF,,,,,,,,,,,,
Fecha de inicio,07/10/2024 06:10 p. m.  GMT: 08/10/2024 12:10 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005647_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5165,,mg/L,2,0.0168,-0.0001,,,,0.0167,0.0171,0.0165
,BLANCO,0.0102,,mg/L,94,0.0003,-0.0005,,,,0.0003,0,0.0006
,BLANCO REACTIVO,0,,mg/L,19.3,0.0005,-0.001,,,,0.0005,0.0004,0.0005
,SA005647-001,0.1246,,mg/L,2.2,0.0116,-0.0017,20.01,,,0.0113,0.0118,0.0116
,SA005647-002,0.1145,,mg/L,1.7,0.0106,-0.0019,20.01,,,0.0106,0.0108,0.0105
,SA005647-003,0.1911,,mg/L,1.3,0.0178,-0.0016,20.01,,,0.0179,0.0179,0.0175
,SA005647-004,0.0949,,mg/L,4.9,0.0088,-0.0018,20.05,,,0.0089,0.0084,0.0092
,SA005647-005,0.0904,,mg/L,6.1,0.0084,-0.0019,20.04,,,0.0089,0.0084,0.0079
,PATRON,0.4901,,mg/L,2.7,0.0159,-0.0008,,,,0.0164,0.0158,0.0156
,SA005647-006,0.0604,,mg/L,3.8,0.0056,-0.0014,20.05,,,0.0054,0.0057,0.0058
,SA005647-007,0.2341,,mg/L,0.5,0.0218,-0.0023,20.01,,,0.0219,0.0217,0.0217
,SA005647-008,0.2353,,mg/L,1.7,0.0219,-0.0019,20,,,0.0221,0.0214,0.022
,SA005647-009,0.0014,,mg/L,>100,0.0001,-0.0015,20,,,0.0003,0,0.0001
,SA005647-010,0.0857,,mg/L,3.9,0.008,-0.0016,20.04,,,0.008,0.0083,0.0077
,PATRON,0.5143,,mg/L,0.7,0.0167,-0.0017,,,,0.0166,0.0168,0.0167
,BLANCO,-0.0034,,mg/L,>100,-0.0001,-0.0018,,,,-0.0002,-0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,18.3,0.0003,-0.0006,,,,0.0004,0.0003,0.0003
,SA005647-011,0.1203,,mg/L,3.4,0.0112,-0.0011,20.05,,,0.011,0.011,0.0116
,SA005647-012,0.0938,,mg/L,2.6,0.0087,-0.0015,20.02,,,0.0088,0.0085,0.0089
,SA005647-013,0.2711,,mg/L,1.6,0.0253,-0.0014,20.07,,,0.0248,0.0255,0.0255
,SA005647-014,0.0041,,mg/L,19.9,0.0004,-0.0013,2,,,0.0005,0.0003,0.0004
,SA005647-015,0.1634,,mg/L,0.4,0.0152,-0.0008,20.01,,,0.0151,0.0152,0.0152
,PATRON,0.5,,mg/L,2,0.0162,-0.0003,,,,0.0163,0.0159,0.0165
,SA005647-016,0.1059,,mg/L,2.8,0.0098,-0.0015,20.05,,,0.0096,0.0102,0.0097
,SA005647-017,0.5263,,mg/L,1.4,0.0492,-0.0012,20.07,,,0.0492,0.0499,0.0484
,SA005647-018,0.2535,,mg/L,2.3,0.0236,-0.001,20.04,,,0.0239,0.0239,0.023
,SA005647-019,0.1007,,mg/L,2.3,0.0093,-0.001,20,,,0.0091,0.0094,0.0095
,SA005647-020,0.3171,,mg/L,1.3,0.0295,-0.0013,20.03,,,0.0291,0.0297,0.0298
,PATRON,0.5033,,mg/L,2.3,0.0163,-0.0005,,,,0.0165,0.0167,0.0159
,BLANCO,-0.0097,,mg/L,88,-0.0003,-0.0011,,,,-0.0006,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0004,,,,0,-0.0001,0.0002
,SA005647-021,0.2492,,mg/L,1.5,0.0232,-0.001,20.04,,,0.0235,0.0228,0.0233
,SA005647-022,0.0935,,mg/L,1.9,0.0087,-0.0011,20.02,,,0.0088,0.0085,0.0087
,SA005647-023,0.1031,,mg/L,3.8,0.0096,-0.001,20,,,0.0097,0.0092,0.0098
,SA005647-024,0.1646,,mg/L,1.5,0.0153,-0.0007,2,,,0.0152,0.0155,0.0151
,SA005647-025,0.9846,,mg/L,1.1,0.092,0.0001,20.05,,,0.0931,0.0911,0.0918
,PATRON,0.5036,,mg/L,2.6,0.0164,0,,,,0.0166,0.0167,0.0159
,BLANCO,-0.006,,mg/L,>100,-0.0002,-0.001,,,,0,0,-0.0005
,BLANCO REACTIVO,0,,mg/L,56.3,-0.0003,-0.0004,,,,-0.0003,-0.0001,-0.0005
