Analista,LRF,,,,,,,,,,,,
Fecha de inicio,07/10/2024 06:16 p. m.  GMT: 08/10/2024 12:16 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005648-RE_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.487,,mg/L,1.6,0.0164,0.0011,1,1,1,0.0164,0.0167,0.0162
,BLANCO,-0.0057,,mg/L,>100,-0.0002,-0.0002,1,1,1,-0.0005,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0008,1,1,1,0.0005,0.0001,-0.0005
,SA005640-001,0.495,,mg/L,0.2,0.0405,-0.0007,20.014,7,1,0.0404,0.0406,0.0405
,SA005640-003,0.132,,mg/L,2.7,0.0127,-0.0006,20.038,7,1,0.0131,0.0126,0.0124
,SA005640-004,0.11,,mg/L,2.4,0.0111,-0.0004,20.005,7,1,0.0113,0.011,0.0108
,SA005640-005,0.117,,mg/L,3.1,0.022,-0.0009,20.003,7,1,0.0217,0.0228,0.0215
,SA005640-009,0.054,,mg/L,5.1,0.0056,-0.0006,20.027,7,1,0.0053,0.0058,0.0055
,PATRON,0.5192,,mg/L,1.9,0.0175,-0.0001,1,1,1,0.0171,0.0177,0.0177
,SA005640-010,0.171,,mg/L,1.8,0.0191,-0.0002,20.065,7,1,0.0195,0.0189,0.019
,SA005640-011,0.17,,mg/L,3.8,0.0134,-0.0007,20.019,7,1,0.0138,0.0135,0.0128
,PATRON,0.4944,,mg/L,1.7,0.0167,0.0002,1,1,1,0.017,0.0167,0.0164
,BLANCO,-0.0064,,mg/L,91.2,-0.0002,-0.0008,1,1,1,0,-0.0002,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0004,1,1,1,0.0002,0.0001,-0.0001
