Analista,GGP,,,,,,,,,,,,
Fecha de inicio,11/10/2024 08:29 a. m.  GMT: 11/10/2024 02:29 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005655_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5085,,mg/L,0.5,0.0166,0.0001,,,,0.0167,0.0166,0.0165
,BLANCO,0.0051,,mg/L,>100,0.0002,-0.0009,,,,0.0008,-0.0002,0
,BLANCO REACTIVO,0,,mg/L,10.5,0.003,-0.0037,,,,0.0033,0.0028,0.0029
,SA005655-001,0.0843,,mg/L,4.3,0.0079,-0.0069,20.01,,,0.0076,0.0077,0.0082
,SA005655-002,0.0826,,mg/L,1.7,0.0086,-0.0068,20,,,0.0085,0.0087,0.0088
,SA005655-003,0.1824,,mg/L,1.5,0.0171,-0.0065,20.02,,,0.0173,0.0169,0.0169
,SA005655-004,0.1835,,mg/L,0.9,0.0143,0.0006,20.02,,,0.0144,0.0144,0.0142
,SA005655-005,0.0964,,mg/L,0.6,0.009,-0.0072,20.04,,,0.009,0.0089,0.0091
,PATRON,0.5065,,mg/L,0.4,0.0165,-0.0063,,,,0.0166,0.0166,0.0165
,SA005655-006,0.2684,,mg/L,2.4,0.0251,-0.0067,20.02,,,0.0244,0.0255,0.0255
,SA005655-007,0.1968,,mg/L,1.9,0.0184,-0.0064,20,,,0.018,0.0187,0.0185
,SA005655-008,0.112,,mg/L,4,0.0105,-0.0064,20.04,,,0.0107,0.0107,0.01
,SA005655-009,0.2289,,mg/L,0.7,0.0214,-0.0066,20.02,,,0.0213,0.0216,0.0214
,SA005655-010,0.001,,mg/L,>100,0.0001,-0.0068,20.01,,,-0.0003,0.0004,0.0002
,PATRON,0.4941,,mg/L,1.4,0.0161,-0.0062,,,,0.0159,0.0164,0.0161
,BLANCO,-0.0084,,mg/L,>100,-0.0003,-0.0069,,,,-0.001,-0.0001,0.0002
,BLANCO REACTIVO,0,,mg/L,2.1,0.0025,-0.0034,,,,0.0025,0.0024,0.0025
,SA005655-011,0.2091,,mg/L,1.8,0.0195,-0.0063,20.01,,,0.0194,0.0199,0.0193
,SA005655-012,0.1735,,mg/L,1.8,0.0162,-0.0062,20.01,,,0.0161,0.016,0.0165
,SA005655-013,0.1241,,mg/L,0.6,0.0116,-0.0059,20.09,,,0.0116,0.0116,0.0117
,SA005655-014,0.0859,,mg/L,3.2,0.008,-0.006,20.01,,,0.0077,0.0082,0.008
,SA005655-015,0.1094,,mg/L,1.9,0.0102,-0.0056,20,,,0.0101,0.0104,0.0101
,PATRON,0.4882,,mg/L,1,0.0159,-0.0049,,,,0.016,0.016,0.0158
,SA005655-016,-0.0065,,mg/L,24.8,-0.0006,-0.0057,2,,,-0.0005,-0.0006,-0.0008
,SA005655-017,0.0648,,mg/L,6.3,0.006,-0.0057,20.03,,,0.0064,0.006,0.0056
,SA005655-018,0.0921,,mg/L,4.6,0.0086,-0.006,20.02,,,0.0087,0.0081,0.0089
,SA005655-019,0.2144,,mg/L,0.9,0.02,-0.006,20,,,0.0202,0.0199,0.02
,SA005655-020,0.1328,,mg/L,0.4,0.0124,-0.0062,20.01,,,0.0123,0.0124,0.0124
,PATRON,0.5086,,mg/L,3.3,0.0166,-0.0038,,,,0.016,0.017,0.0168
,BLANCO,-0.0033,,mg/L,>100,-0.0001,-0.0044,,,,0.0001,-0.0004,0
,BLANCO REACTIVO,0,,mg/L,42.3,0.0011,-0.0025,,,,0.0015,0.0006,0.0013
,SA005655-021,0.1141,,mg/L,1,0.0106,-0.0048,20.01,,,0.0106,0.0108,0.0106
,SA005655-022,0.1571,,mg/L,4.7,0.0147,-0.0049,20.01,,,0.0155,0.0143,0.0142
,SA005655-023,0.1125,,mg/L,3.5,0.0105,-0.0045,20.04,,,0.0109,0.0105,0.0101
,SA005655-024,0.0916,,mg/L,3.1,0.0085,-0.0039,20.01,,,0.0086,0.0082,0.0087
,SA005655-025,0.2084,,mg/L,3.3,0.0195,-0.0045,20.01,,,0.0192,0.019,0.0202
,PATRON,0.5086,,mg/L,1.5,0.0166,-0.0034,,,,0.0164,0.0169,0.0166
