Analista,GGP,,,,,,,,,,,,
Fecha de inicio,11/10/2024 03:24 p. m.  GMT: 11/10/2024 09:24 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005655_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9946,,mg/L,1.5,0.1385,0.0011,,,,0.1368,0.1377,0.1409
,BLANCO,0.004,,mg/L,>100,0.0006,-0.0017,,,,-0.0014,-0.0002,0.0033
,BLANCO REACTIVO,0,,mg/L,78.3,-0.0009,0.0012,,,,-0.001,-0.0001,-0.0016
,SA005655-001,1.9883,,mg/L,11.4,0.0118,0.0073,2.04,5,,0.0125,0.0126,0.0102
,SA005655-002,2.0335,,mg/L,3.3,0.012,0.0078,2.03,5,,0.0117,0.0125,0.0119
,SA005655-003,3.3204,,mg/L,3.7,0.0193,0.0087,2.01,5,,0.0185,0.0197,0.0198
,SA005655-004,3.339,,mg/L,4.2,0.0195,0.0083,2.01,5,,0.0204,0.0194,0.0188
,SA005655-005,2.03,,mg/L,13.6,0.0119,0.0076,2.02,5,,0.0115,0.0137,0.0106
,PATRON,0.9971,,mg/L,1.4,0.1388,0.002,,,,0.1388,0.1368,0.1408
,SA005655-006,1.8961,,mg/L,13.6,0.011,0.0091,2,5,,0.0103,0.0128,0.01
,SA005655-007,3.1854,,mg/L,5.7,0.0187,0.0065,2.02,5,,0.0193,0.0175,0.0194
,SA005655-008,1.3488,,mg/L,6.6,0.008,0.01,2.03,5,,0.0074,0.0084,0.008
,SA005655-009,9.8189,,mg/L,2.3,0.0569,0.0094,2,5,,0.0557,0.0567,0.0583
,SA005655-010,0.1432,,mg/L,>100,0.0008,0.0011,2,5,,-0.0021,0.0018,0.0029
,PATRON,1.0049,,mg/L,0.2,0.1398,0.0036,,,,0.1396,0.1401,0.1398
,BLANCO,0.0061,,mg/L,40.5,0.0009,0.0009,,,,0.0007,0.0013,0.0007
,BLANCO REACTIVO,0,,mg/L,23.7,-0.0019,0.0017,,,,-0.0022,-0.0021,-0.0014
,SA005655-011,3.7158,,mg/L,3.9,0.0217,0.0095,2.01,5,,0.0214,0.021,0.0226
,SA005655-012,3.1236,,mg/L,4.8,0.0181,0.0077,2,5,,0.0172,0.0189,0.0183
,SA005655-013,6.3203,,mg/L,2,0.0375,0.0076,2.05,5,,0.0373,0.0383,0.0369
,SA005655-014,3.0974,,mg/L,7.5,0.0181,0.0089,2.01,5,,0.0191,0.0165,0.0186
,SA005655-015,4.4044,,mg/L,1.8,0.0258,0.0113,2.02,5,,0.0263,0.0254,0.0255
,PATRON,0.9885,,mg/L,1.3,0.1377,0.0038,,,,0.1358,0.1381,0.1392
,SA005655-016,0.012,,mg/L,>100,0.0001,0.0032,,5,,-0.0002,-0.0001,0.0005
,SA005655-017,1.2922,,mg/L,10.9,0.0075,0.0085,,5,,0.0084,0.0071,0.007
,SA005655-018,3.0384,,mg/L,10,0.0176,0.0097,2,5,,0.0157,0.0179,0.0192
,SA005655-019,26.0898,,mg/L,0.9,0.1467,0.0238,2.02,5,,0.1474,0.1452,0.1475
,SA005655-020,1.7265,,mg/L,12.1,0.0102,0.007,2,5,,0.0096,0.0116,0.0094
,PATRON,1.0042,,mg/L,1.2,0.1397,0.0049,,,,0.1379,0.1399,0.1414
,BLANCO,0.0052,,mg/L,93.7,0.0008,0.0023,,,,0.0011,0.0013,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0012,,,,0.0002,0.0003,-0.0006
,SA005655-021,0.6812,,mg/L,9.9,0.004,0.008,2.04,5,,0.0037,0.004,0.0045
,SA005655-022,0.6139,,mg/L,22.4,0.0036,0.0063,2.03,5,,0.0041,0.0027,0.0042
,SA005655-023,0.6901,,mg/L,14.7,0.004,0.0064,2.01,5,,0.0046,0.0041,0.0034
,SA005655-024,1.0255,,mg/L,8.6,0.006,0.0062,2.01,5,,0.0055,0.0059,0.0066
,SA005655-025,0.9061,,mg/L,12.7,0.0053,0.0077,2,5,,0.006,0.0047,0.0052
,PATRON,0.9877,,mg/L,1.1,0.1376,0.0037,,,,0.1358,0.1387,0.1382
,SA005655-026,9.1174,,mg/L,1,0.053,0.0106,2.02,5,,0.0525,0.0535,0.053
,SA005655-027,0.7367,,mg/L,15.5,0.0043,0.0085,2.01,5,,0.0051,0.0039,0.004
,SA005655-028,1.6856,,mg/L,9.3,0.0098,0.0073,2,5,,0.009,0.0108,0.0096
,SA005655-029,1.4009,,mg/L,2.2,0.0082,0.0077,2.01,5,,0.0083,0.008,0.0083
,SA005655-030,0.7244,,mg/L,14.9,0.0042,0.008,2.01,5,,0.0047,0.0035,0.0045
,PATRON,0.9837,,mg/L,0.8,0.137,0.0019,,,,0.1381,0.1372,0.1359
,BLANCO,-0.0034,,mg/L,>100,-0.0005,-0.0002,,,,-0.0001,-0.0003,-0.0011
,BLANCO REACTIVO,0,,mg/L,88.1,-0.0016,-0.0004,,,,-0.0003,-0.0014,-0.0031
,SA005655-031,3.5698,,mg/L,6.1,0.0209,0.0093,2.02,5,,0.0223,0.0208,0.0197
,SA005655-032,3.7177,,mg/L,4.9,0.0218,0.0086,2.02,5,,0.0207,0.0228,0.0221
,PATRON,0.9875,,mg/L,1.3,0.1375,0.004,,,,0.1388,0.1384,0.1354
,BLANCO,0.0032,,mg/L,>100,0.0005,0.0017,,,,0.0017,-0.0011,0.0008
,BLANCO REACTIVO,0,,mg/L,79.6,-0.0021,0.0016,,,,-0.0039,-0.0018,-0.0006
