Analista,GGP,,,,,,,,,,,,
Fecha de inicio,11/10/2024 09:38 a. m.  GMT: 11/10/2024 03:38 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005656-RE_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5092,,mg/L,0.5,0.0166,0.0002,,,,0.0165,0.0165,0.0167
,BLANCO,-0.0114,,mg/L,88.5,-0.0004,-0.0003,,,,-0.0007,-0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,36.7,-0.0004,-0.0003,,,,-0.0003,-0.0006,-0.0003
,SA005643-004,0.1965,,mg/L,1.1,0.0183,0.0002,20.01,,,0.0184,0.0181,0.0183
,SA005643-005,0.0544,,mg/L,3.7,0.005,-0.0002,20.02,,,0.005,0.0052,0.0049
,SA005643-007,0.5642,,mg/L,0.9,0.053,0.0005,20.01,,,0.0533,0.0524,0.0531
,SA005643-008,0.5505,,mg/L,1.1,0.0583,0.0005,20.01,,,0.059,0.0579,0.058
,SA005643-010,0.2998,,mg/L,0.8,0.028,0.001,20.05,,,0.0282,0.0278,0.0281
,PATRON,0.4973,,mg/L,3.8,0.0162,0.0008,,,,0.0157,0.0159,0.0169
,SA005643-011,0.0759,,mg/L,2,0.007,0.0002,20.01,,,0.007,0.0069,0.0072
,SA005643-012,0.2211,,mg/L,1,0.0206,0,20.01,,,0.0208,0.0206,0.0204
,PATRON,0.4866,,mg/L,1.3,0.0158,0.001,,,,0.0157,0.0161,0.0157
,BLANCO,-0.0019,,mg/L,>100,-0.0001,0.0015,,,,0,-0.0002,0
,BLANCO REACTIVO,0,,mg/L,1,-0.001,0.0003,,,,-0.001,-0.001,-0.001
