PATRON,5.038,,mg/L,2.4,0.1007,0.1016,0.1025,0.098
BLANCO,0.0035,,mg/L,>100,0.0001,0,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,14.2,-0.0007,-0.0007,-0.0006,-0.0008
H,3.0357,,mg/L,0.3,0.0606,0.0607,0.0604,0.0608
C1,3.0212,,mg/L,0.4,0.0603,0.0606,0.0602,0.0602
C2,3.0298,,mg/L,0.3,0.0605,0.0607,0.0605,0.0603
PATRON,5.0325,,mg/L,0.3,0.1006,0.1009,0.1004,0.1004
BLANCO,0.0014,,mg/L,>100,0,0.0002,0,-0.0001
BLANCO REACTIVO,0,,mg/L,32.8,-0.0004,-0.0003,-0.0004,-0.0006
C3,3.054,,mg/L,0.5,0.061,0.0613,0.0608,0.0608
C4,3.0419,,mg/L,1,0.0607,0.0602,0.0606,0.0614
T,3.0125,,mg/L,0.6,0.0602,0.0599,0.06,0.0606
PATRON,5.0271,,mg/L,1.2,0.1005,0.0991,0.1014,0.1009
BLANCO,-0.0071,,mg/L,>100,-0.0001,-0.0003,0,0
BLANCO REACTIVO,0,,mg/L,13.7,-0.0007,-0.0008,-0.0006,-0.0007
ELY1,3.0094,,mg/L,0.5,0.0601,0.0601,0.0598,0.0604
ELY2,2.9791,,mg/L,0.1,0.0595,0.0595,0.0594,0.0596
ELY3,2.9352,,mg/L,0.5,0.0586,0.0589,0.0583,0.0586
PATRON,5.0198,,mg/L,0.4,0.1003,0.1002,0.1,0.1008
BLANCO,-0.0035,,mg/L,20,-0.0001,-0.0001,-0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,10.7,-0.0007,-0.0006,-0.0007,-0.0008
ELY4,2.8351,,mg/L,0.4,0.0566,0.0565,0.0569,0.0564
ELY5,2.935,,mg/L,0.6,0.0586,0.0588,0.0588,0.0582
PATRON,5.0102,,mg/L,0.5,0.1001,0.0999,0.1007,0.0998
