Analista,ggp,,,,,,,,,,,,
Fecha de inicio,03/11/2024 02:49 p. m.  GMT: 03/11/2024 08:49 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005727_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5062,,mg/L,1.9,0.0167,0.0006,1,1,1,0.0165,0.0165,0.017
,BLANCO,0.0048,,mg/L,>100,0.0002,-0.0003,1,1,1,-0.0001,0.0002,0.0003
,BLANCO REACTIVO,0,,mg/L,38.2,0.0008,-0.0005,1,1,1,0.0009,0.0011,0.0005
,SA005727-001,0.0002,,mg/L,>100,0,-0.0014,20.079,7,1,0.0002,0.0001,-0.0003
,SA005727-002,-0.0021,,mg/L,>100,-0.0002,-0.0014,20.016,7,1,-0.0005,-0.0001,0
,SA005727-003,0.0017,,mg/L,>100,0.0002,-0.0013,20.04,7,1,0,0,0.0005
,SA005727-004,0.0001,,mg/L,>100,0,-0.0014,20,7,1,-0.0001,0.0001,0
,SA005727-005,-0.0022,,mg/L,>100,-0.0002,-0.001,20.017,7,1,-0.0005,-0.0002,0
,PATRON,0.5082,,mg/L,1.8,0.0168,-0.0007,1,1,1,0.0171,0.0165,0.0167
,SA005727-006,0.2118,,mg/L,3.3,0.0201,-0.0017,20.074,7,1,0.0194,0.0207,0.02
,PATRON,0.5139,,mg/L,3.4,0.0169,-0.0005,1,1,1,0.0165,0.0168,0.0176
,BLANCO,-0.0091,,mg/L,45.2,-0.0003,-0.0016,1,1,1,-0.0002,-0.0005,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0,1,1,1,0.0003,-0.0004,0.0003
,BLANCO REACTIVO,0,,mg/L,50.1,0.0004,-0.0005,1,1,1,0.0007,0.0003,0.0004
