PATRON,0.15,,mg/L,3.3,0.0076,-0.0026,0.0079,0.0075,0.0075
BLANCO,0.002,,mg/L,55.9,0.0001,-0.0003,0.0001,0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,41.3,-0.0003,0.0004,-0.0004,-0.0002,-0.0005
H,0.0906,,mg/L,7.8,0.0046,0.0034,0.0047,0.0049,0.0042
C1,0.0775,,mg/L,39.8,0.0039,0.0026,0.0051,0.0046,0.0021
C2,0.069,,mg/L,9.6,0.0035,0.0036,0.0037,0.0036,0.0031
PATRON,0.0479,,mg/L,5,0.0024,-0.0004,0.0024,0.0023,0.0025
BLANCO,-0.0002,,mg/L,>100,0,0.0026,-0.0002,0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0022,-0.0007,0,0.0005
C3,0.0627,,mg/L,17.4,0.0032,0.0027,0.0028,0.0038,0.003
C4,0.0399,,mg/L,22.4,0.002,0.0025,0.0025,0.002,0.0016
T,0.0367,,mg/L,5,0.0019,0.0027,0.0019,0.0019,0.0018
PATRON,0.0507,,mg/L,8.6,0.0026,-0.0006,0.0028,0.0025,0.0024
BLANCO,-0.0024,,mg/L,>100,-0.0001,0.0019,-0.0004,-0.0003,0.0003
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0018,-0.0002,0.0001,-0.0001
ELY1,0.0814,,mg/L,3.2,0.0041,0.0026,0.0042,0.0042,0.004
ELY2,0.0781,,mg/L,5.8,0.004,0.0024,0.0042,0.0038,0.0039
ELY3,0.0676,,mg/L,2.5,0.0034,0.0025,0.0033,0.0035,0.0035
PATRON,0.0492,,mg/L,13.9,0.0025,-0.0008,0.0029,0.0022,0.0024
BLANCO,0.0018,,mg/L,>100,0.0001,0.0018,-0.0002,0.0001,0.0004
BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0017,0.0005,0.0002,-0.0002
ELY4,0.0489,,mg/L,2,0.0025,0.0025,0.0024,0.0025,0.0025
ELY5,0.0346,,mg/L,16.8,0.0018,0.0024,0.0014,0.0018,0.002
PATRON,0.0517,,mg/L,8.7,0.0026,-0.001,0.0027,0.0028,0.0024
BLANCO,0.002,,mg/L,>100,0.0001,0.0014,0.0003,-0.0001,0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0021,0,-0.0003,0
