PATRON,0.9959,,mg/L,0.6,0.1347,0.0001,0.1341,0.1344,0.1356
BLANCO,0,,mg/L,>100,0,-0.0014,0,0.0003,-0.0003
BLANCO REACTIVO,0,,mg/L,39.1,0.0005,-0.0007,0.0005,0.0003,0.0008
H,0.3024,,mg/L,2.5,0.0412,-0.0005,0.0408,0.0404,0.0424
C1,0.2908,,mg/L,2,0.0396,-0.0008,0.0392,0.0391,0.0405
C2,0.2889,,mg/L,0.7,0.0394,-0.0007,0.0392,0.0392,0.0397
PATRON,0.1992,,mg/L,2.6,0.0271,-0.002,0.0264,0.0278,0.0272
BLANCO,0.0036,,mg/L,>100,0.0005,-0.0021,-0.0006,0.0015,0.0006
BLANCO REACTIVO,0,,mg/L,61.3,0.0009,-0.0016,0.0015,0.0004,0.0009
C3,0.2655,,mg/L,2.5,0.0362,-0.0008,0.0358,0.0372,0.0356
C4,0.2387,,mg/L,1.3,0.0325,-0.0005,0.0321,0.0326,0.0329
T,0.2064,,mg/L,2.2,0.0281,-0.0011,0.0276,0.0288,0.028
PATRON,0.2004,,mg/L,0.9,0.0273,-0.0028,0.0275,0.027,0.0275
BLANCO,-0.0017,,mg/L,>100,-0.0002,-0.0023,-0.0005,0.0004,-0.0005
BLANCO REACTIVO,0,,mg/L,37.5,0.0012,-0.0019,0.0008,0.0017,0.0012
DP1,0.3527,,mg/L,1.3,0.0481,-0.002,0.0481,0.0474,0.0487
DP2,0.2673,,mg/L,2,0.0364,-0.002,0.0372,0.0362,0.0358
DP3,0.1425,,mg/L,2.5,0.0194,-0.002,0.0192,0.0191,0.02
PATRON,0.2024,,mg/L,2,0.0276,-0.0037,0.0282,0.0271,0.0274
BLANCO,-0.0023,,mg/L,>100,-0.0003,0.0004,-0.0006,0.0002,-0.0005
BLANCO REACTIVO,0,,mg/L,>100,-0.0007,0.0009,0.0001,-0.0018,-0.0004
DP4,0.2767,,mg/L,1.1,0.0377,0.0025,0.0374,0.0376,0.0382
DP5,0.0488,,mg/L,9.7,0.0067,0.003,0.0059,0.0072,0.0068
DP6,0.4855,,mg/L,2,0.0661,0.0023,0.0666,0.0671,0.0645
PATRON,0.197,,mg/L,0.6,0.0268,-0.0008,0.027,0.0268,0.0267
BLANCO,-0.0055,,mg/L,22.4,-0.0008,-0.0008,-0.0006,-0.0009,-0.0007
BLANCO REACTIVO,0,,mg/L,7,0.0008,-0.0004,0.0009,0.0008,0.0008
ELY1,0.2856,,mg/L,1.1,0.0389,0.0007,0.0384,0.0391,0.0392
ELY2,0.2813,,mg/L,0.7,0.0383,0.0004,0.038,0.0385,0.0384
ELY3,0.2662,,mg/L,2.7,0.0363,0.0009,0.0362,0.0353,0.0373
PATRON,0.1969,,mg/L,2.1,0.0268,-0.0009,0.0275,0.0266,0.0264
BLANCO,-0.0046,,mg/L,17.9,-0.0006,-0.001,-0.0007,-0.0007,-0.0005
BLANCO REACTIVO,0,,mg/L,96.8,0.0003,-0.0003,0.0006,0.0003,0
ELY4,0.2437,,mg/L,2.3,0.0332,0.0012,0.0334,0.0324,0.0338
ELY5,0.2205,,mg/L,1.2,0.0301,0.0015,0.0301,0.0297,0.0304
PATRON,0.1985,,mg/L,1.1,0.0271,-0.0002,0.0274,0.027,0.0268
BLANCO,0.0011,,mg/L,>100,0.0001,-0.0009,0.0004,0.0001,0
BLANCO REACTIVO,0,,mg/L,>100,0,0,0.0001,0.0006,-0.0006
