PATRON,0.9967,,mg/L,0.8,0.1043,-0.001,1,1,1,0.1034,0.1049,0.1046
BLANCO,-0.0008,,mg/L,>100,-0.0001,-0.0003,1,1,1,0.0003,-0.0002,-0.0004
BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0004,1,1,1,0.0005,0,0
SA007147-001,19.4663,,mg/L,0.9,0.0826,0.0025,2,50,1,0.0818,0.083,0.0831
SA007147-002,18.6557,,mg/L,1.6,0.0794,0.0024,2,50,1,0.0805,0.0796,0.078
SA007147-003,7.6995,,mg/L,3.4,0.0339,0.0037,2,50,1,0.0328,0.0336,0.0351
SA007147-004,16.6647,,mg/L,2.7,0.0713,0.0028,2,50,1,0.0697,0.0709,0.0734
SA007147-005,16.6668,,mg/L,2.1,0.0713,0.0028,2,50,1,0.0722,0.0696,0.0722
PATRON,1.0261,,mg/L,0.4,0.1072,-0.0012,1,1,1,0.1076,0.1072,0.1068
SA007147-006,4.9622,,mg/L,2.2,0.022,0.0038,2,50,1,0.0221,0.0215,0.0225
SA007147-007,0.0048,,mg/L,>100,0,-0.0006,2,50,1,-0.0006,0.0004,0.0003
SA007147-008,83.049,,mg/L,5.5,0.0365,0.0051,2,50,10,0.0343,0.0383,0.0368
SA007147-009,16.3658,,mg/L,1.6,0.0701,0.0029,2,50,1,0.0713,0.069,0.07
SA007147-010,11.5691,,mg/L,2.7,0.0503,0.0035,2,50,1,0.0501,0.0517,0.049
PATRON,1.0376,,mg/L,0.8,0.1083,-0.0006,1,1,1,0.1074,0.1083,0.1091
BLANCO,-0.008,,mg/L,47.1,-0.0009,0.0001,1,1,1,-0.0005,-0.0009,-0.0013
BLANCO REACTIVO,0,,mg/L,28.3,-0.0008,0.0002,1,1,1,-0.0006,-0.001,-0.0007
SA007147-011,14.0308,,mg/L,0.8,0.0605,0.0046,2,50,1,0.0602,0.0611,0.0602
SA007147-012,11.3171,,mg/L,1.7,0.0492,0.0065,2,50,1,0.0484,0.05,0.0492
SA007147-013,15.1149,,mg/L,5.2,0.065,0.0039,2,50,1,0.0664,0.0611,0.0673
SA007147-014,14.8406,,mg/L,0.6,0.0638,0.0063,2,50,1,0.0634,0.0642,0.0639
SA007147-015,11.9601,,mg/L,1.6,0.0519,0.0077,2,50,1,0.0528,0.0516,0.0513
PATRON,1.0249,,mg/L,2.8,0.1071,0.0004,1,1,1,0.1048,0.1059,0.1105
SA007147-016,16.9084,,mg/L,0.6,0.0723,0.0052,2,50,1,0.0725,0.0718,0.0726
SA007147-017,16.2279,,mg/L,3.8,0.0695,0.0047,2,50,1,0.0712,0.0665,0.0709
SA007147-018,27.0477,,mg/L,1.5,0.1126,0.0126,2,50,1,0.1107,0.1135,0.1137
SA007147-019,10.3679,,mg/L,0.4,0.0452,0.004,2,50,1,0.0454,0.0453,0.045
SA007147-020,13.2436,,mg/L,0.6,0.0572,0.0054,2,50,1,0.0569,0.0576,0.0572
PATRON,1.0078,,mg/L,1.2,0.1054,0.001,1,1,1,0.1048,0.1046,0.1068
BLANCO,-0.0096,,mg/L,22.1,-0.0011,0.0016,1,1,1,-0.0008,-0.0011,-0.0013
BLANCO REACTIVO,0,,mg/L,8,-0.0021,0.0009,1,1,1,-0.0022,-0.0019,-0.0022
SA007147-021,0.0421,,mg/L,97.4,0.0002,0.0036,2,50,1,0,0.0002,0.0004
SA007147-022,21.4966,,mg/L,0.7,0.0908,0.0054,2,50,1,0.0913,0.0909,0.0901
SA007147-023,18.7886,,mg/L,0.1,0.0799,0.0057,2,50,1,0.08,0.0799,0.0799
SA007147-024,6.1139,,mg/L,1.1,0.027,0.0058,2,50,1,0.0268,0.0274,0.0269
SA007147-025,91.7296,,mg/L,2.7,0.0401,0.0048,2,50,10,0.0391,0.0401,0.0412
PATRON,1.0026,,mg/L,3.7,0.1049,0.002,1,1,1,0.1092,0.1016,0.1039
SA007147-026,39.7443,,mg/L,3.2,0.1611,0.0064,2,50,1,0.1635,0.1645,0.1552
SA007147-027,13.8396,,mg/L,0.5,0.0597,0.0083,2,50,1,0.0594,0.0597,0.06
SA007147-028,11.6236,,mg/L,2,0.0505,0.0056,2.002,50,1,0.0495,0.0507,0.0515
SA007147-029,6.6567,,mg/L,2.9,0.0294,0.0064,2,50,1,0.0301,0.0296,0.0285
SA007147-030,6.4652,,mg/L,2.5,0.0286,0.0062,2.005,50,1,0.0278,0.0288,0.0292
PATRON,0.9971,,mg/L,1.1,0.1043,0.002,1,1,1,0.1057,0.1039,0.1035
BLANCO,0.0004,,mg/L,>100,0,0.0027,1,1,1,-0.0003,0.0002,0.0003
BLANCO REACTIVO,0,,mg/L,20.9,-0.0026,0.0008,1,1,1,-0.0021,-0.0032,-0.0024
SA007147-031,21.7115,,mg/L,1.7,0.0918,0.0078,2.005,50,1,0.0935,0.0905,0.0915
SA007147-032,16.549,,mg/L,2.2,0.0709,0.0057,2.003,50,1,0.0701,0.0727,0.0699
PATRON,1.0053,,mg/L,2.4,0.1051,0.0028,1,1,1,0.107,0.1023,0.1062
BLANCO,0.0008,,mg/L,>100,0.0001,0.0038,1,1,1,0.0004,-0.0001,0
BLANCO REACTIVO,0,,mg/L,7.4,-0.0028,0.0012,1,1,1,-0.0027,-0.003,-0.0027
