Analista,GMC,,,,,,,,,
Fecha de inicio,09:28 a. m. 10/12/2025  GMT: 03:28 p. m. 10/12/2025,,,,,,,,,
Hoja de trabajo,SA007170_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5011,,mg/L,1,1.7,0.0191,0.0023,1,1
Au,BLANCO,-0.0073,,mg/L,1,94.5,-0.0003,0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,19.2,-0.0009,0.0012,1,1
Au,SA007170-001,0.2654,,mg/L,1,0.3,0.0436,0.0009,30.063,7
Au,SA007170-002,0.2373,,mg/L,1,0.6,0.0389,0.0008,30.032,7
Au,SA007170-003,0.2711,,mg/L,1,0.6,0.0445,0.0011,30.038,7
Au,SA007170-004,0.2684,,mg/L,1,2.1,0.044,0.001,30.029,7
Au,SA007170-005,0.2432,,mg/L,1,1.1,0.0399,0.001,30.02,7
Au,PATRON,0.5116,,mg/L,1,1.4,0.0195,0.0017,1,1
Au,SA007170-006,0.004,,mg/L,1,13.9,0.0007,0.0008,30,7
Au,SA007170-007,0.1465,,mg/L,1,0.2,0.0239,0.0011,30.026,7
Au,SA007170-008,0.2509,,mg/L,1,1,0.0411,0.0013,29.999,7
Au,SA007170-009,0.2783,,mg/L,1,1.2,0.0456,0.0012,30.001,7
Au,SA007170-010,0.1605,,mg/L,1,0.3,0.0262,0.0013,30.039,7
Au,PATRON,0.5187,,mg/L,1,0.3,0.0197,0.0022,1,1
Au,BLANCO,-0.0037,,mg/L,1,90.4,-0.0001,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,18,-0.0015,-0.0001,1,1
Au,SA007170-011,0.1133,,mg/L,1,1.2,0.0185,0.0019,30.015,7
Au,SA007170-012,0.3544,,mg/L,1,0.4,0.0582,0.0014,30.012,7
Au,SA007170-013,0.0031,,mg/L,1,40.2,0.0005,0.0018,30.042,7
Au,SA007170-014,0.01,,mg/L,1,2.8,0.0016,0.0016,30.028,7
Au,SA007170-015,0.2136,,mg/L,1,1.2,0.035,0.0017,30.043,7
Au,PATRON,0.5091,,mg/L,1,0.2,0.0194,0.0026,1,1
Au,SA007170-016,0.2066,,mg/L,1,0.5,0.0338,0.0019,30.005,7
Au,SA007170-017,0.5965,,mg/L,1,1.1,0.0985,-0.0023,30.008,7
Au,SA007170-018,0.2153,,mg/L,1,1.4,0.0353,0.0013,30.025,7
Au,SA007170-019,0.4574,,mg/L,1,0.7,0.0754,-0.0017,30.017,7
Au,SA007170-020,0.3605,,mg/L,1,2.2,0.0593,-0.0015,30.005,7
Au,PATRON,0.5164,,mg/L,1,1.1,0.0197,-0.0003,1,1
Au,BLANCO,0.0169,,mg/L,1,54.4,0.0006,-0.0014,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,0.0005,1,1
Au,SA007170-021,0.2098,,mg/L,1,1.4,0.0344,0.0005,30.003,7
Au,PATRON,0.5172,,mg/L,1,2.7,0.0197,0.0027,1,1
Au,BLANCO,0.0063,,mg/L,1,>100,0.0002,0.0014,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,18.2,-0.0013,-0.0001,1,1
