Analista,JS,,,,,,,,,,,,
Fecha de inicio,15/12/2025 01:09 a. m.  GMT: 15/12/2025 07:09 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007208,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9997,,mg/L,0.5,0.1092,-0.003,1,1,1,0.1095,0.1086,0.1096
,BLANCO,0.0111,,mg/L,8.7,0.0012,-0.0014,1,1,1,0.0014,0.0012,0.0012
,BLANCO REACTIVO,0,,mg/L,4.2,-0.0031,0.0007,1,1,1,-0.0032,-0.0029,-0.0031
,SA007208-001,6.6153,,mg/L,1.7,0.0299,0.0037,2.018,50,1,0.0304,0.0299,0.0294
,SA007208-002,2.8097,,mg/L,2,0.0126,0.0039,2.003,50,1,0.0124,0.0125,0.0129
,SA007208-003,5.2964,,mg/L,1.3,0.0238,0.0056,2.009,50,1,0.0235,0.0238,0.0241
,SA007208-004,6.341,,mg/L,0.9,0.0287,0.0054,2.019,50,1,0.029,0.0285,0.0285
,SA007208-005,7.6174,,mg/L,0.5,0.0342,0.0051,2.004,50,1,0.0342,0.0339,0.0343
,PATRON,1.0071,,mg/L,0.5,0.1074,-0.0016,1,1,1,0.1072,0.1081,0.107
,SA007208-006,6.7461,,mg/L,0.4,0.0295,0.005,2.006,50,1,0.0295,0.0297,0.0295
,SA007208-007,6.5464,,mg/L,1.1,0.0287,0.0056,2.01,50,1,0.0288,0.029,0.0284
,SA007208-008,34.3468,,mg/L,0.3,0.1441,0.0064,2.014,50,1,0.1446,0.1439,0.1439
,SA007208-009,1.8455,,mg/L,2.3,0.0082,0.0031,2.029,50,1,0.0081,0.0081,0.0084
,SA007208-010,6.0861,,mg/L,1.3,0.0267,0.0061,2.011,50,1,0.0267,0.0271,0.0264
,PATRON,0.9975,,mg/L,0.3,0.1048,-0.0026,1,1,1,0.1046,0.1052,0.1046
,BLANCO,0.004,,mg/L,98.6,0.0004,-0.0008,1,1,1,0.0009,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,1,1,1,-0.0002,0.0001,0
,SA007208-011,1.2533,,mg/L,4.6,0.0054,0.0045,2.014,50,1,0.0055,0.0057,0.0052
,SA007208-012,16.1915,,mg/L,0.8,0.0692,0.0028,2.006,50,1,0.0687,0.0691,0.0698
,SA007208-013,0.2313,,mg/L,38,0.001,-0.0009,2.002,50,1,0.0007,0.0009,0.0014
,SA007208-014,10.9089,,mg/L,0.2,0.0468,0.0033,2,50,1,0.0467,0.0466,0.0469
,SA007208-015,6.5023,,mg/L,0.7,0.0283,0.0033,2.026,50,1,0.0284,0.0285,0.0281
,PATRON,1.0117,,mg/L,0.4,0.1062,-0.0026,1,1,1,0.1063,0.1066,0.1057
,SA007208-016,14.5512,,mg/L,1,0.0628,0.0032,2.022,50,1,0.0635,0.0623,0.0626
,SA007208-017,14.4145,,mg/L,0.6,0.0622,0.0005,2.021,50,1,0.0618,0.0621,0.0626
,SA007208-018,13.7307,,mg/L,0.2,0.0588,0.0015,2.006,50,1,0.059,0.0588,0.0588
,SA007208-019,7.5291,,mg/L,0.9,0.0327,0.003,2.022,50,1,0.0324,0.0329,0.0329
,SA007208-020,25.3673,,mg/L,1.1,0.1066,0.0118,2.002,50,1,0.1079,0.1061,0.1058
,PATRON,1.0073,,mg/L,1,0.1019,-0.0027,1,1,1,0.1008,0.1025,0.1024
,BLANCO,0.0083,,mg/L,12,0.0009,-0.0011,1,1,1,0.001,0.0009,0.0008
,BLANCO REACTIVO,0,,mg/L,29.3,0.0005,-0.0003,1,1,1,0.0006,0.0006,0.0003
,SA007208-021,8.8028,,mg/L,2.1,0.0365,0.0027,2.013,50,1,0.0373,0.0362,0.0358
,SA007208-022,8.9574,,mg/L,0.5,0.0369,0.0026,2.003,50,1,0.0368,0.0371,0.0368
,SA007208-023,6.7693,,mg/L,0.9,0.028,0.0029,2.008,50,1,0.0277,0.028,0.0282
,SA007208-024,5.1597,,mg/L,1.3,0.0214,0.0027,2.012,50,1,0.0214,0.0216,0.0211
,SA007208-025,5.461,,mg/L,1.7,0.0225,0.0033,2.003,50,1,0.0229,0.0221,0.0226
,PATRON,1.0003,,mg/L,0.2,0.1044,-0.0025,1,1,1,0.1046,0.1042,0.1045
,SA007208-026,11.4314,,mg/L,0.6,0.0487,0.0026,2.013,50,1,0.0491,0.0487,0.0484
,SA007208-027,10.2309,,mg/L,1.7,0.0435,0.0028,2.007,50,1,0.0431,0.0432,0.0444
,SA007208-028,17.1096,,mg/L,1.2,0.0726,0.0037,2.012,50,1,0.0736,0.0718,0.0724
,SA007208-029,27.1554,,mg/L,1.7,0.1132,0.0022,2.003,50,1,0.111,0.1142,0.1143
,SA007208-030,27.4964,,mg/L,1.2,0.1155,0.0028,2.021,50,1,0.1152,0.1144,0.117
,PATRON,1.0047,,mg/L,0.8,0.1049,-0.0027,1,1,1,0.1051,0.104,0.1055
,BLANCO,0.014,,mg/L,33.8,0.0015,-0.0015,1,1,1,0.0018,0.0018,0.0009
,BLANCO REACTIVO,0,,mg/L,44.8,0.0011,-0.0011,1,1,1,0.0007,0.001,0.0017
,SA007208-031,0.0475,,mg/L,64,0.0002,-0.0025,2,50,1,0.0003,0.0002,0.0001
,SA007208-032,34.2028,,mg/L,0.7,0.1409,0.0019,2.006,50,1,0.1403,0.1404,0.142
,PATRON,0.9883,,mg/L,1,0.1032,-0.0036,1,1,1,0.1037,0.1021,0.1039
,BLANCO,0.0039,,mg/L,26.4,0.0004,-0.0026,1,1,1,0.0003,0.0004,0.0005
,BLANCO REACTIVO,0,,mg/L,39,0.0012,-0.0015,1,1,1,0.0013,0.0017,0.0007
