Analista,js,,,,,,,,,,,,
Fecha de inicio,15/12/2025 04:28 a. m.  GMT: 15/12/2025 10:28 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007211,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9995,,mg/L,0.9,0.103,-0.0021,1,1,1,0.1025,0.1023,0.104
,BLANCO,0.007,,mg/L,33,0.0007,-0.0009,1,1,1,0.0008,0.0009,0.0005
,BLANCO REACTIVO,0,,mg/L,20.1,0.0015,-0.0014,1,1,1,0.0018,0.0014,0.0012
,SA007211-001,2.1251,,mg/L,1.9,0.0088,0.002,2.008,50,1,0.0088,0.009,0.0087
,SA007211-002,2.5557,,mg/L,1.9,0.0106,0.0026,2.005,50,1,0.0106,0.0104,0.0108
,SA007211-003,3.49,,mg/L,2.8,0.0146,0.0023,2.022,50,1,0.0148,0.0142,0.0149
,SA007211-004,6.1584,,mg/L,1.3,0.0257,0.0031,2.008,50,1,0.0261,0.0255,0.0255
,SA007211-005,20.976,,mg/L,1.1,0.088,0.0007,2.026,50,1,0.0868,0.0887,0.0884
,PATRON,1.0048,,mg/L,0.7,0.1035,-0.004,1,1,1,0.1042,0.1027,0.1036
,SA007211-006,20.0438,,mg/L,1.1,0.0841,0.0012,2.025,50,1,0.0832,0.085,0.0841
,SA007211-007,15.5129,,mg/L,0.7,0.0648,0.0018,2.008,50,1,0.0653,0.0645,0.0645
,SA007211-008,8.7033,,mg/L,1.9,0.0366,0.0018,2.02,50,1,0.0372,0.0358,0.0367
,SA007211-009,4.0463,,mg/L,2.9,0.0168,-0.0007,2.007,50,1,0.0163,0.0172,0.017
,SA007211-010,10.6185,,mg/L,0.8,0.0447,0.0024,2.023,50,1,0.0447,0.0451,0.0444
,PATRON,0.9952,,mg/L,0.9,0.1025,-0.0041,1,1,1,0.1036,0.1018,0.1022
,BLANCO,-0.003,,mg/L,59,-0.0003,-0.0029,1,1,1,-0.0003,-0.0005,-0.0001
,BLANCO REACTIVO,0,,mg/L,13.2,-0.0009,-0.0002,1,1,1,-0.0009,-0.001,-0.0008
,SA007211-011,10.0067,,mg/L,1,0.0417,0.0016,2.002,50,1,0.0412,0.0419,0.042
,SA007211-012,7.5637,,mg/L,1.9,0.0316,0.0019,2.007,50,1,0.0311,0.0313,0.0322
,SA007211-013,23.7127,,mg/L,0.7,0.0979,0.0014,2,50,1,0.0971,0.0981,0.0985
,SA007211-014,60.3412,,mg/L,1.4,0.0253,0.004,2.02,50,10,0.025,0.0252,0.0257
,SA007211-015,29.4552,,mg/L,0.2,0.1219,0.0018,2.026,50,1,0.1216,0.1221,0.1221
,PATRON,0.992,,mg/L,0.4,0.1048,-0.0022,1,1,1,0.1044,0.1047,0.1052
,SA007211-016,0.009,,mg/L,>100,0,0.0005,2.017,50,1,-0.0005,0.0001,0.0005
,SA007211-017,-0.2563,,mg/L,25.1,-0.0011,0.0021,2.025,50,1,-0.0009,-0.0009,-0.0014
,SA007211-018,-0.2119,,mg/L,68.9,-0.0009,-0.0012,2,50,1,-0.0002,-0.0013,-0.0011
,SA007211-019,9.0315,,mg/L,1.1,0.0381,0.0019,2.026,50,1,0.0376,0.0382,0.0384
,SA007211-020,2.5628,,mg/L,2.5,0.0107,0.0043,2.015,50,1,0.0107,0.011,0.0104
,PATRON,0.994,,mg/L,0.4,0.1024,-0.0029,1,1,1,0.1022,0.1029,0.1021
,BLANCO,-0.0041,,mg/L,50.7,-0.0004,-0.0018,1,1,1,-0.0002,-0.0004,-0.0007
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0006,1,1,1,0,0.0005,-0.0002
,SA007211-021,4.337,,mg/L,0.9,0.0182,0.0048,2.018,50,1,0.0181,0.018,0.0183
,SA007211-022,3.8167,,mg/L,1.4,0.0161,0.0073,2.029,50,1,0.0159,0.016,0.0163
,SA007211-023,4.0069,,mg/L,1.1,0.0167,0.0049,2.005,50,1,0.0166,0.0168,0.0165
,SA007211-024,29.1017,,mg/L,0.1,0.1192,0.0019,2.003,50,1,0.1192,0.1192,0.1193
,SA007211-025,0.2389,,mg/L,50.3,0.001,0.0004,2.001,50,1,0.0015,0.001,0.0005
,PATRON,1.0047,,mg/L,1,0.1035,-0.0025,1,1,1,0.1031,0.1027,0.1046
,SA007211-026,8.4438,,mg/L,0.4,0.0354,0.0022,2.015,50,1,0.0355,0.0353,0.0353
,SA007211-027,5.3136,,mg/L,0.8,0.0223,0.0031,2.025,50,1,0.0223,0.0225,0.0221
,SA007211-028,5.9697,,mg/L,1.2,0.0251,0.0028,2.023,50,1,0.0253,0.0247,0.0252
,SA007211-029,6.0479,,mg/L,2,0.0252,0.0035,2.007,50,1,0.0246,0.0256,0.0254
,SA007211-030,4.1018,,mg/L,1.5,0.0172,0.0023,2.02,50,1,0.0174,0.0169,0.0173
,PATRON,1.0132,,mg/L,0.6,0.1043,-0.0022,1,1,1,0.1042,0.1038,0.105
,BLANCO,0.0031,,mg/L,40.6,0.0003,-0.0009,1,1,1,0.0003,0.0004,0.0002
,BLANCO REACTIVO,0,,mg/L,47.5,0.0004,-0.0008,1,1,1,0.0003,0.0003,0.0006
,SA007211-031,15.0502,,mg/L,0.4,0.0633,0.0028,2.023,50,1,0.0633,0.0631,0.0636
,SA007211-032,7.4751,,mg/L,1.1,0.0313,0.0034,2.012,50,1,0.0314,0.0309,0.0315
,PATRON,1.0009,,mg/L,0.3,0.1031,-0.0027,1,1,1,0.1031,0.1034,0.1028
,BLANCO,0.0038,,mg/L,30.6,0.0004,-0.0017,1,1,1,0.0005,0.0003,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0006,1,1,1,0,0.0003,-0.0001
