Analista,NR,,,,,,,,,,,,
Fecha de inicio,15/12/2025 09:04 a. m.  GMT: 15/12/2025 03:04 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007213,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9927,,mg/L,0.2,0.1092,-0.0031,1,1,1,0.109,0.1091,0.1095
,BLANCO,0.0089,,mg/L,18.5,0.001,-0.0012,1,1,1,0.0012,0.001,0.0008
,BLANCO REACTIVO,0,,mg/L,25,0.001,-0.0012,1,1,1,0.001,0.0007,0.0012
,SA007213-001,9.6683,,mg/L,1,0.044,0.003,2.018,50,1,0.0444,0.0435,0.0442
,SA007213-002,77.2692,,mg/L,0.7,0.0326,0,2.019,50,10,0.0328,0.0327,0.0324
,SA007213-003,103.283,,mg/L,1.4,0.0434,-0.0004,2.015,50,10,0.0432,0.0441,0.0429
,SA007213-004,11.6898,,mg/L,0.6,0.0527,0.0021,2.002,50,1,0.0523,0.0529,0.0528
,SA007213-005,8.1384,,mg/L,0.3,0.0368,0.0017,2.001,50,1,0.0367,0.0369,0.0369
,PATRON,0.9852,,mg/L,0.5,0.1084,-0.0042,1,1,1,0.1087,0.1087,0.1078
,SA007213-006,7.6446,,mg/L,0.8,0.0347,0.0016,2.009,50,1,0.035,0.0348,0.0344
,SA007213-007,6.0934,,mg/L,1.1,0.0278,0.0023,2.017,50,1,0.0277,0.0276,0.0282
,SA007213-008,6.3611,,mg/L,1.2,0.0288,0.0024,2.001,50,1,0.0289,0.0291,0.0284
,SA007213-009,0.39,,mg/L,19,0.0018,-0.0026,2,50,1,0.0022,0.0016,0.0015
,SA007213-010,7.2422,,mg/L,1.2,0.0328,0.0027,2.001,50,1,0.0328,0.0331,0.0324
,PATRON,0.9813,,mg/L,0.1,0.108,-0.0039,1,1,1,0.1079,0.1081,0.108
,BLANCO,0.0046,,mg/L,40.8,0.0005,-0.0028,1,1,1,0.0004,0.0004,0.0008
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0001,1,1,1,-0.0003,0,0.0001
,SA007213-011,16.3313,,mg/L,0.9,0.0734,0.0035,2.01,50,1,0.073,0.0741,0.073
,SA007213-012,109.841,,mg/L,0,0.0462,0.0001,2.017,50,10,0.0462,0.0461,0.0462
,SA007213-013,15.2014,,mg/L,0.7,0.0681,0.0009,2.001,50,1,0.0687,0.0678,0.0679
,SA007213-014,11.0547,,mg/L,0.8,0.0503,0.0017,2.021,50,1,0.0502,0.05,0.0508
,SA007213-015,6.7074,,mg/L,0.4,0.0305,0.0026,2.012,50,1,0.0307,0.0304,0.0305
,PATRON,0.9738,,mg/L,0.7,0.1072,0,1,1,1,0.1081,0.107,0.1066
,SA007213-016,13.5971,,mg/L,0.5,0.0613,0.006,2.007,50,1,0.061,0.0616,0.0612
,SA007213-017,9.3518,,mg/L,0.7,0.0424,0.006,2.011,50,1,0.0424,0.0428,0.0422
,SA007213-018,7.7729,,mg/L,1.4,0.0354,0.0042,2.014,50,1,0.0348,0.0357,0.0356
,SA007213-019,8.0269,,mg/L,1.1,0.0363,0.0043,2.003,50,1,0.0361,0.0368,0.0361
,SA007213-020,6.4269,,mg/L,1.1,0.0292,0.0053,2.005,50,1,0.0288,0.0293,0.0294
,PATRON,1.0162,,mg/L,0.4,0.1038,-0.0025,1,1,1,0.1041,0.104,0.1033
,BLANCO,0.0068,,mg/L,70.6,0.0007,-0.0009,1,1,1,0.0012,0.0002,0.0007
,BLANCO REACTIVO,0,,mg/L,67.7,0.0008,-0.0008,1,1,1,0.0009,0.0002,0.0012
,SA007213-021,12.2242,,mg/L,1.5,0.0511,0.0055,2.009,50,1,0.0509,0.0505,0.052
,SA007213-022,8.9328,,mg/L,0.7,0.0376,0.0054,2.015,50,1,0.0379,0.0373,0.0376
,SA007213-023,7.3751,,mg/L,1.4,0.0311,0.0028,2.016,50,1,0.0312,0.0315,0.0306
,SA007213-024,17.4647,,mg/L,0.9,0.0724,0.0024,2.005,50,1,0.0731,0.0722,0.0719
,SA007213-025,16.472,,mg/L,0.8,0.0685,0.0035,2.008,50,1,0.0687,0.0689,0.0679
,PATRON,0.9914,,mg/L,0.4,0.1014,-0.0032,1,1,1,0.1011,0.1011,0.1019
,SA007213-026,0.2809,,mg/L,8.6,0.0012,0.0016,2.002,50,1,0.0012,0.0011,0.0012
,SA007213-027,7.8577,,mg/L,2.4,0.0329,0.0034,2.004,50,1,0.0333,0.032,0.0334
,SA007213-028,0.1706,,mg/L,44.3,0.0007,-0.0002,2.012,50,1,0.0004,0.001,0.0007
,SA007213-029,9.8883,,mg/L,1.3,0.0415,0.0034,2.013,50,1,0.0413,0.0422,0.0412
,SA007213-030,6.4584,,mg/L,1.6,0.0271,0.0029,2.003,50,1,0.0268,0.0268,0.0276
,PATRON,0.9977,,mg/L,0.8,0.102,-0.0029,1,1,1,0.1028,0.1021,0.1011
,BLANCO,0.0012,,mg/L,>100,0.0001,-0.0019,1,1,1,0.0005,-0.0005,0.0003
,BLANCO REACTIVO,0,,mg/L,43.8,0.0007,-0.0009,1,1,1,0.0004,0.0008,0.001
,SA007213-031,7.3013,,mg/L,0.5,0.0309,0.0035,2.022,50,1,0.0311,0.0309,0.0307
,SA007213-032,15.5962,,mg/L,1.2,0.0651,0.0025,2.015,50,1,0.0643,0.0658,0.0653
,PATRON,0.9861,,mg/L,1,0.1009,-0.0029,1,1,1,0.1016,0.0997,0.1012
,BLANCO,-0.0049,,mg/L,85.9,-0.0005,-0.0013,1,1,1,-0.001,-0.0001,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0004,1,1,1,-0.0002,0.0001,0.0004
